IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP252;IP_PROP253;IP_PROP254;IP_PROP255;IP_PROP256;IP_PROP257;IP_PROP258;CV_PRICE_1
4774;карниз 1.50.114;1.50.114;Нет;30,69;4249;409;293;7700;16,11;16,11;899.00
4775;карниз 1.50.115;1.50.115;Нет;24,72;3425;329;236;6300;12,95;12,95;726.00
4776;карниз 1.50.116;1.50.116;Нет;62,46;8629;832;596;15600;32,58;32,58;1834.00
4777;карниз 1.50.117;1.50.117;Нет;65,68;9075;875;627;16400;34,33;34,33;1829.00
4778;карниз 1.50.118;1.50.118;Нет;69,31;9569;923;662;17300;36,09;36,09;2035.00
4779;карниз 1.50.119;1.50.119;Нет;34,09;4710;454;326;8500;17,87;17,87;999.00
4780;карниз 1.50.120;1.50.120;Нет;71,16;9833;948;679;17700;37,13;37,13;2032.00
4781;карниз 1.50.121;1.50.121;Нет;33,37;4612;445;319;8400;17,52;17,52;980.00
4782;карниз 1.50.122;1.50.122;Нет;21,91;3030;292;209;5500;11,55;11,55;644.00
4783;карниз 1.50.100;1.50.100;Нет;30,73;4249;;293;7700;16,11;16,11;892.00
4784;карниз 1.50.102;1.50.102;Нет;24,4;3375;325;233;6100;12,95;12,95;716.00
4785;карниз 1.50.103;1.50.103;Нет;24,58;3392;327;235;6100;12,95;12,95;722.00
4786;карниз 1.50.104;1.50.104;Нет;60,74;8382;809;580;15200;31,53;31,53;1783.00
4787;карниз 1.50.105;1.50.105;Нет;29,93;4133;399;286;7400;15,76;15,76;879.00
4788;карниз 1.50.106;1.50.106;Нет;32,33;4463;431;309;8100;16,81;16,81;949.00
4789;карниз 1.50.107;1.50.107;Нет;63,84;8828;850;610;16000;33,28;33,28;1874.00
4790;карниз 1.50.109;1.50.109;Нет;69,31;9569;923;662;17300;36,09;36,09;2035.00
4791;карниз 1.50.110;1.50.110;Нет;78,45;10837;1045;749;19600;40,99;40,99;2303.00
4792;карниз 1.50.111;1.50.111;Нет;64,21;8876;855;613;16000;33,28;33,28;1885.00
4793;карниз 1.50.112;1.50.112;Нет;31,84;4397;424;304;8000;16,81;16,81;935.00
4794;карниз 1.50.113;1.50.113;Нет;33,76;4660;450;322;8400;17,52;17,52;991.00
4795;карниз 1.50.123;1.50.123;Нет;22,67;3128;302;216;5700;11,9;11,9;666.00
4796;карниз 1.50.124;1.50.124;Нет;57,95;8004;772;553;14500;30,12;30,12;1699.00
4797;карниз 1.50.125;1.50.125;Нет;47,58;6572;634;454;11800;24,87;24,87;1397.00
4798;карниз 1.50.126;1.50.126;Нет;33,35;4612;444;318;8400;17,52;17,52;979.00
4799;карниз 1.50.127;1.50.127;Нет;32,33;4463;431;309;8100;16,81;16,81;949.00
4800;карниз 1.50.128;1.50.128;Нет;56,58;7823;753;540;14100;29,42;29,42;1661.00
4801;карниз 1.50.129;1.50.129;Нет;32,64;4513;435;312;8100;17,16;17,16;958.00
4802;карниз 1.50.130;1.50.130;Нет;22,86;3162;304;218;5700;11,9;11,9;671.00
4803;карниз 1.50.131;1.50.131;Нет;83,07;7691;742;532;13800;29,07;29,07;1636.00
4804;карниз 1.50.132;1.50.132;Нет;81,04;11479;1106;793;20600;43,1;43,1;2439.00
4805;карниз 1.50.133;1.50.133;Нет;56,58;7823;753;540;14100;29,42;29,42;1510.00
4806;карниз 1.50.134;1.50.134;Нет;80,26;11084;1069;766;20000;41,69;41,69;2356.00
4807;карниз 1.50.135;1.50.135;Нет;58,45;8070;778;558;14600;30,47;30,47;1699.00
4808;карниз 1.50.136;1.50.136;Нет;64,86;8959;864;619;16100;33,63;33,63;1904.00
4809;карниз 1.50.137;1.50.137;Нет;84,89;11726;1131;811;21100;44,15;44,15;2493.00
4810;карниз 1.50.138;1.50.138;Нет;71,16;9833;948;679;17700;37,13;37,13;2089.00
4811;карниз 1.50.139;1.50.139;Нет;55,1;7609;734;526;13700;28,72;28,72;1599.00
4812;карниз 1.50.140;1.50.140;Нет;31,73;4380;423;303;8000;16,46;16,46;932.00
4813;карниз 1.50.141;1.50.141;Нет;31,73;4380;423;303;8000;16,46;16,46;932.00
4814;карниз 1.50.142;1.50.142;Нет;71,16;9833;948;679;17700;37,13;37,13;2089.00
4815;карниз 1.50.143;1.50.143;Нет;31,18;4315;415;298;7800;16,46;16,46;899.00
4816;карниз 1.50.144;1.50.144;Нет;34,09;4710;454;326;8500;17,87;17,87;999.00
4817;карниз 1.50.145;1.50.145;Нет;90,32;12483;1203;863;22500;46,94;46,94;2652.00
4818;карниз 1.50.146;1.50.146;Нет;57,54;7954;766;550;14400;;;1690.00
4819;карниз 1.50.147;1.50.147;Нет;71,16;9833;948;679;17700;37,13;37,13;2089.00
4820;карниз 1.50.148;1.50.148;Нет;60,54;8366;806;578;15000;31,53;31,53;1778.00
4822;карниз 1.50.150;1.50.150;Нет;23,35;3228;311;223;5900;12,25;12,25;685.00
4823;карниз 1.50.151;1.50.151;Нет;91,68;12664;1221;875;22900;47,64;47,64;2692.00
4824;карниз 1.50.152;1.50.152;Нет;91,68;12664;1221;875;22900;47,64;47,64;2692.00
4825;карниз 1.50.153;1.50.153;Нет;91,68;12664;1221;875;22900;47,64;47,64;2692.00
4826;карниз 1.50.154;1.50.154;Нет;21,28;2948;283;203;5300;11,2;11,2;625.00
4827;карниз 1.50.155;1.50.155;Нет;21,14;2931;281;202;5300;11,2;11,2;620.00
4828;карниз 1.50.156;1.50.156;Нет;23,41;3244;312;224;5900;12,25;12,25;688.00
4829;карниз 1.50.157;1.50.157;Нет;21,77;3014;290;208;5500;11,55;11,55;639.00
4830;карниз 1.50.158;1.50.158;Нет;22;3047;293;210;5600;11,55;11,55;646.00
4831;карниз 1.50.159;1.50.159;Нет;22,63;3128;301;216;5700;11,9;11,9;664.00
4832;карниз 1.50.160;1.50.160;Нет;29,93;4133;399;286;7400;15,76;15,76;879.00
4833;карниз 1.50.162;1.50.162;Нет;31,18;4315;415;298;7800;16,46;16,46;899.00
4834;карниз 1.50.163;1.50.163;Нет;59,72;8251;795;570;14900;31,18;31,18;1753.00
4835;карниз 1.50.164;1.50.164;Нет;65,68;9075;875;627;16400;34,33;34,33;1928.00
4836;карниз 1.50.165;1.50.165;Нет;31,24;4315;416;298;7800;16,46;16,46;917.00
4837;карниз 1.50.166;1.50.166;Нет;63,32;8745;843;605;15800;32,93;32,93;1859.00
4838;карниз 1.50.167;1.50.167;Нет;64,21;8876;855;613;16000;33,28;33,28;1885.00
4839;карниз 1.50.168;1.50.168;Нет;64,21;8876;855;613;16000;33,28;33,28;1885.00
4840;карниз 1.50.169;1.50.169;Нет;60,54;8366;806;578;15000;31,53;31,53;1778.00
4841;карниз 1.50.170;1.50.170;Нет;34,4;4760;458;328;8600;17,87;17,87;999.00
4842;карниз 1.50.171;1.50.171;Нет;22,49;3113;299;215;5600;11,9;11,9;660.00
4843;карниз 1.50.172;1.50.172;Нет;23,31;3228;310;223;5900;12,25;12,25;684.00
4844;карниз 1.50.173;1.50.173;Нет;23,41;3244;312;224;5900;12,25;12,25;688.00
4845;карниз 1.50.174;1.50.174;Нет;23,9;3311;318;228;6000;12,6;12,6;699.00
4846;карниз 1.50.175;1.50.175;Нет;63,84;8828;850;610;16000;33,28;33,28;1874.00
4847;карниз 1.50.176;1.50.176;Нет;58,45;8070;778;558;14600;30,47;30,47;1699.00
4848;карниз 1.50.177;1.50.177;Нет;34,81;4809;464;332;8600;18,22;18,22;1022.00
4849;карниз 1.50.180;1.50.180;Нет;59,27;8185;789;566;14800;30,83;30,83;1740.00
4850;карниз 1.50.181;1.50.181;Нет;33,37;4612;445;319;8400;17,52;17,52;980.00
4851;карниз 1.50.182;1.50.182;Нет;32,82;4546;437;313;8200;17,16;17,16;964.00
4852;карниз 1.50.183;1.50.183;Нет;35,67;4924;475;341;8900;18,56;18,56;1047.00
4853;карниз 1.50.184;1.50.184;Нет;35,67;4924;475;341;8900;18,56;18,56;1047.00
4854;карниз 1.50.185;1.50.185;Нет;62,46;8629;832;596;15600;32,58;32,58;1834.00
4855;карниз 1.50.186;1.50.186;Нет;35,67;4924;475;341;8900;18,56;18,56;1047.00
4856;карниз 1.50.187;1.50.187;Нет;31,65;4380;422;302;8000;16,46;16,46;930.00
4857;карниз 1.50.188;1.50.188;Нет;31,65;4380;422;302;8000;16,46;16,46;930.00
4858;карниз 1.50.190;1.50.190;Нет;23,76;3294;316;227;6000;12,6;12,6;697.00
4859;карниз 1.50.191;1.50.191;Нет;23,27;3211;310;222;5900;12,25;12,25;683.00
4860;карниз 1.50.192;1.50.192;Нет;32,29;4463;430;308;8100;16,81;16,81;948.00
4861;карниз 1.50.193;1.50.193;Нет;33,27;4595;443;318;8400;29,77;29,77;977.00
4862;карниз 1.50.194;1.50.194;Нет;30,73;4249;409;293;7700;16,11;16,11;899.00
4863;карниз 1.50.195;1.50.195;Нет;33,37;4612;445;319;8400;17,52;17,52;980.00
4864;карниз 1.50.196;1.50.196;Нет;32,29;4463;430;308;8100;16,81;16,81;948.00
4865;карниз 1.50.197;1.50.197;Нет;35,67;4924;475;341;8900;18,56;18,56;1047.00
4866;карниз 1.50.198;1.50.198;Нет;34,99;4842;466;334;8800;29,77;29,77;1027.00
4867;карниз 1.50.200;1.50.200;Нет;31,65;4380;422;302;8000;16,46;16,46;930.00
4868;карниз 1.50.201;1.50.201;Нет;78,9;10902;1051;753;19700;40,99;40,99;2317.00
4869;карниз 1.50.202;1.50.202;Нет;56,99;7872;759;544;14200;29,77;29,77;1673.00
4870;карниз 1.50.203;1.50.203;Нет;64,21;8876;855;613;16000;33,28;33,28;1885.00
4871;карниз 1.50.204;1.50.204;Нет;31,14;4299;415;297;7800;16,46;16,46;899.00
4872;карниз 1.50.208;1.50.208;Нет;34,58;4776;461;330;8600;18,22;18,22;999.00
4873;карниз 1.50.209;1.50.209;Нет;73,92;10211;985;706;18400;38,53;38,53;2170.00
4874;карниз 1.50.210;1.50.210;Нет;77,22;10672;1028;737;19300;40,29;40,29;2267.00
4875;карниз 1.50.211;1.50.211;Нет;79,13;10935;1054;756;19700;;;2323.00
4876;карниз 1.50.212;1.50.212;Нет;79,13;10935;1054;756;19700;;;2323.00
4877;карниз 1.50.220;1.50.220;Нет;68,49;9453;912;654;17000;35,74;35,74;2011.00
4878;карниз 1.50.221;1.50.221;Нет;80,22;11084;1068;766;20000;41,69;41,69;2355.00
4879;карниз 1.50.222;1.50.222;Нет;88,5;12220;1179;845;22100;45,9;45,9;2598.00
4880;карниз 1.50.250;1.50.250;Нет;58,71;8119;782;561;14600;30,47;30,47;1699.00
4881;карниз 1.50.251;1.50.251;Нет;22,41;3097;298;214;5600;11,9;11,9;658.00
4882;карниз 1.50.252;1.50.252;Нет;67,51;9322;899;645;16800;35,04;35,04;1982.00
4883;карниз 1.50.253;1.50.253;Нет;33,37;4612;445;319;8400;17,52;17,52;980.00
4884;карниз 1.50.254;1.50.254;Нет;50,43;6966;672;482;12600;26,28;26,28;1481.00
4885;карниз 1.50.255;1.50.255;Нет;56,68;7840;755;541;14100;29,42;29,42;1664.00
4886;карниз 1.50.256;1.50.256;Нет;65,11;8992;867;622;16200;33,98;33,98;1912.00
4887;карниз 1.50.257;1.50.257;Нет;23,23;3211;309;222;5900;12,25;12,25;682.00
4888;карниз 1.50.258;1.50.258;Нет;21,4;2964;285;204;5300;11,2;11,2;628.00
4889;карниз 1.50.259;1.50.259;Нет;30,65;4232;408;293;7700;16,11;16,11;899.00
4890;карниз 1.50.260;1.50.260;Нет;79,05;10919;1053;755;19700;40,99;40,99;2321.00
4891;карниз 1.50.261;1.50.261;Нет;59,39;8103;781;560;14600;30,47;30,47;1565.00
4892;карниз 1.50.262;1.50.262;Нет;65,74;9091;876;628;16400;34,33;34,33;1931.00
4893;карниз 1.50.264;1.50.264;Нет;80,63;11132;1074;770;20100;42,04;42,04;2367.00
4894;карниз 1.50.265;1.50.265;Нет;34,58;4776;461;330;8600;18,22;18,22;999.00
4895;карниз 1.50.266;1.50.266;Нет;31,14;4299;415;297;7800;16,46;16,46;899.00
4896;карниз 1.50.267;1.50.267;Нет;66,05;9123;880;631;16500;;;1939.00
4897;карниз 1.50.268;1.50.268;Нет;67,92;9387;905;649;16900;35,39;35,39;1994.00
4898;карниз 1.50.269;1.50.269;Нет;71,61;9897;954;684;17800;;;2102.00
