IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP160;IP_PROP446;CV_PRICE_1;IP_PROP670
4775;карниз 1.50.115;1.50.115;N;ВР000001045;;1113.00;1091
4776;карниз 1.50.116;1.50.116;N;ВР000001487;;2809.00;2750
4777;карниз 1.50.117;1.50.117;N;ВР000001046;;2462.00;2742
4778;карниз 1.50.118;1.50.118;N;ВР000001868;;1871.00;1831
4779;карниз 1.50.119;1.50.119;N;ВР000001858;;1531.00;1499
4780;карниз 1.50.120;1.50.120;N;ВР000001867;;3112.00;3047
4781;карниз 1.50.121;1.50.121;N;ВР000001047;N;1501.00;1470
4782;карниз 1.50.122;1.50.122;N;ВР000001048;;987.00;967
4783;карниз 1.50.100;1.50.100;N;ВР000001042;N;1201.00;1341
4784;карниз 1.50.102;1.50.102;N;ВР000005632;;1098.00;1076
4785;карниз 1.50.103;1.50.103;N;ВР000005166;;1108.00;1087
4786;карниз 1.50.104;1.50.104;N;ВР000001293;;2732.00;2674
4787;карниз 1.50.105;1.50.105;N;ВР000005167;;1347.00;1320
4788;карниз 1.50.106;1.50.106;N;ВР000005174;;1455.00;1426
4789;карниз 1.50.107;1.50.107;N;ВР000005326;;1723.00;1687
4791;карниз 1.50.110;1.50.110;N;ВР000002931;;3528.00;3452
4792;карниз 1.50.111;1.50.111;N;ВР000001285;N;2888.00;2828
4793;карниз 1.50.112;1.50.112;N;ВР000001043;;1433.00;1403
4794;карниз 1.50.113;1.50.113;N;ВР000001044;;1367.00;1488
4795;карниз 1.50.123;1.50.123;N;ВР000001718;;1022.00;1000
4796;карниз 1.50.124;1.50.124;N;ВР000001972;;2550.00;2547
4797;карниз 1.50.125;1.50.125;N;ВР000002129;;2140.00;2095
4798;карниз 1.50.126;1.50.126;N;ВР001003726;;1500.00;1467
4799;карниз 1.50.127;1.50.127;N;ВР000002929;N;1455.00;1426
4800;карниз 1.50.128;1.50.128;N;ВР000002329;;2480.00;2492
4801;карниз 1.50.129;1.50.129;N;ВР000005168;;1468.00;1436
4802;карниз 1.50.130;1.50.130;N;ВР000001049;;1029.00;1008
4803;карниз 1.50.131;1.50.131;N;ВР000001081;N;2306.00;2452
