IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP252;IP_PROP253;IP_PROP254;IP_PROP255;IP_PROP257;IP_PROP258;CV_PRICE_1;IP_PROP565;IP_PROP600;IP_PROP670
4774;карниз 1.50.114;1.50.114;Нет;58,89;8293;519;375;19,92;19,92;1252.00;63,7;234919;1124
4775;карниз 1.50.115;1.50.115;Нет;47,56;6694;417;303;16,01;16,01;1011.00;51,4;189799;910
4776;карниз 1.50.116;1.50.116;Нет;120,09;16906;1058;763;40,26;40,26;2553.00;129,9;478665;2293
4777;карниз 1.50.117;1.50.117;Нет;119,81;14795;1112;761;40,8;40,8;2238.00;129,5;419814;2286
4778;карниз 1.50.118;1.50.118;Нет;133,26;18739;1172;847;44,6;44,6;2833.00;144;531143;2543
4779;карниз 1.50.119;1.50.119;Нет;65,43;9210;577;416;22,08;22,08;1391.00;70,7;260912;1249
4780;карниз 1.50.120;1.50.120;Нет;133,08;18718;1204;846;45,88;45,88;2829.00;143,8;530161;2539
4781;карниз 1.50.121;1.50.121;Нет;64,16;9039;565;408;21,34;21,34;1364.00;69,4;256007;1225
4782;карниз 1.50.122;1.50.122;Нет;42,19;5948;371;269;14,24;14,24;897.00;45,6;168219;805
4783;карниз 1.50.100;1.50.100;Нет;58,52;7227;519;372;19,92;19,92;1091.00;63,2;204512;1117
4784;карниз 1.50.102;1.50.102;Нет;46,95;6609;413;299;16,01;16,01;998.00;50,7;187346;896
4785;карниз 1.50.103;1.50.103;Нет;47,37;6673;415;301;15,39;15,39;1007.00;51,1;188818;903
4786;карниз 1.50.104;1.50.104;Нет;116,8;16437;1027;742;38,96;38,96;2483.00;126,2;465423;2228
4787;карниз 1.50.105;1.50.105;Нет;57,58;8101;507;366;18,73;18,73;1224.00;62,3;229524;1100
4788;карниз 1.50.106;1.50.106;Нет;62,19;8741;548;395;19,98;19,98;1322.00;67,2;248161;1186
4789;карниз 1.50.107;1.50.107;Нет;122,77;17268;1081;781;41,13;41,13;2610.00;132,6;489455;2342
4790;карниз 1.50.109;1.50.109;Нет;133,26;18739;1172;847;44,6;44,6;2833.00;144;531143;2543
4791;карниз 1.50.110;1.50.110;Нет;150,86;21212;1327;958;50,65;50,65;3207.00;163;601275;2878
4792;карниз 1.50.111;1.50.111;Нет;123,48;17375;1087;785;41,13;41,13;2625.00;133,4;491908;2355
4793;карниз 1.50.112;1.50.112;Нет;61,25;8634;538;390;20,78;20,78;1302.00;66,2;244237;1169
4794;карниз 1.50.113;1.50.113;Нет;65,01;8229;572;414;20,81;20,81;1242.00;70,2;232957;1242
4795;карниз 1.50.123;1.50.123;Нет;43,7;6140;384;278;14,71;14,71;929.00;47,2;174105;834
4796;карниз 1.50.124;1.50.124;Нет;111,25;15328;981;707;37,22;37,22;2318.00;120,3;434526;2121
4797;карниз 1.50.125;1.50.125;Нет;91,49;12876;806;582;30,73;30,73;1945.00;98,9;364395;1744
4798;карниз 1.50.126;1.50.126;Нет;64,12;9018;564;408;21,34;21,34;1363.00;69,3;255517;1225
4799;карниз 1.50.127;1.50.127;Нет;62,19;8741;548;395;20,78;20,78;1322.00;67,2;248161;1186
4800;карниз 1.50.128;1.50.128;Нет;108,8;14923;957;692;36,36;36,36;2254.00;117,5;422757;2076
4801;карниз 1.50.129;1.50.129;Нет;62,75;8826;553;400;21,21;21,21;1334.00;67,9;250123;1198
4802;карниз 1.50.130;1.50.130;Нет;43,98;6204;386;280;14,71;14,71;935.00;47,5;175576;841
4803;карниз 1.50.131;1.50.131;Нет;107,11;13878;943;681;35,92;35,92;2096.00;115,8;392839;2043
4804;карниз 1.50.132;1.50.132;Нет;159,7;18286;1405;1015;53,25;53,25;2520.00;172,6;553125;3044
