IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP409;IP_PROP410;IP_PROP411;IP_PROP412;IP_PROP413;IP_PROP414;IP_PROP544;IP_PROP545;IP_PROP546;IP_PROP547;IP_PROP408;IP_PROP618
4774;карниз 1.50.114;1.50.114;N;Y;N;Y;N;N;N;N;N;N;N;N;Y
4775;карниз 1.50.115;1.50.115;N;N;Y;N;N;Y;N;N;N;N;N;N;N
4776;карниз 1.50.116;1.50.116;N;Y;N;Y;N;N;N;N;N;N;N;N;Y
4777;карниз 1.50.117;1.50.117;N;N;Y;N;N;Y;N;N;Y;N;N;N;N
4778;карниз 1.50.118;1.50.118;N;Y;N;N;N;Y;N;Y;N;N;N;N;Y
4779;карниз 1.50.119;1.50.119;N;Y;N;N;N;Y;N;N;N;N;N;N;Y
4780;карниз 1.50.120;1.50.120;N;Y;N;Y;Y;N;N;N;N;N;N;N;N
4781;карниз 1.50.121;1.50.121;N;N;Y;N;N;Y;N;N;N;Y;N;N;Y
4782;карниз 1.50.122;1.50.122;N;N;Y;N;N;N;N;N;N;Y;N;N;Y
4783;карниз 1.50.100;1.50.100;N;N;Y;N;N;Y;N;Y;N;N;N;N;Y
4784;карниз 1.50.102;1.50.102;N;N;Y;N;N;Y;N;N;N;Y;N;N;N
4785;карниз 1.50.103;1.50.103;N;N;Y;N;N;N;N;N;N;Y;N;N;Y
4786;карниз 1.50.104;1.50.104;N;Y;N;Y;N;N;N;Y;N;N;N;N;Y
4787;карниз 1.50.105;1.50.105;N;N;Y;N;N;Y;N;N;N;Y;N;N;Y
4788;карниз 1.50.106;1.50.106;N;N;Y;N;N;N;N;Y;Y;N;N;N;Y
4789;карниз 1.50.107;1.50.107;N;Y;N;N;N;Y;N;N;N;Y;N;N;N
4790;карниз 1.50.109;1.50.109;N;Y;N;N;N;N;Y;Y;N;N;N;N;N
4791;карниз 1.50.110;1.50.110;N;Y;N;N;N;N;N;Y;N;N;N;N;N
4792;карниз 1.50.111;1.50.111;N;Y;N;N;N;N;Y;Y;N;N;N;N;N
4793;карниз 1.50.112;1.50.112;N;Y;N;Y;N;Y;N;N;N;N;N;N;Y
4794;карниз 1.50.113;1.50.113;N;N;Y;N;N;Y;N;Y;N;N;N;N;N
4795;карниз 1.50.123;1.50.123;N;N;Y;N;N;Y;N;N;N;Y;N;N;N
4796;карниз 1.50.124;1.50.124;N;Y;N;Y;Y;N;N;N;N;N;N;N;Y
4797;карниз 1.50.125;1.50.125;N;Y;N;Y;Y;N;N;N;N;N;N;N;Y
4798;карниз 1.50.126;1.50.126;N;N;Y;N;N;N;N;Y;Y;N;Y;N;Y
4799;карниз 1.50.127;1.50.127;N;Y;N;N;N;Y;N;Y;N;N;N;N;Y
4800;карниз 1.50.128;1.50.128;N;Y;N;N;Y;N;N;N;N;N;N;N;Y
4801;карниз 1.50.129;1.50.129;N;N;Y;N;N;Y;Y;N;N;N;N;N;Y
4802;карниз 1.50.130;1.50.130;N;N;Y;N;N;N;Y;Y;N;N;N;N;N
4803;карниз 1.50.131;1.50.131;N;N;Y;N;N;N;N;Y;Y;N;Y;N;Y
4804;карниз 1.50.132;1.50.132;N;N;Y;N;N;Y;Y;N;N;N;N;N;Y
4805;карниз 1.50.133;1.50.133;N;N;Y;N;N;N;Y;Y;N;N;N;N;Y
4806;карниз 1.50.134;1.50.134;N;N;Y;N;N;Y;Y;N;Y;N;N;N;N
4807;карниз 1.50.135;1.50.135;N;N;Y;N;N;N;N;N;Y;N;Y;N;Y
4808;карниз 1.50.136;1.50.136;N;Y;N;Y;Y;N;N;N;N;N;N;N;N
4809;карниз 1.50.137;1.50.137;N;Y;N;Y;Y;N;N;N;N;N;N;N;N
4810;карниз 1.50.138;1.50.138;N;Y;N;Y;Y;N;N;N;N;N;N;N;N
4811;карниз 1.50.139;1.50.139;N;N;Y;N;N;N;Y;Y;N;N;N;N;N
4812;карниз 1.50.140;1.50.140;N;N;Y;N;N;N;Y;Y;Y;N;N;N;Y
4813;карниз 1.50.141;1.50.141;N;N;Y;N;N;Y;N;Y;N;N;N;N;N
4814;карниз 1.50.142;1.50.142;N;N;Y;N;N;N;Y;N;Y;N;Y;N;Y
4815;карниз 1.50.143;1.50.143;N;N;Y;N;N;Y;N;N;N;Y;N;N;Y
4816;карниз 1.50.144;1.50.144;N;N;Y;N;N;N;N;N;N;Y;N;N;Y
4817;карниз 1.50.145;1.50.145;N;N;Y;N;N;N;Y;N;Y;N;N;N;N
4818;карниз 1.50.146;1.50.146;N;N;Y;N;N;Y;N;Y;N;N;N;N;Y
