IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP537;IP_PROP538;IP_PROP539;IP_PROP540;IP_PROP541;IP_PROP542;IP_PROP543;IP_PROP664;IP_PROP672;IP_PROP673;IP_PROP676;IP_PROP677;IP_PROP702;IP_PROP703;IP_PROP704;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP175;IP_PROP102;IP_PROP113;IC_GROUP0;IC_GROUP1;IC_GROUP2
3115;Барнаул, Квадро Интерьер (ООО «Стройклассика») ;"<p><strong>ООО ""Стройклассика"" салон &laquo;Квадро-интерьер&raquo;</strong><br />Барнаул, пр-т Строителей, 14а, <br />салон &laquo;Квадро-интерьер&raquo; <br />тел.: +7 385 261 0606 <br /><a href=""http://www.quadro-interier.ru"">www.quadro-interier.ru </a><br /><a href=""mailto:info@quadro-interier.ru"">info@quadro-interier.ru</a></p>";;Строителей проспект, 14а;;;ООО «Стройклассика»;Квадро Интерьер;+7 (3852) 61-06-06;design@kuadro.ru;;;10:00 - 19:00;;;;;;;;;retail;;;;Y;;N;10:00 - 18:00;Выходной;N;;53.352525,83.764639;3114;;;
3117;"Белгород, ЕВРОПЛАСТ (ООО &amp;quot;ВК Хим&amp;quot;) ";"<p><strong>ООО ""ВК Хим"" </strong><br />Белгород, ул. Восточная,71 офис 306 <br />тел.: +7 472 220 75 82, <span style=""font-family: 'Verdana','sans-serif'; color: black; font-size: 7.5pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-bidi-font-family: 'Times New Roman'; mso-fareast-language: RU; mso-ansi-language: RU; mso-bidi-language: AR-SA;"">+7 903 885 0022</span><br /><a href=""mailto:vkhim2008@yandex.ru"">vkhim2008@yandex.ru</a></p>";;улица Восточная, д. 71, 1 этаж;;;"ООО ""ВК Хим""";ЕВРОПЛАСТ;"+7 (903) 886-07-70; +7 (4722) 20-75-82";vkhim2008@yandex.ru;vkhim2008@yandex.ru;archdekor.ru;10:00 - 18:00;;N;N;N;N;;;vkhim2008@ya.ru;;;;;Y;+7 (903) 886-07-70;N;10:00 - 15:00;10:00 - 15:00;Y;;50.5755,36.5444;3116;;;
3124;"Волгоград, DECOLE шоу-рум (ООО &amp;quot;ДЕКОЛЕ&amp;quot;) ";"<p><strong>Сеть фирменных салонов ""Декорация"" </strong><br />Волгоград, ул. Тулака<br />Оптово-строительный рынок на Тулака,<br />бывшее здание администрации, левое крыло<br />тел.: +7 844 226 8356</p>";;улица 25 лет Октября д. 1, строение 2, этаж 1;Оптово-строительный рынок на Тулака;Вход в шоу-рум с торца здания;"ООО ""ДЕКОЛЕ""";DECOLE шоу-рум;"+7 (8442) 60-19-08; +7 (962) 760-19-08";salon-decoracia@mail.ru;;www.decole.ru;09:00 - 17:00;;N;N;N;N;;;;retail;;;;Y;;N;10:00 - 15:00;Выходной;N;;48.673416,44.470635;3123;;;
3126;"Воронеж, Магазин &amp;quot;Дон-Декор&amp;quot; (ООО &amp;quot;Дон-Декор&amp;quot;) ";"<p><strong>Дизайн-студия &laquo;Дон-Декор&raquo;</strong><br />Воронеж, ул. Донбасская, д. 7,<br />тел.: +7 473 252 6774, +7 473&nbsp;229 0469<br /><a href=""http://www.dondecor.ru"">www.dondecor.ru</a><br /><a href=""mailto:mail@dondecor.ru"">mail@dondecor.ru</a></p>";;улица Донбасская, д. 7 (1 этаж);;Угловой магазин, ближе к пл. Застава;"ООО ""Дон-Декор""";"Магазин ""Дон-Декор""";"+7 (4732) 52-67-74; +7 (4732) 29-04-69";vpn@dondecor.ru;vpn@dondecor.ru;www.2decor.ru;10:00 - 17:00;;N;N;N;N;;;vpn@dondecor.ru;;;;;Y;;N;11:00 - 15:00;Выходной;N;;51.67277,39.181324;3125;;;
3134;Ижевск, «Дженти» (ООО «Дженти») ;"<p><strong>ЗАО ""Дженти""</strong><br />Ижевск, ул. Удмуртская, 304, <br />Строительный центр ""Гвоздь"", офис 3, офис 210а<br />тел.: +7 341 265 6530, +7 341 256 8030<br /><a href=""http://www.g-set.ru"">www.g-set.ru</a><br /><a href=""mailto:andrei-lipin@mail.ru"">andrei-lipin@mail.ru</a></p>";;ул. Удмуртская, 304, корпус 4, этаж 2, пав. 326;Строительный центр «Гвоздь»;зеленый зал, 2 этаж;ООО «Дженти»;«Дженти»;"+7 (3412) 65-65-30; +7 (919) 916-80-30";domdekora@djenti.ru;domdekora@djenti.ru;www.djenti.ru;09:00 - 20:00;;;;;;;;domdecora@list.ru;retail;;;;Y;+7 (3412) 65-65-30;N;10:00 - 20:00;10:00 - 19:00;Y;;56.86088,53.222672;3133;;;
3136;Иркутск, ООО Элит Декор (ООО Элит Декор) ;"<p><strong>ООО ""Элит Декор""</strong><br />Иркутск, ул. 30-й Иркутской Дивизии, 51<br />тел.: +7 395 227 8787<br /><a href=""http://www.elit-decor.com"">www.elit-decor.com</a><br /><a href=""mailto:info@elit-decor.com"">info@elit-decor.com</a></p>";;Иркутской 30-й Дивизии, д. 51;Салон Элит Декор;;ООО Элит Декор;ООО Элит Декор;+7 (3952) 27-87-87;info@elit-decor.com;olgkostin@yandex.ru;www.elit-decor.com;10:00 - 18:00;;;;;;;;olgkostin@yandex.ru;;;;;Y;+7 (3952) 27-87-87;N;11:00 - 17:00;Выходной;N;;52.266694,104.33358;3135;;;
3140;Калининград, Dom&Decor (ООО Скандинавская Мебель, ИП В.А. Федоров) ;"<p><strong>ООО &laquo;КБМ&raquo;, Магазин &laquo;КБМ&raquo;</strong><br />Калининград, пр-т Победы, 157 А<br />тел.: +7 401 256 5375<br /><a href=""http://www.dom-decor.com"">www.dom-decor.com</a><br /><a href=""mailto:info@dom-decor.com"">info@dom-decor.com</a></p>";;Проспект Победы, д. 157А, 1 этаж;территория «Калининградбуммонтаж»;;ООО Скандинавская Мебель, ИП В.А. Федоров;Dom&Decor;"+7 (4012) 75-85-75; +7 (963) 292-48-78";salon@dom-decor.com;salon@dom-decor.com;dom-decor.com;10:00 - 19:00;;N;N;N;N;;;salon@dom-decor.com;;;;;Y;;N;10:00 - 18:00;Выходной;N;;54.710602,20.437814;3138;;;
3146;"Кемерово, DecoХолл (ООО &amp;quot;Олимп Плюс&amp;quot;) ";"<p><strong>Студия ""Гранд Декор""</strong><br />Кемерово, пр. Ленина 81-А<br />тел.: +7 384 235 9663<br /><a href=""http://www.granddekor.ru"">www.granddekor.ru</a><br /><a href=""mailto:mail@granddekor.ru"">mail@granddekor.ru</a></p>";;"проспект Ленина, д. 81-""А"", этаж 1";Магазин;;"ООО ""Олимп Плюс""";DecoХолл;+7 (3842) 35-96-63;lepnina@granddekor.ru;lepnina@granddekor.ru;granddekor.ru;10:00 - 19:00;;;;;;;;lepnina@granddekor.ru;retail;;;;Y;+7 (3842) 35-96-63;N;11:00 - 17:00;Выходной;N;;55.342977,86.120477;3145;;;
3160;Курск, салон  Ампир-декор (ИП Шаталова Т.Л.) ;"<p><strong>Магазин &laquo;Дом обоев&raquo;</strong><br />305001, г.Курск, ул.Добролюбова, д.15а<br />+7 471 239 6135, +7 471 239 6136<br /><a href=""mailto:oboidom@yandex.ru"">oboidom@yandex.ru</a></p>";;улица Добролюбова, д. 15а, 1 этаж;Торговый центр;;ИП Шаталова Т.Л.;салон Ампир-декор;4712396138;salonampirkursk@yandex.ru;;;10:00 - 20:00;;;;;;;;;;;;;;;;10:00 - 20:00;10:00 - 20:00;Y;;51.724024,36.186808;3154;;;
3162;Магнитогорск, салон АРХИТЕКТОР (ИП Козлова Н.Б.) ;"<p><strong>Салон ""Lux Decor""</strong><br />Магнитогорск, ул. Калинина д.1<br />+7 351 922 1899<br /><a href=""mailto:decorsalon@gmail.com"">decorsalon@gmail.com</a></p>";;улица Калинина д.1, этаж 1;Салон;"Бывшее детское кафе ""Сказка""";ИП Козлова Н.Б.;салон АРХИТЕКТОР;+7 (3519) 22-18-99;ldsalon@mail.ru;ldsalon@mail.ru;;10:00 - 19:00;;N;N;N;N;;;ldsalon@mail.ru;retail;;;;Y;+7 (3519) 22-18-99;N;10:00 - 17:00;Выходной;N;;53.419776,58.996497;3161;;;
