IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148;CV_PRICE_1;IC_GROUP0;IC_GROUP1;IC_GROUP2
4774;карниз 1.50.114;1.50.114;Нет;2000;;;;32;65;;;;;;;;;;1252.00;Интерьерный декор;карнизы;
4775;карниз 1.50.115;1.50.115;Нет;2000;;;;46;49;;;;;;;;;;1011.00;Интерьерный декор;карнизы;
4776;карниз 1.50.116;1.50.116;Нет;2000;;;;99;100;;;;;;;;;;2553.00;Интерьерный декор;карнизы;
4777;карниз 1.50.117;1.50.117;Нет;2000;;;;104;154;;;;;;;;;;2238.00;Интерьерный декор;карнизы;
4778;карниз 1.50.118;1.50.118;Нет;2000;;;;131;130;;;;;;;;;;2833.00;Интерьерный декор;карнизы;
4779;карниз 1.50.119;1.50.119;Нет;2000;;;;56;113;;;;;;;;;;1391.00;Интерьерный декор;карнизы;
4780;карниз 1.50.120;1.50.120;Нет;2000;;;;112;142;;;;;;;;;;2829.00;Интерьерный декор;карнизы;
4781;карниз 1.50.121;1.50.121;Нет;2000;;;;50;101;;;;;;;;;;1364.00;Интерьерный декор;карнизы;
4782;карниз 1.50.122;1.50.122;Нет;2000;;;;40;50;;;;;;;;;;897.00;Интерьерный декор;карнизы;
4783;карниз 1.50.100;1.50.100;Нет;2000;;;;55;64;;;;;;;;;;1091.00;Интерьерный декор;карнизы;
4784;карниз 1.50.102;1.50.102;Нет;2000;;;;76;69;;;;;;;;;;998.00;Интерьерный декор;карнизы;
4785;карниз 1.50.103;1.50.103;Нет;2000;;;;50;50;;;;;;;;;;1007.00;Интерьерный декор;карнизы;
4786;карниз 1.50.104;1.50.104;Нет;2000;;;;73;116;;;;;;;;;;2483.00;Интерьерный декор;карнизы;
4787;карниз 1.50.105;1.50.105;Нет;2000;;;;63;60;;;;;;;;;;1224.00;Интерьерный декор;карнизы;
4788;карниз 1.50.106;1.50.106;Нет;2000;;;;90;71;;;;;;;;;;1322.00;Интерьерный декор;карнизы;
4789;карниз 1.50.107;1.50.107;Нет;2000;;;;107;148;;;;;;;;;;2610.00;Интерьерный декор;карнизы;
4790;карниз 1.50.109;1.50.109;Нет;2000;;;;190;78;;;;;;;;;;2833.00;Интерьерный декор;карнизы;
4791;карниз 1.50.110;1.50.110;Нет;2000;;;;189;169;;;;;;;;;;3207.00;Интерьерный декор;карнизы;
4792;карниз 1.50.111;1.50.111;Нет;2000;;;;118;112;;;;;;;;;;2625.00;Интерьерный декор;карнизы;
4793;карниз 1.50.112;1.50.112;Нет;2000;;;;39;74;;;;;;;;;;1302.00;Интерьерный декор;карнизы;
4794;карниз 1.50.113;1.50.113;Нет;2000;;;;80;83;;;;;;;;;;1242.00;Интерьерный декор;карнизы;
4795;карниз 1.50.123;1.50.123;Нет;2000;;;;30;30;;;;;;;;;;929.00;Интерьерный декор;карнизы;
4796;карниз 1.50.124;1.50.124;Нет;2000;;;;55;115;;;;;;;;;;2318.00;Интерьерный декор;карнизы;
4797;карниз 1.50.125;1.50.125;Нет;2000;;;;85;90;;;;;;;;;;1945.00;Интерьерный декор;карнизы;
4798;карниз 1.50.126;1.50.126;Нет;2000;;;;90;93;;;;;;;;;;1363.00;Интерьерный декор;карнизы;
4799;карниз 1.50.127;1.50.127;Нет;2000;;;;46;89;;;;;;;;;;1322.00;Интерьерный декор;карнизы;
4800;карниз 1.50.128;1.50.128;Нет;2000;;;;66;144;;;;;;;;;;2254.00;Интерьерный декор;карнизы;
4801;карниз 1.50.129;1.50.129;Нет;2000;;;;74;85;;;;;;;;;;1334.00;Интерьерный декор;карнизы;
4802;карниз 1.50.130;1.50.130;Нет;2000;;;;30;32;;;;;;;;;;935.00;Интерьерный декор;карнизы;
4803;карниз 1.50.131;1.50.131;Нет;2000;;;;136;63;;;;;;;;;;2096.00;Интерьерный декор;карнизы;
4804;карниз 1.50.132;1.50.132;Нет;2000;;;;117;218;;;;;;;;;;2520.00;Интерьерный декор;карнизы;
4805;карниз 1.50.133;1.50.133;Нет;2000;;;;115;120;;;;;;;;;;1832.00;Интерьерный декор;карнизы;
4806;карниз 1.50.134;1.50.134;Нет;2000;;;;193;150;;;;;;;;;;3280.00;Интерьерный декор;карнизы;
4807;карниз 1.50.135;1.50.135;Нет;2000;;;;159;40;;;;;;;;;;2365.00;Интерьерный декор;карнизы;
4808;карниз 1.50.136;1.50.136;Нет;2000;;;;61;165;;;;;;;;;;2651.00;Интерьерный декор;карнизы;
4809;карниз 1.50.137;1.50.137;Нет;2000;;;;185;190;;;;;;;;;;3471.00;Интерьерный декор;карнизы;
4810;карниз 1.50.138;1.50.138;Нет;2000;;;;151;165;;;;;;;;;;2908.00;Интерьерный декор;карнизы;
4811;карниз 1.50.139;1.50.139;Нет;2000;;;;99;100;;;;;;;;;;2226.00;Интерьерный декор;карнизы;
4812;карниз 1.50.140;1.50.140;Нет;2000;;;;56;56;;;;;;;;;;1299.00;Интерьерный декор;карнизы;
4813;карниз 1.50.141;1.50.141;Нет;2000;;;;68;72;;;;;;;;;;1299.00;Интерьерный декор;карнизы;
4814;карниз 1.50.142;1.50.142;Нет;2000;;;;195;45;;;;;;;;;;2908.00;Интерьерный декор;карнизы;
4815;карниз 1.50.143;1.50.143;Нет;2000;;;;69;73;;;;;;;;;;1252.00;Интерьерный декор;карнизы;
4816;карниз 1.50.144;1.50.144;Нет;2000;;;;82;81;;;;;;;;;;1391.00;Интерьерный декор;карнизы;
4817;карниз 1.50.145;1.50.145;Нет;2000;;;;262;92;;;;;;;;;;3692.00;Интерьерный декор;карнизы;
4818;карниз 1.50.146;1.50.146;Нет;2000;;;;76;149;;;;;;;;;;2352.00;Интерьерный декор;карнизы;
4819;карниз 1.50.147;1.50.147;Нет;2000;;;;125;173;;;;;;;;;;2908.00;Интерьерный декор;карнизы;
4820;карниз 1.50.148;1.50.148;Нет;2000;;;;120;117;;;;;;;;;;2475.00;Интерьерный декор;карнизы;
4822;карниз 1.50.150;1.50.150;Нет;2000;;;;40;41;;;;;;;;;;955.00;Интерьерный декор;карнизы;
4823;карниз 1.50.151;1.50.151;Нет;2000;;;;144;171;;;;;;;;;;3748.00;Интерьерный декор;карнизы;
4824;карниз 1.50.152;1.50.152;Нет;2000;;;;155;172;;;;;;;;;;3748.00;Интерьерный декор;карнизы;
4825;карниз 1.50.153;1.50.153;Нет;2000;;;;159;170;;;;;;;;;;3748.00;Интерьерный декор;карнизы;
