IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148;CV_PRICE_1;IP_PROP706;IP_PROP707;IC_GROUP0;IC_GROUP1;IC_GROUP2
4775;карниз 1.50.115;1.50.115;N;2000;;;;46;49;;;;;;;;;;1113.00;457;6,4;Интерьерный декор;карнизы;
4776;карниз 1.50.116;1.50.116;N;2000;;;;99;100;;;;;;;;;;2809.00;500;18;Интерьерный декор;карнизы;
4777;карниз 1.50.117;1.50.117;N;2000;;;;104;154;;;;;;;;;;2462.00;550;26,6;Интерьерный декор;карнизы;
4778;карниз 1.50.118;1.50.118;N;2000;;;;131;130;;;;;;;;;;1871.00;550;33,5;Интерьерный декор;карнизы;
4779;карниз 1.50.119;1.50.119;N;2000;;;;56;113;;;;;;;;;;1531.00;500;15,9;Интерьерный декор;карнизы;
4780;карниз 1.50.120;1.50.120;N;2000;;;;112;142;;;;;;;;;;3112.00;550;33,2;Интерьерный декор;карнизы;
4781;карниз 1.50.121;1.50.121;N;2000;;;;50;101;;;;;;;;;;1501.00;500;14,6;Интерьерный декор;карнизы;
4782;карниз 1.50.122;1.50.122;N;2000;;;;40;50;;;;;;;;;;987.00;457;8,8;Интерьерный декор;карнизы;
4783;карниз 1.50.100;1.50.100;N;2000;;;;55;64;;;;;;;;;;1201.00;500;9,3;Интерьерный декор;карнизы;
4784;карниз 1.50.102;1.50.102;N;2000;;;;76;69;;;;;;;;;;1098.00;500;8,6;Интерьерный декор;карнизы;
4785;карниз 1.50.103;1.50.103;N;2000;;;;50;50;;;;;;;;;;1108.00;500;7,7;Интерьерный декор;карнизы;
4786;карниз 1.50.104;1.50.104;N;2000;;;;73;116;;;;;;;;;;2732.00;564;23,5;Интерьерный декор;карнизы;
4787;карниз 1.50.105;1.50.105;N;2000;;;;63;60;;;;;;;;;;1347.00;457;10,8;Интерьерный декор;карнизы;
4788;карниз 1.50.106;1.50.106;N;2000;;;;90;71;;;;;;;;;;1455.00;457;13,2;Интерьерный декор;карнизы;
4789;карниз 1.50.107;1.50.107;N;2000;;;;107;148;;;;;;;;;;1723.00;564;28,4;Интерьерный декор;карнизы;
4791;карниз 1.50.110;1.50.110;N;2000;;;;189;169;;;;;;;;;;3528.00;564;47;Интерьерный декор;карнизы;
4792;карниз 1.50.111;1.50.111;N;2000;;;;118;112;;;;;;;;;;2888.00;564;30,1;Интерьерный декор;карнизы;
4793;карниз 1.50.112;1.50.112;N;2000;;;;39;74;;;;;;;;;;1433.00;457;15,4;Интерьерный декор;карнизы;
4794;карниз 1.50.113;1.50.113;N;2000;;;;80;83;;;;;;;;;;1367.00;500;13,6;Интерьерный декор;карнизы;
4795;карниз 1.50.123;1.50.123;N;2000;;;;30;30;;;;;;;;;;1022.00;429;3,5;Интерьерный декор;карнизы;
4796;карниз 1.50.124;1.50.124;N;2000;;;;55;115;;;;;;;;;;2550.00;500;19,4;Интерьерный декор;карнизы;
4797;карниз 1.50.125;1.50.125;N;2000;;;;85;90;;;;;;;;;;2140.00;500;12,7;Интерьерный декор;карнизы;
4798;карниз 1.50.126;1.50.126;N;2000;;;;90;93;;;;;;;;;;1500.00;500;14,2;Интерьерный декор;карнизы;
4799;карниз 1.50.127;1.50.127;N;2000;;;;46;89;;;;;;;;;;1455.00;500;10,3;Интерьерный декор;карнизы;
4800;карниз 1.50.128;1.50.128;N;2000;;;;66;144;;;;;;;;;;2480.00;500;24;Интерьерный декор;карнизы;
4801;карниз 1.50.129;1.50.129;N;2000;;;;74;85;;;;;;;;;;1468.00;500;16;Интерьерный декор;карнизы;
4802;карниз 1.50.130;1.50.130;N;2000;;;;30;32;;;;;;;;;;1029.00;429;4,2;Интерьерный декор;карнизы;
4803;карниз 1.50.131;1.50.131;N;2000;;;;136;63;;;;;;;;;;2306.00;500;30,4;Интерьерный декор;карнизы;
4804;карниз 1.50.132;1.50.132;N;2000;;;;117;218;;;;;;;;;;2772.00;550;55,9;Интерьерный декор;карнизы;
4805;карниз 1.50.133;1.50.133;N;2000;;;;115;120;;;;;;;;;;2016.00;550;29,8;Интерьерный декор;карнизы;
4806;карниз 1.50.134;1.50.134;N;2000;;;;193;150;;;;;;;;;;3608.00;550;68,3;Интерьерный декор;карнизы;
4807;карниз 1.50.135;1.50.135;N;2000;;;;159;40;;;;;;;;;;1562.00;429;17,6;Интерьерный декор;карнизы;
4808;карниз 1.50.136;1.50.136;N;2000;;;;61;165;;;;;;;;;;1751.00;550;36,3;Интерьерный декор;карнизы;
4809;карниз 1.50.137;1.50.137;N;2000;;;;185;190;;;;;;;;;;3819.00;550;56,1;Интерьерный декор;карнизы;
4810;карниз 1.50.138;1.50.138;N;2000;;;;151;165;;;;;;;;;;3199.00;550;31,8;Интерьерный декор;карнизы;
4811;карниз 1.50.139;1.50.139;N;2000;;;;99;100;;;;;;;;;;2449.00;500;16;Интерьерный декор;карнизы;
4812;карниз 1.50.140;1.50.140;N;2000;;;;56;56;;;;;;;;;;1429.00;457;10,8;Интерьерный декор;карнизы;
4813;карниз 1.50.141;1.50.141;N;2000;;;;68;72;;;;;;;;;;1429.00;457;14,4;Интерьерный декор;карнизы;
4814;карниз 1.50.142;1.50.142;N;2000;;;;195;45;;;;;;;;;;3199.00;500;32,8;Интерьерный декор;карнизы;
4815;карниз 1.50.143;1.50.143;N;2000;;;;69;73;;;;;;;;;;1378.00;500;14,3;Интерьерный декор;карнизы;
4816;карниз 1.50.144;1.50.144;N;2000;;;;82;81;;;;;;;;;;1531.00;500;14;Интерьерный декор;карнизы;
4817;карниз 1.50.145;1.50.145;N;2000;;;;262;92;;;;;;;;;;4062.00;550;60,5;Интерьерный декор;карнизы;
4818;карниз 1.50.146;1.50.146;N;2000;;;;76;149;;;;;;;;;;2588.00;500;31,3;Интерьерный декор;карнизы;
4819;карниз 1.50.147;1.50.147;N;2000;;;;125;173;;;;;;;;;;3199.00;550;31,9;Интерьерный декор;карнизы;
4820;карниз 1.50.148;1.50.148;N;2000;;;;120;117;;;;;;;;;;2723.00;500;17,2;Интерьерный декор;карнизы;
4822;карниз 1.50.150;1.50.150;N;2000;;;;40;41;;;;;;;;;;1051.00;429;4,7;Интерьерный декор;карнизы;
4824;карниз 1.50.152;1.50.152;N;2000;;;;155;172;;;;;;;;;;2474.00;550;158,4;Интерьерный декор;карнизы;
4825;карниз 1.50.153;1.50.153;N;2000;;;;159;170;;;;;;;;;;2474.00;550;159,7;Интерьерный декор;карнизы;
4826;карниз 1.50.154;1.50.154;N;2000;;;;23;23;;;;;;;;;;959.00;429;2;Интерьерный декор;карнизы;
4827;карниз 1.50.155;1.50.155;N;2000;;;;16;25;;;;;;;;;;951.00;429;2,3;Интерьерный декор;карнизы;
4828;карниз 1.50.156;1.50.156;N;2000;;;;30;30;;;;;;;;;;1054.00;429;3,3;Интерьерный декор;карнизы;
4829;карниз 1.50.157;1.50.157;N;2000;;;;31;33;;;;;;;;;;981.00;429;3;Интерьерный декор;карнизы;
4830;карниз 1.50.158;1.50.158;N;2000;;;;34;33;;;;;;;;;;992.00;429;3,5;Интерьерный декор;карнизы;
4831;карниз 1.50.159;1.50.159;N;2000;;;;28;44;;;;;;;;;;1019.00;429;3,2;Интерьерный декор;карнизы;
4832;карниз 1.50.160;1.50.160;N;2000;;;;70;50;;;;;;;;;;1347.00;429;10,4;Интерьерный декор;карнизы;
4833;карниз 1.50.162;1.50.162;N;2000;;;;60;85;;;;;;;;;;1378.00;500;13;Интерьерный декор;карнизы;
4834;карниз 1.50.163;1.50.163;N;2000;;;;65;151;;;;;;;;;;2686.00;564;30;Интерьерный декор;карнизы;
4835;карниз 1.50.164;1.50.164;N;2000;;;;126;126;;;;;;;;;;2954.00;564;26,8;Интерьерный декор;карнизы;
4836;карниз 1.50.165;1.50.165;N;2000;;;;80;82;;;;;;;;;;1405.00;500;13,2;Интерьерный декор;карнизы;
4837;карниз 1.50.166;1.50.166;N;2000;;;;87;142;;;;;;;;;;1709.00;550;22,3;Интерьерный декор;карнизы;
4838;карниз 1.50.167;1.50.167;N;2000;;;;120;119;;;;;;;;;;2888.00;550;20,2;Интерьерный декор;карнизы;
4839;карниз 1.50.168;1.50.168;N;2000;;;;120;119;;;;;;;;;;2888.00;550;20,4;Интерьерный декор;карнизы;
4840;карниз 1.50.169;1.50.169;N;2000;;;;96;99;;;;;;;;;;2723.00;500;20,8;Интерьерный декор;карнизы;
4841;карниз 1.50.170;1.50.170;N;2000;;;;113;79;;;;;;;;;;1531.00;500;19,6;Интерьерный декор;карнизы;
4842;карниз 1.50.171;1.50.171;N;2000;;;;30;45;;;;;;;;;;1011.00;429;4,1;Интерьерный декор;карнизы;
4843;карниз 1.50.172;1.50.172;N;2000;;;;48;47;;;;;;;;;;1050.00;429;4,6;Интерьерный декор;карнизы;
4844;карниз 1.50.173;1.50.173;N;2000;;;;40;55;;;;;;;;;;1054.00;429;6,4;Интерьерный декор;карнизы;
4845;карниз 1.50.174;1.50.174;N;2000;;;;36;62;;;;;;;;;;1071.00;429;5,1;Интерьерный декор;карнизы;
4846;карниз 1.50.175;1.50.175;N;2000;;;;117;135;;;;;;;;;;2871.00;550;29,3;Интерьерный декор;карнизы;
4847;карниз 1.50.176;1.50.176;N;2000;;;;68;131;;;;;;;;;;1562.00;564;22,3;Интерьерный декор;карнизы;
4848;карниз 1.50.177;1.50.177;N;2000;;;;56;119;;;;;;;;;;1567.00;564;13,8;Интерьерный декор;карнизы;
4849;карниз 1.50.180;1.50.180;N;2000;;;;91;121;;;;;;;;;;2665.00;564;18,1;Интерьерный декор;карнизы;
4851;карниз 1.50.182;1.50.182;N;2000;;;;41;69;;;;;;;;;;888.00;500;6,4;Интерьерный декор;карнизы;
4852;карниз 1.50.183;1.50.183;N;2000;;;;84;96;;;;;;;;;;1605.00;500;16,4;Интерьерный декор;карнизы;
4853;карниз 1.50.184;1.50.184;N;2000;;;;73;73;;;;;;;;;;963.00;500;11,1;Интерьерный декор;карнизы;
4855;карниз 1.50.186;1.50.186;N;2000;;;;55;82;;;;;;;;;;963.00;500;11,1;Интерьерный декор;карнизы;
4857;карниз 1.50.188;1.50.188;N;2000;;;;50;53;;;;;;;;;;855.00;500;5,6;Интерьерный декор;карнизы;
4858;карниз 1.50.190;1.50.190;N;2000;;;;25;40;;;;;;;;;;642.00;429;4,1;Интерьерный декор;карнизы;
4859;карниз 1.50.191;1.50.191;N;2000;;;;25;40;;;;;;;;;;630.00;429;3,7;Интерьерный декор;карнизы;
4860;карниз 1.50.192;1.50.192;N;2000;;;;40;70;;;;;;;;;;1454.00;457;11,6;Интерьерный декор;карнизы;
