IE_XML_ID;IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP175;IP_PROP102;IP_PROP113;IC_GROUP0;IC_GROUP1;IC_GROUP2
3110;Европласт - Москва (офис продаж);;;;;;;;;;;;;Нет;;55.613,37.621;3109;;;
3112;Москва, Фирменный магазин;"Каширское ш., д.19 корп. 2, ТВЦ ""Каширский двор"", первый этаж, стенд 1-49";;;;Фирменный магазин;74 959 819 045;kdvor@decor-evroplast.ru;;;;;;Нет;;55.664,37.634;3109;;;
3113;"Москва,  Магазин в ТВЦ ""Город"" – ЕВРОПЛАСТ архитектурный декор";"ш. Энтузиастов д.12 стр.2, ТВЦ ""Город"", 3-й этаж, пав. 351";;;;"Магазин в ТВЦ ""Город"" – ЕВРОПЛАСТ архитектурный декор";79 268 279 037;decorru@yandex.ru;;www.evroplast.ru;;;;Нет;;55.749,37.706;3109;;;
3115;"Барнаул, Салон ""Квадро-интерьер"", пр-т Строителей";Строителей проспект, 14а;;;ООО «Стройклассика»;Квадро Интерьер;"3852610606; 9132542359";design@kuadro.ru;design@kuadro.ru;www.quadro-interier.ru;10:00 - 19:00;10:00 - 18:00;Выходной;Нет;;53.352525,83.764639;3114;;;
3117;"Белгород, ООО ""ВК Хим"", ул. Восточная";улица Восточная, д. 71;;;"ООО ""ВК Хим""";Архдекор;"4722207582; 4722240386";;vkhim2008@yandex.ru;archdekor.ru;10:00 - 18:00;10:00 - 15:00;Выходной;Нет;;50.5755,36.5444;3116;;;
3119;"Брянск, Арт-студия ""Карнавал Красок""  (ООО ""Карнавал Красок"")";ул. 2-я Почепская, д. 35а;;;"ООО ""Карнавал Красок""";"Арт-студия ""Карнавал Красок""";"+7 483 2416802; +7 4832  599441; +7 4832 599442";dekobryansk@mail.ru;dekobryansk@mail.ru;карнавалкрасок.рф;;;;Нет;;53.2458108709,34.3296635423;3118;;;
3120;"Брянск, ТЦ ""Мебель & Дом"" (ИП Кощенков Д.Е.)";улица Красноармейская д. 128;"Торговый Центр "" Мебель&Дом """;"Внутренняя парковка ТЦ ( напротив "" Сантехлюкса"")";ИП Кощенков Д.Е.;"салон "" Империя Декора""";"4832419957; 4832419957";imperiya_dekora@mail.ru;imperiya_dekora@mail.ru;imperiya-dekora.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;53.243195,34.342243;3118;;;
3122;"Ковров, ТК ""ГОРОДОК""";улица Социалистическая, д. 7;"Компания ""Евростиль""";;ИП Юдин Ю.Н.;"""Евростиль""";"9190244054; 4923263332";yurii_yudin@mail.ru;;;9:00 - 18:00;Выходной;Выходной;Нет;;56.3639709327,41.3221420933;3121;;;
3124;"Волгоград, Салон ""Декорация"", ООО ""Голдстрим""";улица 25 лет Октября д.1, оф. 104;Волгоградский оптово-строительный рынок на Тулака;"бывшее здание администрации.вывеска ""Декорация""";"ООО ""Голдстрим""";"Салон ""Декорация""";"8442268356; 8442260666";decoracia_2011@mail.ru;decoracia_2011@mail.ru;www.decoracia.net;09:00 - 17:00;10:00 - 15:00;Выходной;Нет;;48.673293,44.470721;3123;;;
3126;"Воронеж, Дизайн-студия ""Дон-Декор""";улица Донбасская, д. 7;;;"ООО ""Дон-Декор""";"Магазин ""Дон-Декор""";"4732526774; 4732290469";mail@dondecor.ru;rpv@dondecor.ru;dondecor.ru;10:00 - 18:00;11:00 - 16:00;Выходной;Нет;;51.67277,39.181324;3125;;;
3128;"Грозный, Салон ""Альфа-Декор""";улица К. Маркса, д. 46/48, этаж 2;"ТЦ ""Мегаполис""";;ИП Арсанукаев С.С.;"Салон ""Альфа-Декор""";"9298950041; 9288910123; 9671400660";alfadecor-1@mail.ru;alfadecor-1@mail.ru;;09:00 - 18:00;Выходной;Выходной;Нет;Пятница;43.3165222662,45.6842661585;3127;;;
3130;Екатеринбург, ИП Мельников М.Ю.;улица Луначарского, д. 137;"Здание ""Дом Кино""";Центральный вход в Дом Кино;ИП Мельников М.Ю.;Салон лепного декора Гауди;"3433504672; 3433458696";salon-gaudi@mail.ru;salon-gaudi@mail.ru;gaudisalon.ru;10:00 - 19:00;10:00 - 18:00;10:00 - 17:00;Да;;56.837342,60.62198;3129;;;
3132;"Иваново, Декор-центр ""Арагон""";проспект Шереметевский, д.18;"Декор-центр ""Арагон""";;"ООО ""ДекорКомплектСтрой";"Декор-центр ""Арагон""";"4932580264; 9158201116";aragondeco@mail.ru;aragondeco@mail.ru;www.aragondeco.ru;10:00 - 19:00;10:00 - 17:00;Выходной;Нет;;57.000941,40.987952;3131;;;
3134;"Ижевск, ООО ""Дженти"", ТЦ ""Гвоздь""";ул. Удмуртская, 304, корпус 4,  пав. 230;Строительный центр «Гвоздь»;синий зал, 2 эт.;"ООО ""Дженти""";«Дженти»;"3412656530; 9199168030";domdecora@list.ru;domdecora@list.ru;www.g-set.ru;09:00 - 20:00;10:00 - 20:00;10:00 - 19:00;Да;;56.8608803749,53.2226721634;3133;;;
3136;"Иркутск, Офис ООО ""Элит Декор""";Иркутской 30-й Дивизии, д. 51;Салон Элит Декор;;ООО Элит Декор;ООО Элит Декор;3952278787;info@elit-decor.com;info@elit-decor.com;www.elit-decor.com;10:00 - 18:00;11:00 - 17:00;Выходной;Нет;;52.266694,104.33358;3135;;;
3137;"Иркутск, ТЦ ""Фортуна"" (ООО ""Элит Декор"")";улица Октябрьской революции, д. 1, пав. 118;"Строительный центр ""Фортуна Стройматериалы""";;ООО Элит Декор;ООО Элит Декор;3952278787;info@elit-decor.com;info@elit-decor.com;www.elit-decor.com;09:00 - 19:00;11:00 - 17:00;Выходной;Нет;;52.291367,104.297126;3135;;;
