IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP160;IP_PROP161;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP165;IP_PROP167;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4774;карниз;;;2000;;;;1.50.114;30;66;;;;;;;;ВР000001360;КАРНИЗ 1.50.114;;4,00;72,50;Нет;;;Интерьерный декор;карнизы;;676.00
4775;карниз;;;2000;;;;1.50.115;46;49;;;;;;;;ВР000001045;КАРНИЗ 1.50.115;;4,00;72,50;Нет;;;Интерьерный декор;карнизы;;545.00
4776;карниз;;;2000;;;;1.50.116;100;99;;;;;;;;ВР000001487;КАРНИЗ 1.50.116;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1377.00
4777;карниз;;;2000;;;;1.50.117;105;156;;;;;;;;ВР000001046;КАРНИЗ 1.50.117;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1448.00
4778;карниз;;;2000;;;;1.50.118;132;130;;;;;;;;ВР000001868;КАРНИЗ 1.50.118;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1528.00
4779;карниз;;;2000;;;;1.50.119;50;117;;;;;;;;ВР000001858;КАРНИЗ 1.50.119;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;751.00
4780;карниз;;;2000;;;;1.50.120;122;143;;;;;;;;ВР000001867;КАРНИЗ 1.50.120;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1569.00
4781;карниз;;;2000;;;;1.50.121;50;100;;;;;;;;ВР000001047;КАРНИЗ 1.50.121;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;736.00
4782;карниз;;;2000;;;;1.50.122;40;50;;;;;;;;ВР000001048;КАРНИЗ 1.50.122;;4,00;72,50;Нет;;;Интерьерный декор;карнизы;;482.00
4783;карниз;;;2000;;;;1.50.100;55;64;;;;;;;;ВР000001042;КАРНИЗ 1.50.100;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;677.00
4784;карниз;;;2000;;;;1.50.102;75;72;;;;;;;;ВР000005632;КАРНИЗ 1.50.102;;4,00;72,50;Нет;;;Интерьерный декор;карнизы;;537.00
4785;карниз;;;2000;;;;1.50.103;50;50;;;;;;;;ВР000005166;КАРНИЗ 1.50.103;;4,00;72,50;Нет;;;Интерьерный декор;карнизы;;541.00
4786;карниз;;;2000;;;;1.50.104;77;114;;;;;;;;ВР000001293;КАРНИЗ 1.50.104;;4,00;72,50;Нет;;;Интерьерный декор;карнизы;;1339.00
4787;карниз;;;2000;;;;1.50.105;63;60;;;;;;;;ВР000005167;КАРНИЗ 1.50.105;;4,00;72,50;Нет;;;Интерьерный декор;карнизы;;660.00
4788;карниз;;;2000;;;;1.50.106;90;72;;;;;;;;ВР000005174;КАРНИЗ 1.50.106;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;712.00
4789;карниз;;;2000;;;;1.50.107;108;148;;;;;;;;ВР000005326;КАРНИЗ 1.50.107;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1408.00
4790;карниз;;;2000;;;;1.50.109;188;84;;;;;;;;ВР000002930;КАРНИЗ 1.50.109;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1528.00
4791;карниз;;;2000;;;;1.50.110;192;162;;;;;;;;ВР000002931;КАРНИЗ 1.50.110;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1730.00
4792;карниз;;;2000;;;;1.50.111;113;116;;;;;;;;ВР000001285;КАРНИЗ 1.50.111;;4,50;82,80;Нет;;;Интерьерный декор;карнизы;;1416.00
4793;карниз;;;2000;;;;1.50.112;38;76;;;;;;;;ВР000001043;КАРНИЗ 1.50.112;;4,00;72,50;Нет;;;Интерьерный декор;карнизы;;701.00
4794;карниз;;;2000;;;;1.50.113;80;84;;;;;;;;ВР000001044;КАРНИЗ 1.50.113;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;744.00
4795;карниз;;;2000;;;;1.50.123;30;30;;;;;;;;ВР000001718;КАРНИЗ 1.50.123;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;500.00
4796;карниз;;;2000;;;;1.50.124;57;115;;;;;;;;ВР000001972;КАРНИЗ 1.50.124;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1278.00
4797;карниз;;;2000;;;;1.50.125;87;91;;;;;;;;ВР000002129;КАРНИЗ 1.50.125;;4,00;72,50;Нет;;;Интерьерный декор;карнизы;;1049.00
4798;карниз;;;2000;;;;1.50.126;95;91;;;;;;;;ВР001003726;КАРНИЗ 1.50.126;;4,00;72,50;Нет;;;Интерьерный декор;карнизы;;735.00
4799;карниз;;;2000;;;;1.50.127;47;90;;;;;;;;ВР000002929;КАРНИЗ 1.50.127;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;712.00
4800;карниз;;;1970;;;;1.50.128;66;145;;;;;;;;ВР000002329;КАРНИЗ 1.50.128;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1247.00
4801;карниз;;;2000;;;;1.50.129;75;86;;;;;;;;ВР000005168;КАРНИЗ 1.50.129;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;719.00
4802;карниз;;;2000;;;;1.50.130;30;32;;;;;;;;ВР000001049;КАРНИЗ 1.50.130;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;503.00
4803;карниз;;;2000;;;;1.50.131;135;60;;;;;;;;ВР000001081;КАРНИЗ 1.50.131;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1228.00
4804;карниз;;;2000;;;;1.50.132;117;216;;;;;;;;ВР000001050;КАРНИЗ 1.50.132;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1831.00
4805;карниз;;;2000;;;;1.50.133;115;120;;;;;;;;ВР000001076;КАРНИЗ 1.50.133;;4,50;82,80;Нет;;;Интерьерный декор;карнизы;;1247.00
