IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP254
4774;карниз;1.50.114;Нет;386
4775;карниз;1.50.115;Нет;312
4776;карниз;1.50.116;Нет;789
4777;карниз;1.50.117;Нет;829
4778;карниз;1.50.118;Нет;875
4779;карниз;1.50.119;Нет;429
4780;карниз;1.50.120;Нет;897,52
4781;карниз;1.50.121;Нет;422
4782;карниз;1.50.122;Нет;275
4783;карниз;1.50.100;Нет;388
4784;карниз;1.50.102;Нет;307,32
4785;карниз;1.50.103;Нет;309
4786;карниз;1.50.104;Нет;767
4787;карниз;1.50.105;Нет;379
4788;карниз;1.50.106;Нет;407
4789;карниз;1.50.107;Нет;804
4790;карниз;1.50.109;Нет;875
4791;карниз;1.50.110;Нет;989,56
4792;карниз;1.50.111;Нет;810,16
4793;карниз;1.50.112;Нет;400
4794;карниз;1.50.113;Нет;423
4795;карниз;1.50.123;Нет;286
4796;карниз;1.50.124;Нет;730
4797;карниз;1.50.125;Нет;598
4798;карниз;1.50.126;Нет;422
4799;карниз;1.50.127;Нет;407
4800;карниз;1.50.128;Нет;714
4801;карниз;1.50.129;Нет;413
4802;карниз;1.50.130;Нет;288,08
4803;карниз;1.50.131;Нет;702
4804;карниз;1.50.132;Нет;1046
4805;карниз;1.50.133;Нет;714
4806;карниз;1.50.134;Нет;1013
4807;карниз;1.50.135;Нет;737
4808;карниз;1.50.136;Нет;817
4809;карниз;1.50.137;Нет;1071,2
4810;карниз;1.50.138;Нет;897,52
4811;карниз;1.50.139;Нет;695,24
4812;карниз;1.50.140;Нет;400,4
4813;карниз;1.50.141;Нет;400,4
4814;карниз;1.50.142;Нет;897,52
4815;карниз;1.50.143;Нет;393,12
4816;карниз;1.50.144;Нет;429
4817;карниз;1.50.145;Нет;1140
4818;карниз;1.50.146;Нет;725
4819;карниз;1.50.147;Нет;897,52
4820;карниз;1.50.148;Нет;763,88
4821;карниз;1.50.149;Нет;1071
4822;карниз;1.50.150;Нет;295
4823;карниз;1.50.151;Нет;1159
4824;карниз;1.50.152;Нет;1159
4825;карниз;1.50.153;Нет;1159
4826;карниз;1.50.154;Нет;266
4827;карниз;1.50.155;Нет;265
4828;карниз;1.50.156;Нет;295
4829;карниз;1.50.157;Нет;274,56
4830;карниз;1.50.158;Нет;277,16
4831;карниз;1.50.159;Нет;284
4832;карниз;1.50.160;Нет;379
4833;карниз;1.50.162;Нет;393,12
4834;карниз;1.50.163;Нет;755
4835;карниз;1.50.164;Нет;829
4836;карниз;1.50.165;Нет;395
4837;карниз;1.50.166;Нет;801
4838;карниз;1.50.167;Нет;810,16
4839;карниз;1.50.168;Нет;810,16
4840;карниз;1.50.169;Нет;763,88
4841;карниз;1.50.170;Нет;433,68
4842;карниз;1.50.171;Нет;283,4
4843;карниз;1.50.172;Нет;293,8
4844;карниз;1.50.173;Нет;295,36
4845;карниз;1.50.174;Нет;301,6
4846;карниз;1.50.175;Нет;804
4847;карниз;1.50.176;Нет;737,36
4848;карниз;1.50.177;Нет;437
4849;карниз;1.50.180;Нет;747,76
4850;карниз;1.50.181;Нет;422
4851;карниз;1.50.182;Нет;413
4852;карниз;1.50.183;Нет;449,8
4853;карниз;1.50.184;Нет;449,8
4854;карниз;1.50.185;Нет;787
4855;карниз;1.50.186;Нет;449,8
4856;карниз;1.50.187;Нет;399,36
4857;карниз;1.50.188;Нет;399,36
4858;карниз;1.50.190;Нет;298
4859;карниз;1.50.191;Нет;291
4860;карниз;1.50.192;Нет;406
4861;карниз;1.50.193;Нет;419,64
4862;карниз;1.50.194;Нет;386
4863;карниз;1.50.195;Нет;420
4864;карниз;1.50.196;Нет;411
4865;карниз;1.50.197;Нет;449,8
4866;карниз;1.50.198;Нет;441,48
4867;карниз;1.50.200;Нет;400
4868;карниз;1.50.201;Нет;995,28
4869;карниз;1.50.202;Нет;718
4870;карниз;1.50.203;Нет;810,16
4871;карниз;1.50.204;Нет;392
4872;карниз;1.50.208;Нет;436,28
4873;карниз;1.50.209;Нет;931
4874;карниз;1.50.210;Нет;976
4875;карниз;1.50.211;Нет;998,4
4876;карниз;1.50.212;Нет;998,4
4877;карниз;1.50.220;Нет;863,72
4878;карниз;1.50.221;Нет;1011
4879;карниз;1.50.222;Нет;1116
4880;карниз;1.50.250;Нет;740
4881;карниз;1.50.251;Нет;282,36
4882;карниз;1.50.252;Нет;851,76
4883;карниз;1.50.253;Нет;422
4884;карниз;1.50.254;Нет;635
4885;карниз;1.50.255;Нет;716
4886;карниз;1.50.256;Нет;821,6
4887;карниз;1.50.257;Нет;289
4888;карниз;1.50.258;Нет;268
4889;карниз;1.50.259;Нет;386,36
4890;карниз;1.50.260;Нет;997,36
4891;карниз;1.50.261;Нет;739,44
4892;карниз;1.50.262;Нет;831
4893;карниз;1.50.264;Нет;1020
4894;карниз;1.50.265;Нет;436,28
4895;карниз;1.50.266;Нет;392,6
4896;карниз;1.50.267;Нет;834
4897;карниз;1.50.268;Нет;859
4898;карниз;1.50.269;Нет;905
4899;карниз;1.50.270;Нет;971,88
4900;карниз;1.50.271;Нет;1244,88
4901;карниз;1.50.273;Нет;1040
4902;карниз FLEX;1.50.114;Да;773,76
4903;карниз FLEX;1.50.115;Да;624
4904;карниз FLEX;1.50.116;Да;1574
4905;карниз FLEX;1.50.117;Да;1658
4906;карниз FLEX;1.50.118;Да;1748,24
4907;карниз FLEX;1.50.119;Да;860
4908;карниз FLEX;1.50.120;Да;1796
4909;карниз FLEX;1.50.121;Да;841
4910;карниз FLEX;1.50.122;Да;550
4911;карниз FLEX;1.50.100;Да;774
4912;карниз FLEX;1.50.102;Да;614
4913;карниз FLEX;1.50.103;Да;617
4914;карниз FLEX;1.50.104;Да;1532
4915;карниз FLEX;1.50.105;Да;755,04
4916;карниз FLEX;1.50.106;Да;815,36
4917;карниз FLEX;1.50.107;Да;1612
4918;карниз FLEX;1.50.109;Да;1748,24
4919;карниз FLEX;1.50.110;Да;1981
4920;карниз FLEX;1.50.111;Да;1619
4921;карниз FLEX;1.50.112;Да;802,88
4922;карниз FLEX;1.50.113;Да;850
4923;карниз FLEX;1.50.123;Да;570
4924;карниз FLEX;1.50.124;Да;1461
4925;карниз FLEX;1.50.125;Да;1200,16
4926;карниз FLEX;1.50.126;Да;843
4927;карниз FLEX;1.50.127;Да;815,36
4928;карниз FLEX;1.50.128;Да;1426,88
4929;карниз FLEX;1.50.129;Да;822
4930;карниз FLEX;1.50.130;Да;575
4931;карниз FLEX;1.50.131;Да;1404
4932;карниз FLEX;1.50.132;Да;2094
4933;карниз FLEX;1.50.133;Да;1426,88
