IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP159;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4774;карниз;2000;1.50.114;30;67;;;;;;;;;;;;ВР000001360;;4;72,5;;Интерьерный декор;карнизы;;614.00
4775;карниз;2000;1.50.115;47;49;;;;;;;;;;;;ВР000001045;;4;72,5;;Интерьерный декор;карнизы;;495.00
4776;карниз;2000;1.50.116;100;100;;;;;;;;;;;;ВР000001487;;4;72,5;;Интерьерный декор;карнизы;;1251.00
4777;карниз;2000;1.50.117;105;155;;;;;;;;;;;;ВР000001046;;5;82,8;;Интерьерный декор;карнизы;;1316.00
4778;карниз;2000;1.50.118;132;131;;;;;;;;;;;;ВР000001868;;4;72,5;;Интерьерный декор;карнизы;;1389.00
4779;карниз;2000;1.50.119;50;118;;;;;;;;;;;;ВР000001858;;4;72,5;;Интерьерный декор;карнизы;;682.00
4780;карниз;2000;1.50.120;122;143;;;;;;;;;;;;ВР000001867;;4;72,5;;Интерьерный декор;карнизы;;1426.00
4781;карниз;2000;1.50.121;51;101;;;;;;;;;;;;ВР000001047;;4;72,5;;Интерьерный декор;карнизы;;669.00
4782;карниз;2000;1.50.122;40;50;;;;;;;;;;;;ВР000001048;;4;72,5;;Интерьерный декор;карнизы;;438.00
4783;карниз;2000;1.50.100;55;64;;;;;;;;;;;;ВР000001042;;4;72,5;;Интерьерный декор;карнизы;;615.00
4784;карниз;2000;1.50.102;74;72;;;;;;;;;;;;ВР000005632;;4;72,5;;Интерьерный декор;карнизы;;488.00
4785;карниз;2000;1.50.103;50;50;;;;;;;;;;;;ВР000005166;;4;93;;Интерьерный декор;карнизы;;491.00
4786;карниз;2000;1.50.104;76;114;;;;;;;;;;;;ВР000001293;;4;72,5;;Интерьерный декор;карнизы;;1217.00
4787;карниз;2000;1.50.105;63;60;;;;;;;;;;;;ВР000005167;;4;72,5;;Интерьерный декор;карнизы;;600.00
4788;карниз;2000;1.50.106;90;72;;;;;;;;;;;;ВР000005174;;4;72,5;;Интерьерный декор;карнизы;;647.00
4789;карниз;2000;1.50.107;108;148;;;;;;;;;;;;ВР000005326;;4;72,5;;Интерьерный декор;карнизы;;1280.00
4790;карниз;2000;1.50.109;188;84;;;;;;;;;;;;ВР000002930;;4;72,5;;Интерьерный декор;карнизы;;1389.00
4791;карниз;2000;1.50.110;192;162;;;;;;;;;;;;ВР000002931;;5;82,8;;Интерьерный декор;карнизы;;1572.00
4792;карниз;2000;1.50.111;113;116;;;;;;;;;;;;ВР000001285;;5;82,8;;Интерьерный декор;карнизы;;1287.00
4793;карниз;2000;1.50.112;39;75;;;;;;;;;;;;ВР000001043;;4;72,5;;Интерьерный декор;карнизы;;637.00
4794;карниз;2000;1.50.113;81;84;;;;;;;;;;;;ВР000001044;;4;72,5;;Интерьерный декор;карнизы;;676.00
4795;карниз;2000;1.50.123;30;30;;;;;;;;;;;;ВР000001718;;4;72,5;;Интерьерный декор;карнизы;;454.00
4796;карниз;2000;1.50.124;57;115;;;;;;;;;;;;ВР000001972;;4;72,5;;Интерьерный декор;карнизы;;1161.00
4797;карниз;2000;1.50.125;87;90;;;;;;;;;;;;ВР000002129;;4;72,5;;Интерьерный декор;карнизы;;953.00
4798;карниз;2000;1.50.126;95;91;;;;;;;;;;;;ВР001003726;;4;72,5;;Интерьерный декор;карнизы;;668.00
4799;карниз;2000;1.50.127;48;90;;;;;;;;;;;;ВР000002929;;4;72,5;;Интерьерный декор;карнизы;;647.00
4800;карниз;1970;1.50.128;67;146;;;;;;;;;;;;ВР000002329;;4;72,5;;Интерьерный декор;карнизы;;1133.00
4801;карниз;2000;1.50.129;75;86;;;;;;;;;;;;ВР000005168;;4;72,5;;Интерьерный декор;карнизы;;653.00
4802;карниз;2000;1.50.130;30;32;;;;;;;;;;;;ВР000001049;;4;72,5;;Интерьерный декор;карнизы;;457.00
4803;карниз;2000;1.50.131;135;60;;;;;;;;;;;;ВР000001081;;4;72,5;;Интерьерный декор;карнизы;;1116.00
4804;карниз;2000;1.50.132;117;217;;;;;;;;;;;;ВР000001050;;5;82,8;;Интерьерный декор;карнизы;;1664.00
4805;карниз;2000;1.50.133;116;119;;;;;;;;;;;;ВР000001076;;5;82,8;;Интерьерный декор;карнизы;;1133.00
4806;карниз;2000;1.50.134;193;149;;;;;;;;;;;;ВР000001051;;4;72,5;;Интерьерный декор;карнизы;;1609.00
4807;карниз;2000;1.50.135;161;41;;;;;;;;;;;;ВР000001303;;4;72,5;;Интерьерный декор;карнизы;;1171.00
4808;карниз;2000;1.50.136;62;166;;;;;;;;;;;;ВР000002167;;5;82,8;;Интерьерный декор;карнизы;;1300.00
4809;карниз;2000;1.50.137;183;190;;;;;;;;;;;;ВР000001827;;5;82,8;;Интерьерный декор;карнизы;;1701.00
4810;карниз;2000;1.50.138;156;161;;;;;;;;;;;;ВР000002343;;5;82,8;;Интерьерный декор;карнизы;;1426.00
4811;карниз;2000;1.50.139;99;99;;;;;;;;;;;;ВР000006023;;4;72,5;;Интерьерный декор;карнизы;;1104.00
4812;карниз;2000;1.50.140;57;57;;;;;;;;;;;;ВР000001052;;4;72,5;;Интерьерный декор;карнизы;;636.00
4813;карниз;2000;1.50.141;70;71;;;;;;;;;;;;ВР000005170;;4;72,5;;Интерьерный декор;карнизы;;636.00
4814;карниз;2000;1.50.142;196;45;;;;;;;;;;;;ВР000001544;;4;72,5;;Интерьерный декор;карнизы;;1426.00
4815;карниз;2000;1.50.143;69;74;;;;;;;;;;;;ВР000005171;;4;72,5;;Интерьерный декор;карнизы;;624.00
4816;карниз;2000;1.50.144;82;80;;;;;;;;;;;;ВР000005173;;4;72,5;;Интерьерный декор;карнизы;;682.00
4817;карниз;2000;1.50.145;263;91;;;;;;;;;;;;ВР000001586;;5;82,8;;Интерьерный декор;карнизы;;1810.00
4818;карниз;2000;1.50.146;74;148;;;;;;;;;;;;ВР000005175;;4;72,5;;Интерьерный декор;карнизы;;1153.00
4819;карниз;2000;1.50.147;127;173;;;;;;;;;;;;ВР000001182;;5;82,8;;Интерьерный декор;карнизы;;1426.00
4820;карниз;2000;1.50.148;120;116;;;;;;;;;;;;ВР000006025;;4;72,5;;Интерьерный декор;карнизы;;1213.00
4821;карниз;2000;1.50.149;188;185;;;;;;;;;;;;ВР001021963;;5;82,8;;Интерьерный декор;карнизы;;1837.00
4822;карниз;2000;1.50.150;40;41;;;;;;;;;;;;ВР000001054;;4;72,5;;Интерьерный декор;карнизы;;467.00
4823;карниз;2000;1.50.151;172;144;;;;;;;;;;;;ВР001021964;;5;82,8;;Интерьерный декор;карнизы;;1837.00
4824;карниз;2000;1.50.152;172;155;;;;;;;;;;;;ВР001021965;;5;82,8;;Интерьерный декор;карнизы;;1837.00
