IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149
4774;карниз;1.50.114;2000;;;;30;66;;;;;;;;;
4775;карниз;1.50.115;2000;;;;46;49;;;;;;;;;
4776;карниз;1.50.116;2000;;;;100;99;;;;;;;;;
4777;карниз;1.50.117;2000;;;;105;156;;;;;;;;;
4778;карниз;1.50.118;2000;;;;132;130;;;;;;;;;
4779;карниз;1.50.119;2000;;;;50;117;;;;;;;;;
4780;карниз;1.50.120;2000;;;;122;143;;;;;;;;;
4781;карниз;1.50.121;2000;;;;50;100;;;;;;;;;
4782;карниз;1.50.122;2000;;;;40;50;;;;;;;;;
4783;карниз;1.50.100;2000;;;;55;64;;;;;;;;;
4784;карниз;1.50.102;2000;;;;75;72;;;;;;;;;
4785;карниз;1.50.103;2000;;;;50;50;;;;;;;;;
4786;карниз;1.50.104;2000;;;;77;114;;;;;;;;;
4787;карниз;1.50.105;2000;;;;63;60;;;;;;;;;
4788;карниз;1.50.106;2000;;;;90;72;;;;;;;;;
4789;карниз;1.50.107;2000;;;;108;148;;;;;;;;;
4790;карниз;1.50.109;2000;;;;188;84;;;;;;;;;
4791;карниз;1.50.110;2000;;;;192;162;;;;;;;;;
4792;карниз;1.50.111;2000;;;;113;116;;;;;;;;;
4793;карниз;1.50.112;2000;;;;38;76;;;;;;;;;
4794;карниз;1.50.113;2000;;;;80;84;;;;;;;;;
4795;карниз;1.50.123;2000;;;;30;30;;;;;;;;;
4796;карниз;1.50.124;2000;;;;57;115;;;;;;;;;
4797;карниз;1.50.125;2000;;;;87;91;;;;;;;;;
4798;карниз;1.50.126;2000;;;;95;91;;;;;;;;;
4799;карниз;1.50.127;2000;;;;47;90;;;;;;;;;
4800;карниз;1.50.128;1970;;;;66;145;;;;;;;;;
4801;карниз;1.50.129;2000;;;;75;86;;;;;;;;;
4802;карниз;1.50.130;2000;;;;30;32;;;;;;;;;
4803;карниз;1.50.131;2000;;;;135;60;;;;;;;;;
4804;карниз;1.50.132;2000;;;;117;216;;;;;;;;;
4805;карниз;1.50.133;2000;;;;115;120;;;;;;;;;
4806;карниз;1.50.134;2000;;;;194;150;;;;;;;;;
4807;карниз;1.50.135;2000;;;;161;41;;;;;;;;;
4808;карниз;1.50.136;2000;;;;62;166;;;;;;;;;
4809;карниз;1.50.137;2000;;;;183;190;;;;;;;;;
4810;карниз;1.50.138;2000;;;;156;161;;;;;;;;;
4811;карниз;1.50.139;2000;;;;98;98;;;;;;;;;
4812;карниз;1.50.140;2000;;;;57;58;;;;;;;;;
4813;карниз;1.50.141;2000;;;;70;70;;;;;;;;;
4814;карниз;1.50.142;2000;;;;196;45;;;;;;;;;
4815;карниз;1.50.143;2000;;;;70;73;;;;;;;;;
4816;карниз;1.50.144;2000;;;;82;80;;;;;;;;;
4817;карниз;1.50.145;2000;;;;264;90;;;;;;;;;
4818;карниз;1.50.146;2000;;;;74;148;;;;;;;;;
4819;карниз;1.50.147;2000;;;;127;173;;;;;;;;;
4820;карниз;1.50.148;2000;;;;120;115;;;;;;;;;
4821;карниз;1.50.149;2000;;;;188;185;;;;;;;;;
4822;карниз;1.50.150;2000;;;;40;41;;;;;;;;;
4823;карниз;1.50.151;2000;;;;144;170;;;;;;;;;
4824;карниз;1.50.152;2000;;;;155;172;;;;;;;;;
4825;карниз;1.50.153;2000;;;;160;170;;;;;;;;;
4826;карниз;1.50.154;2000;;;;23;23;;;;;;;;;
4827;карниз;1.50.155;2000;;;;17;26;;;;;;;;;
4828;карниз;1.50.156;2000;;;;30;30;;;;;;;;;
4829;карниз;1.50.157;2000;;;;31;33;;;;;;;;;
4830;карниз;1.50.158;2000;;;;33;33;;;;;;;;;
