IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP360;IP_PROP361
42602;301;;;[HTML]Здравствуйте! Я дизайнер. На каких именно условиях вы работаете с дизайнерами? Какая система скидок и бонусов?;"[HTML]Добрый день, Елизавета!<br>
<br>
C Вами свяжется менеджер фирменного магазина Европласт и ответит на все интересующие Вас вопросы."
42613;302;;;[HTML]Здравствуйте! Каким образом производится монтаж декоративного камина 1.64.004 глубиной 195 и колоннами 1.64.005 глубиной 170? Евгения;
42619;302;;;[HTML]Здравствуйте! Каким образом производится монтаж декоративного камина 1.64.004 глубиной 195 и колоннами 1.64.005 глубиной 170? Евгения;[HTML]Добрый день Евгения. Камин собирается из трех элементов, верхняя часть и колонны по краям, необходимо склеить колонны с верхней частью 1.64.004 стыковочным клеем европласт и дополнительно с обратной стороны стянуть саморезами. После сборки конструкции камин просто приклеивается к поверхности стены. Правильную визуальную сборку камина вы можете увидеть в нашем каталоге или на сайте.
42651;308;;;[HTML]Добрый день, подскажите кто сегодня в Украине является Вашим представителем со складскими запасами? Мы торговая организация. ;"[HTML]Добрый день, Виктория!<br/>Благодарим  Вас за вопрос. Рады Вам сообщить, что нашим официальным представителем на территории Украины является компания ООО ""Украинский Дом Декора"". Представительство имеет склад продукции, обеспечивающий возможность отгрузить необходимые товары клиенту «здесь и сейчас». <br/>Контакты:<br/>Украина, г. Киев, БЦ ""Аполло»<br/>ул. Здолбуновская, 7 (4-й этаж)<br/>тел.: +380 (44) 499-81-07, +380 (67) 505-53-49<br/>электронный адрес: info@udd.com.ua<br/>сайт: http://www.udd.com.ua/<br/>Приятного Вам сотрудничества!<br/><br/>"
42762;311;;;[HTML]Скажите, можно заказать капитель и базу для колонн? Сами колонны у меня есть. ;
42775;311;;;[HTML]Скажите, можно заказать капитель и базу для колонн? Сами колонны у меня есть. ;"[HTML]Марина, доброе утро! Благодарим  Вас за вопрос. Да, можно. Консультацию по подбору капители и базы можно получить у официального представителя Европласт  на территории Карелии  - ООО «Стилиссимо», ниже контакты. <br/>Республика Карелия<br/>Петрозаводск<br/>Салон интерьера ""Стилиссимо""<br/>улица М. Горького, д. 23<br/>Тел.: +7 (8142) 59-59-66, +7 (8142) 59-59-22<br/>stilissimo10@mail.ru<br/>Время работы:<br/>Будни	- 10:00 - 19:00<br/>Суббота	- 12:00 - 17:00<br/>Воскресенье	- Выходной<br/>Приятных Вам покупок!<br/>"
42842;312;;;[HTML]Где можно купить вашу продукцию в Якутске?;
42843;312;;;[HTML]Где можно купить вашу продукцию в Якутске?;[HTML]Добрый день, Элина!<br/>Благодарим  Вас за вопрос. Купить нашу продукцию в Якутске можно у официального дилера ИП Васильева Е.В., ниже контакты:<br/>Якутск, ИП Васильева Е.В.<br/>улица Жорницкого, д. 35, этаж 3, пав. 306<br/>тел.: +7 (914) 271-41-12, +7 (924) 175-96-15<br/>Время работы:<br/>Будни - 10:00 - 18:00 <br/>Суббота - 10:00 - 18:00 <br/>Воскресенье - 10:00 - 18:00 <br/>Без выходных<br/>Приятных Вам покупок!<br/>
42855;313;;;[HTML]Я как представитель дизайн- студии могу закупить продукцию  европласта по оптовым ценам в Москве ? Если могу, то пришлите контакты пожалуйста;
42859;314;;;[HTML]Здравствуйте! Меня интересует из какого именно материала изготавливаются жесткие пенополиуретановые карнизы? И есть ли какие-то нормативные документы описывающие их свойства (плотность, жесткость, диапазон рабочих температур)? Пример карниза прикреплен.;
42865;313;;;[HTML]Я как представитель дизайн- студии могу закупить продукцию  европласта по оптовым ценам в Москве ? Если могу, то пришлите контакты пожалуйста;[HTML]Элина, <br/>Вам как представителю дизайн-студии предоставляются оптовые цены в Якутске. Как я Вам написала ранее, в Якутске действует официальный дилер завода Европласт со складом и с наличием товара.  
42866;314;;;[HTML]Здравствуйте! Меня интересует из какого именно материала изготавливаются жесткие пенополиуретановые карнизы? И есть ли какие-то нормативные документы описывающие их свойства (плотность, жесткость, диапазон рабочих температур)? Пример карниза прикреплен.;"[HTML]	 Добрый день, Денис, жесткие карнизы изготавливаются из пенополиуретана .<br>
	 Все сертификаты вы можете посмотреть на нашем сайте <br>
 <a href=""https://evroplast.ru/about/certificates/"" target=""_blank"">https://evroplast.ru/about/certificates/</a><br>
	 Так же во вложенном файле паспорт ППУ.<br>
 "
42895;315;;;[HTML]Добрый день.<br/>Есть ли доставка в пос.Новоселье, ЛО?;"[HTML]Алёна, добрый день.<br/>Благодарим за вопрос. Консультацию по доставке Вы можете получить у официального дилера Европласта по Ленинградской области,  контакты:<br/>PITERRA<br/>ООО ""Питерра""<br/>Московский проспект, д. 111, 1 этаж<br/>Тел.: +7 (812) 319-88-88, доб. 702,732,752<br/>salonM111@piterra.ru<br/>Время работы:<br/>Будни	- 10:00 - 20:00<br/>Суббота	- 10:00 - 20:00<br/>Воскресенье	- 10:00 - 18:00<br/>Без выходных<br/>URL: http://www.piterra.ru/<br/>Приятных Вам покупок."
42902;316;;;[HTML]Доброе утро! Могу ли я как физлицо сделать заказ на Вашем сайте. И будет ли у меня скидка? Спасибо.;[HTML]Елена, добрый день.<br/>Спасибо за обращение. Да, можете. Всего Вам наилучшего. Приятных покупок.
42916;317;;;[HTML]Добрый день. Заинтересовала  Ваша продукция. Хотим с вами сотрудничать. Как происходит данная схема сотрудничества? ;
42923;318;;;[HTML]Заказала элементы для камина, но в декоре не нашла основание (между элементами на пол) камина...чтобы было понятно прикладываю фото. Можно ли у вас заказать?;
42925;319;;;[HTML]Чем покрыты изделия из полиуретана?<br/>Можно ли использовать интерьерную лепнину из полиуретана для фасада? <br/>Возможно ли изготовление лепных изделий по индивидуальному заказу?<br/>Какой вид клея используется при монтаже лепного декора из полиуретана и дюрополимера?;[HTML]Добрый день, Татьяна, изделия из полиуретаном, покрыты специальны грунтом и подготовлены к окрашиванию.<br/>Да, интерьерную лепнину можно использовать для фасада.<br/>Для определения возможности изготовления деталей под заказ нам необходим чертежи изделий и количество, которое Вам необходимо. <br/>Для монтажа изделий мы рекомендуем наш клей Европласт, описание по ссылке.<br/>https://evroplast.ru/catalogue/interernyj-dekor/klei-90<br/>
42984;320;;;[HTML]Здравствуйте!<br/><br/>Можно ли использовать клей как водостойкий для использования в солёной воде?<br/>https://evroplast.ru/catalogue/interernyj-dekor/klei-90/E04-U-290;
42985;318;;;[HTML]Заказала элементы для камина, но в декоре не нашла основание (между элементами на пол) камина...чтобы было понятно прикладываю фото. Можно ли у вас заказать?;
42989;320;;;[HTML]Здравствуйте!<br/><br/>Можно ли использовать клей как водостойкий для использования в солёной воде?<br/>https://evroplast.ru/catalogue/interernyj-dekor/klei-90/E04-U-290;[HTML]Добрый день, Юрий.<br/>Для того чтобы ответить на Ваш вопрос надо уточнить.<br/>1. Что такое соленая вода - это морская вода, вода в которую добавили соль ( в данном случае нужно понять концетрацию)<br/>2. Что подразумевается под использованием в воде ? Это постоянно в воде, вода попадает периодически или просто влажное помещение ?
42990;321;;;[HTML]Просим выставить счет на плинтус (1.53.103 плинтус 5шт.), клей и замазку.<br/><br/>ООО «ФОТИДА»   Полоцкий район, д. Заозерье<br/><br/>ул. Центральная, д. 26а     р/сч. 3012028690016<br/><br/>в флиале № 216 ОАО «АСБ Беларусбанк» <br/><br/> в г.Новополоцке    УНП 391151167  <br/><br/>IBAN BY27AKBB30120286900162100000<br/><br/>BIC:AKBBBY21216   <br/><br/>дир. Чумаченко С.Г. на основании Устава ;
42992;322;;;[HTML]Тестовая запись, просьба не реагировать. <br/>Был ли ответ вам полезен;[HTML]Булки это тоже пирожные, только невкусные.
42993;317;;;[HTML]Добрый день. Заинтересовала  Ваша продукция. Хотим с вами сотрудничать. Как происходит данная схема сотрудничества? ;
42994;321;;;[HTML]Просим выставить счет на плинтус (1.53.103 плинтус 5шт.), клей и замазку.<br/><br/>ООО «ФОТИДА»   Полоцкий район, д. Заозерье<br/><br/>ул. Центральная, д. 26а     р/сч. 3012028690016<br/><br/>в флиале № 216 ОАО «АСБ Беларусбанк» <br/><br/> в г.Новополоцке    УНП 391151167  <br/><br/>IBAN BY27AKBB30120286900162100000<br/><br/>BIC:AKBBBY21216   <br/><br/>дир. Чумаченко С.Г. на основании Устава ;
42995;321;;;[HTML]Просим выставить счет на плинтус (1.53.103 плинтус 5шт.), клей и замазку.<br/><br/>ООО «ФОТИДА»   Полоцкий район, д. Заозерье<br/><br/>ул. Центральная, д. 26а     р/сч. 3012028690016<br/><br/>в флиале № 216 ОАО «АСБ Беларусбанк» <br/><br/> в г.Новополоцке    УНП 391151167  <br/><br/>IBAN BY27AKBB30120286900162100000<br/><br/>BIC:AKBBBY21216   <br/><br/>дир. Чумаченко С.Г. на основании Устава ;"[HTML]Антон, добрый день.<br/>Спасибо за заказ. Компания Европласт имеет официального представителя со складом и с наличием товара на складе. Ваш заказ перенаправила дилеру. Вам в ближайшее время позвонят. Ниже контакты;<br/>Беларусь<br/>Минск<br/>Товарищество собственников Пономаренко, 35 А<br/>ЧТУП ""Салон интерьера""<br/>Товарищество собственников Пономаренко, 35 А<br/>улица Пономаренко, 35А, оф. 103<br/>Ресторан ""СОЧИ""<br/>Тел.: +375 (17) 202-20-00, +375 (44) 575-06-97<br/>dekor-si@mail.ru<br/>Время работы:<br/>Будни	- 09:00 - 18:00<br/>Суббота	- 10:00 - 17:00<br/>Воскресенье	- Выходной<br/>URL: http://www.dekorus.by/<br/>Приятных Вам покупок."
42996;317;;;[HTML]Добрый день. Заинтересовала  Ваша продукция. Хотим с вами сотрудничать. Как происходит данная схема сотрудничества? ;"[HTML]Добрый день, Инна Николаевна.<br/>Благодарим Вас за вопрос. Компания Европласт продает архитектурный декор в регионах через дилеров.<br/>Нашим официальным представителем в Перми является компания ""Стройинтер"". По всем вопросам сотрудничества обращайтесь, пожалуйста, к дилеру. Ниже контакты:<br/>Пермский край<br/>Пермь<br/>Салон ""Декор центр""<br/>ЗАО ""Стройинтер""<br/>улица Ленина, д. 15<br/>Тел.: +7 (342) 219-05-70, +7 (342) 219-05-71<br/>stroyinter-dir@yandex.ru<br/>Время работы:<br/>Будни	- 09:00 - 20:00<br/>Суббота	- 10:00 - 18:00<br/>Воскресенье	- Выходной<br/>Приятного Вам сотрудничества!"
43003;323;;;"[HTML]Добрый день! <br/>Подскажите какое количества клея и крепежа мне понадобиться на данные изделия. Карниз 4.01.301-99,15 м.п.; 4.91.003-92,6 м.п.. <br/>Фриз 4.03.201-84,4 м.п. <br/>Наличник 4.84.004-217 м.п. Подоконный элемент-50,44 м.п.";"[HTML]Светлана, добрый день!<br/>Клея на Ваш объем потребуется: Клей Европласт универсальный 290 мл - 91 шт; Клей Европласт стыковочный 290 мл.<br/>В зависимости от места крепления карниза, Вам понадобится следующее кол-во крепежа: саморез (оцинкованный) 3 шт на одно изделие, уголок алюминиевый (40 см) на изделие. Для фриза и наличника : саморез (оцинкованный) 3 шт на изделие. "
