IE_XML_ID;IP_PROP257
4774;16,11
4775;12,95
4776;32,58
4777;34,33
4778;36,09
4779;17,87
4780;37,13
4781;17,52
4782;11,55
4783;16,11
4784;12,95
4785;12,95
4786;31,53
4787;15,76
4788;16,81
4789;33,28
4790;36,09
4791;40,99
4792;33,28
4793;16,81
4794;17,52
4795;11,9
4796;30,12
4797;24,87
4798;17,52
4799;16,81
4800;29,42
4801;17,16
4802;11,9
4803;29,07
4804;43,1
4805;29,42
4806;41,69
4807;30,47
4808;33,63
4809;44,15
4810;37,13
4811;28,72
4812;16,46
4813;16,46
4814;37,13
4815;16,46
4816;17,87
4817;46,94
4818;
4819;37,13
4820;31,53
4821;
4822;12,25
4823;47,64
4824;47,64
4825;47,64
4826;11,2
4827;11,2
4828;12,25
4829;11,55
4830;11,55
4831;11,9
4832;15,76
4833;16,46
4834;31,18
4835;34,33
4836;16,46
4837;32,93
4838;33,28
4839;33,28
4840;31,53
4841;17,87
4842;11,9
4843;12,25
4844;12,25
4845;12,6
4846;33,28
4847;30,47
4848;18,22
4849;30,83
4850;17,52
4851;17,16
4852;18,56
4853;18,56
4854;32,58
4855;18,56
4856;16,46
4857;16,46
4858;12,6
4859;12,25
4860;16,81
4861;29,77
4862;16,11
4863;17,52
4864;16,81
4865;18,56
4866;29,77
4867;16,46
4868;40,99
4869;29,77
4870;33,28
4871;16,46
4872;18,22
4873;38,53
4874;40,29
4875;
4876;
4877;35,74
4878;41,69
4879;45,9
4880;30,47
4881;11,9
4882;35,04
4883;17,52
4884;26,28
4885;29,42
4886;33,98
4887;12,25
4888;11,2
4889;16,11
4890;40,99
4891;30,47
4892;34,33
4893;42,04
4894;18,22
4895;16,46
4896;
4897;35,39
4898;
4899;39,94
4900;51,15
4901;59,21
4902;32,22
4903;25,9
4904;65,16
4905;68,66
4906;72,18
4907;35,74
4908;74,26
4909;35,04
4910;23,1
4911;32,22
4912;25,9
4913;25,9
4914;63,06
4915;31,52
4916;33,62
4917;66,56
4918;72,18
4919;81,98
4920;66,56
4921;33,62
4922;35,04
4923;23,8
4924;60,24
4925;49,74
4926;35,04
4927;33,62
4928;58,84
4929;34,32
4930;23,8
4931;58,14
4932;86,2
4933;58,84
4934;83,38
4935;60,94
4936;67,26
4937;88,3
4938;74,26
4939;57,44
4940;32,92
4941;32,92
4942;74,26
4943;32,92
4944;35,74
4945;93,88
4946;
4947;74,26
4948;63,06
4949;
4950;24,5
4951;95,28
4952;95,28
4953;95,28
4954;22,4
4955;22,4
4956;24,5
4957;23,1
4958;23,1
4959;23,8
4960;31,52
4961;32,92
4962;62,36
4963;68,66
4964;32,92
4965;65,86
4966;66,56
4967;63,06
4968;35,74
4969;23,8
4970;24,5
4971;24,5
4972;25,2
4973;66,56
4974;60,94
4975;36,44
4976;61,66
4977;35,04
4978;34,32
4979;37,12
4980;37,12
4981;65,16
4982;37,12
4983;32,92
4984;32,92
4985;25,2
4986;24,5
4987;33,62
4988;59,54
4989;32,22
4990;35,04
4991;37,12
4992;32,92
4993;59,54
4994;66,56
4995;77,06
4996;80,58
4997;71,48
4998;83,38
4999;91,8
5000;60,94
5001;23,8
5002;70,08
5003;35,04
5004;52,56
5005;58,84
5006;67,96
5007;24,5
5008;22,4
5009;32,22
5010;81,98
5011;60,94
5012;68,66
5013;84,08
5014;36,44
5015;32,92
5016;
5017;70,78
5018;
5019;79,88
5020;23,12
5021;14,01
5022;19,26
5023;13,31
5024;11,55
5025;10,85
5026;11,55
5027;14,71
5028;15,06
5029;14,36
5030;11,9
5031;22,42
5032;10,85
5033;13,31
5034;23,82
5035;13,31
5036;17,87
5037;24,17
5038;14,01
5039;13,31
5040;18,91
5041;22,42
5042;14,01
5043;14,71
5044;13,31
5045;21,36
5046;15,06
5047;24,17
5048;23,12
5049;11,2
5050;14,01
5051;14,71
5052;
5053;13,66
5054;19,26
5055;19,26
5056;17,87
5057;19,26
5058;14,36
5059;31,88
5060;10,85
5061;11,2
5062;18,22
5063;17,16
5064;17,87
5065;13,66
5066;14,71
5067;21,01
5068;14,01
5069;23,47
5070;11,55
5071;22,07
5072;22,77
5073;14,71
5074;46,24
5075;28,02
5076;38,52
5077;26,62
5078;23,1
5079;21,7
5080;23,1
5081;29,42
5082;30,12
5083;28,72
5084;23,8
5085;44,84
5086;21,7
5087;26,62
5088;47,64
5089;26,62
5090;35,74
5091;48,34
5092;28,02
5093;26,62
5094;35,32
5095;44,84
5096;28,02
5097;29,42
5098;26,62
5099;42,72
5100;30,12
5101;48,34
5102;46,24
5103;22,4
5104;28,02
5105;29,42
5106;
5107;27,32
5108;38,52
5109;38,52
5110;35,74
5111;38,52
5112;28,72
5113;63,76
5114;21,7
5115;22,4
5116;36,44
5117;34,32
5118;35,74
5119;27,32
5120;29,42
5121;42,02
5122;28,02
5123;46,94
5124;23,1
5125;44,14
5126;45,54
5127;29,42
5128;25,57
5129;23,47
5130;23,82
5131;26,28
5132;21,36
5133;20,31
5134;22,77
5135;24,52
5136;51,14
5137;46,94
5138;47,64
5139;52,56
5140;42,72
5141;40,62
5142;45,54
5143;49,04
5144;12,25
5145;10,5
5146;10,85
5147;11,2
5148;11,2
5149;11,55
5150;11,9
5151;11,9
5152;10,85
5153;10,85
5154;10,85
5155;11,55
5156;10,5
5157;12,95
5158;10,5
5159;10,5
5160;10,85
5161;10,85
5162;10,5
5163;10,5
5164;22,07
5165;12,95
5166;11,2
5167;30,12
5168;4,54
5169;22,42
5170;24,87
5171;22,42
5172;22,42
5173;
5174;31,53
5175;43,1
5176;30,47
5177;24,87
5178;25,93
5179;17,16
5180;17,87
5181;33,63
5182;30,47
5183;59,56
5184;32,58
5185;32,58
5186;30,47
5187;42,04
5188;31,53
5189;78,49
5190;54,31
5191;10,5
5192;58,16
5193;43,1
5194;18,56
5195;32,58
5196;42,04
5197;33,63
5198;57,11
5199;17,52
5200;17,87
5201;18,22
5202;10,5
5203;17,87
5204;31,53
5205;30,47
5206;23,47
5207;32,58
5208;24,52
5209;43,45
5210;31,53
5211;10,5
5212;12,95
5213;12,95
5214;5,6
5215;5,6
5216;5,25
5217;5,25
5218;14,01
5219;4,9
5220;5,25
5221;5,6
5222;4,9
5223;5,25
5224;5,25
5225;5,25
5226;5,25
5227;5,95
5228;5,95
5229;14,01
5230;4,9
5231;5,25
5232;5,25
5233;5,25
5234;39,24
5235;41,34
5236;36,09
5237;53,61
5238;197,29
5239;172,06
5240;93,55
5241;133,86
5242;99,52
5243;133,86
5244;69,03
5245;128,26
5246;77,79
5247;77,44
5248;42,39
5249;59,56
5250;59,56
5251;31,18
5252;57,46
5253;38,88
5254;72,89
5255;38,88
5256;46,94
5257;26,63
5258;24,17
5259;30,47
5260;28,02
5261;30,12
5262;28,37
5263;26,98
5264;251,6
5265;251,6
5266;320,29
5267;148,22
5268;135,26
5269;182,57
5270;135,26
5271;182,57
5272;135,26
5273;182,57
5274;67,62
5275;91,46
5276;147,18
5277;67,62
5278;66,22
5279;67,62
5280;91,46
5281;112,83
5282;115,63
5283;112,83
5284;91,46
5285;34,69
5286;55,01
5287;42,04
5288;63,07
5289;44,5
5290;4,19
5291;4,19
5292;6,3
5293;2,44
5294;2,44
5295;3,14
5296;61,67
5297;231,63
5298;102,66
5299;61,67
5300;69,03
5301;178,71
5302;89
5303;60,27
5304;30,83
5305;106,17
5306;46,59
5307;79,54
5308;30,83
5309;31,18
5310;58,16
5311;30,12
5312;34,69
5313;28,37
5314;40,64
5315;32,23
5316;43,45
5317;31,18
5318;119,85
5319;126,5
5320;126,5
5321;63,42
5322;59,91
5323;63,42
5324;13,66
5325;5,6
5326;5,6
5327;15,41
5328;5,6
5329;15,41
5330;12,25
5331;5,6
5332;5,6
5333;4,9
5334;4,9
5335;19,26
5336;32,58
5337;5,6
5338;6,65
5339;6,65
5340;5,25
5341;13,31
5342;13,31
5343;258,96
5344;
5345;
5346;
5347;
5348;
5349;
5350;
5351;
5352;
5353;
5354;
5355;
5356;
5357;
5358;
5359;
5360;
5361;
5362;
5363;
5364;
5365;
5366;
5367;
5368;
5369;
5370;
5371;
5372;
5373;
5374;
5375;
5376;
5377;
5378;
5379;
5380;
5381;
5382;
5383;
5384;
5385;
5386;
5387;
5388;
5389;
5390;
5391;
5392;
5393;
5394;
5395;
5396;
5397;
5398;
5861;18,22
5862;33,62
5863;59,54
5864;81,98
5865;36,44
5866;22,77
5867;13,66
5868;21,71
5869;14,71
5870;35,04
5871;45,54
5872;27,32
5873;43,42
5874;29,42
5875;70,08
5876;37,13
5877;37,13
5878;38,18
5879;67,62
5880;121,59
5881;74,28
5882;113,88
5883;69,03
5884;140,51
5885;38,53
5886;36,09
5887;193,92
5888;196,86
5889;168,89
5890;182,88
5891;140,56
5892;253,16
5893;168,89
5894;140,56
5895;126,58
5896;129,52
5897;210,84
5898;196,86
5899;210,84
5900;219,31
5901;140,56
5902;154,54
5903;140,56
5904;112,6
5905;140,56
5906;104,13
5907;210,84
5908;98,61
5909;95,67
5910;70,28
5911;78,74
5912;50,78
5913;50,78
5914;78,74
5915;84,63
5916;42,32
5917;98,61
5918;53,72
5919;70,28
5920;64,76
5921;56,3
5922;56,3
5923;76,17
5924;90,15
5925;53,72
5926;90,15
5927;84,63
5928;50,78
5929;70,28
5930;50,78
5931;42,32
5932;36,8
5933;140,56
5934;112,6
5935;22,81
5936;12,88
5937;18,4
5938;14,35
5939;22,81
5940;18,4
5941;239,18
5942;196,86
5943;205,32
5944;182,88
5945;70,28
5946;60,71
5947;46,73
5948;73,22
5949;58,14
5950;44,16
5951;64,76
5952;52,25
5953;33,85
5954;19,13
5955;16,93
5956;16,93
5957;84,63
5958;56,3
5959;56,3
5960;40,84
5961;42,32
5962;42,32
5963;42,32
5964;42,32
5965;45,26
5966;27,6
5967;30,91
5968;31,64
5969;28,33
5970;25,39
5971;18,4
5972;11,41
5973;18,4
5974;30,91
5975;19,87
5982;11,9
5983;39,37
5984;15,09
5985;10,67
5986;39,37
5987;39,37
5988;28,33
5989;30,91
5990;29,8
5991;29,8
5992;29,8
5993;35,32
5994;32,75
5995;37,16
5996;37,16
5997;37,16
5998;16,19
5999;15,09
6000;16,93
6001;16,93
6002;16,93
6003;12,88
6004;10,67
6005;86,84
6006;86,84
6007;61,82
6008;68,07
6009;86,84
6010;53,72
6011;47,84
6012;16,93
6013;38,27
6014;33,85
6015;47,84
6016;29,8
6017;29,8
6018;42,32
6019;49,31
6020;32,75
6021;37,16
6022;22,45
6023;15,09
6024;16,93
6025;12,88
6026;12,88
6027;83,53
6028;74,33
6029;105,24
6030;63,29
6031;3,68
6032;3,68
6033;19,13
6034;5,89
6035;7,36
6036;20,24
6037;6,26
6038;3,68
6039;3,68
6040;3,68
6041;5,15
6042;11,04
6043;56,3
6044;42,32
6045;224,82
6046;140,56
6047;182,88
6048;168,89
6049;140,56
6050;140,56
6051;126,58
6052;126,58
6053;126,58
6054;129,52
6055;112,6
6056;136,15
6057;111,49
6058;92,73
6059;61,82
6060;50,78
6061;42,32
6062;56,3
6063;56,3
6064;67,71
6065;33,85
6066;61,82
6067;63,29
6068;309,09
6069;494,54
6070;309,09
6071;370,91
6072;401,81
6073;
6074;
6075;
6076;
6077;
6078;
6079;
6080;
6081;
6082;
6083;
6084;
6085;
6086;
6087;
6088;
6089;
6090;
6091;
6092;
6093;
6094;
6095;
6096;
6097;
6098;
6099;
6100;
6101;
6102;
6103;
6104;9,56
6105;14,53
6106;
6107;27,01
6108;16,81
6109;33,62
6110;36,44
6111;18,22
6112;10,85
6113;21,7
6114;13,66
6115;27,32
6135;49,31
6136;13,66
6168;182,92
6169;92,85
6170;
6171;92,85
6172;32,58
6173;18,22
6174;17,16
6175;18,22
6176;17,87
6177;18,22
6178;32,93
6179;11,9
6180;57,11
6181;39,59
6182;22,07
6183;22,07
6184;22,42
6185;33,28
6186;23,47
6187;
6188;133,94
6189;174,05
6194;36,44
6195;32,92
6196;36,44
6198;17,73
6199;24,18
6200;200,91
6201;29,44
6202;8,46
6206;13,66
6207;36,44
6208;27,32
6211;38,27
6212;58,9
6213;123,78
6214;132,59
6215;42,32
6216;10,3
6217;63,29
6218;63,29
6313;23,8
6355;9,8
6356;10,5
6357;10,5
6358;10,85
6359;65,16
6360;
6361;
6362;34,33
6363;17,87
6364;35,74
6365;18,56
6366;37,12
6367;37,48
6368;13,31
6369;26,62
6370;20,66
6371;41,32
6372;13,66
6373;27,32
6374;15,06
6375;30,12
6376;25,22
6377;50,44
6378;
6379;
6380;34,32
6381;35,74
6382;65,86
6385;44,16
6386;61,82
6387;44,16
6388;88,31
6389;132,47
6390;139,15
6391;194,68
6392;287,6
6393;105,45
6394;136,03
6395;139,15
6396;97,16
6397;135,44
6398;97,16
6423;102,3
6424;36,44
6429;9,08
6430;12,95
6431;4,9
6432;4,9
6433;12,95
6434;10,15
6435;22,07
6436;44,14
6437;
6438;45,9
6439;26,28
6440;16,81
6441;30,83
6442;6,3
6443;6,3
6444;6,26
6445;42,68
6446;11,77
6447;15,45
6448;37,16
6449;43,42
6450;23,18
6451;29,44
6452;59,61
6453;45,63
6454;23,18
6455;29,44
6456;12,88
6457;8,46
6458;14,35
6459;140,56
6460;126,58
6461;84,63
6462;67,71
6463;68,44
6464;6,26
6465;7,73
