IE_XML_ID;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP156;IP_PROP162;IP_PROP149;IP_PROP148
4774;2000;;;;;;;
4775;2000;;;;;;;
4776;2000;;;;;;;
4777;2000;;;;;;;
4778;2000;;;;;;;
4779;2000;;;;;;;
4780;2000;;;;;;;
4781;2000;;;;;;;
4782;2000;;;;;;;
4783;2000;;;;;;;
4784;2000;;;;;;;
4785;2000;;;;;;;
4786;2000;;;;;;;
4787;2000;;;;;;;
4788;2000;;;;;;;
4789;2000;;;;;;;
4790;2000;;;;;;;
4791;2000;;;;;;;
4792;2000;;;;;;;
4793;2000;;;;;;;
4794;2000;;;;;;;
4795;2000;;;;;;;
4796;2000;;;;;;;
4797;2000;;;;;;;
4798;2000;;;;;;;
4799;2000;;;;;;;
4800;2000;;;;;;;
4801;2000;;;;;;;
4802;2000;;;;;;;
4803;2000;;;;;;;
4804;2000;;;;;;;
4805;2000;;;;;;;
4806;2000;;;;;;;
4807;2000;;;;;;;
4808;2000;;;;;;;
4809;2000;;;;;;;
4810;2000;;;;;;;
4811;2000;;;;;;;
4812;2000;;;;;;;
4813;2000;;;;;;;
4814;2000;;;;;;;
4815;2000;;;;;;;
4816;2000;;;;;;;
4817;2000;;;;;;;
4818;2000;;;;;;;
4819;2000;;;;;;;
4820;2000;;;;;;;
4822;2000;;;;;;;
4823;2000;;;;;;;
4824;2000;;;;;;;
4825;2000;;;;;;;
4826;2000;;;;;;;
4827;2000;;;;;;;
4828;2000;;;;;;;
4829;2000;;;;;;;
4830;2000;;;;;;;
4831;2000;;;;;;;
4832;2000;;;;;;;
4833;2000;;;;;;;
4834;2000;;;;;;;
4835;2000;;;;;;;
4836;2000;;;;;;;
4837;2000;;;;;;;
4838;2000;;;;;;;
4839;2000;;;;;;;
4840;2000;;;;;;;
4841;2000;;;;;;;
4842;2000;;;;;;;
4843;2000;;;;;;;
4844;2000;;;;;;;
4845;2000;;;;;;;
4846;2000;;;;;;;
4847;2000;;;;;;;
4848;2000;;;;;;;
4849;2000;;;;;;;
4850;2000;;;;;;;
4851;2000;;;;;;;
4852;2000;;;;;;;
4853;2000;;;;;;;
4854;2000;;;;;;;
4855;2000;;;;;;;
4856;2000;;;;;;;
4857;2000;;;;;;;
4858;2000;;;;;;;
4859;2000;;;;;;;
4860;2000;;;;;;;
4861;2000;;;;;;;
4862;2000;;;;;;;
4863;2000;;;;;;;
4864;2000;;;;;;;
4865;2000;;;;;;;
4866;2000;;;;;;;
4867;2000;;;;;;;
4868;2000;;;;;;;
4870;2000;;;;;;;
4871;2000;;;;;;;
4872;2000;;;;;;;
4873;2000;;;;;;;
4874;2000;;;;;;;
4875;2000;;;;;;;
4876;2000;;;;;;;
4877;2000;;;;;;;
4878;2000;;;;;;;
4879;2000;;;;;;;
4880;2000;;;;;;;
4881;2000;;;;;;;
4882;2000;;;;;;;
4883;2000;;;;;;;
4884;2000;;;;;;;
4885;2000;;;;;;;
4886;2000;;;;;;;
4887;2000;;;;;;;
4888;2000;;;;;;;
4889;2000;;;;;;;
4890;2000;;;;;;;
4891;2000;;;;;;;
4892;2000;;;;;;;
4893;2000;;;;;;;
4894;2000;;;;;;;
4895;2000;;;;;;;
4896;2000;;;;;;;
4897;2000;;;;;;;
4898;2000;;;;;;;
4899;2000;;;;;;;
4900;2000;;;;;;;
4901;2000;;;;;;;
4902;2000;;;;;;;
4903;2000;;;;;;;
4904;2000;;;;;;;
4905;2000;;;;;;;
4906;2000;;;;;;;
4907;2000;;;;;;;
