IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149;CV_PRICE_1
4774;карниз;1.50.114;Нет;2000;;;;30;66;;;;;;;;;;676.00
4775;карниз;1.50.115;Нет;2000;;;;46;49;;;;;;;;;;545.00
4776;карниз;1.50.116;Нет;2000;;;;100;99;;;;;;;;;;1377.00
4777;карниз;1.50.117;Нет;2000;;;;105;156;;;;;;;;;;1448.00
4778;карниз;1.50.118;Нет;2000;;;;132;130;;;;;;;;;;1528.00
4779;карниз;1.50.119;Нет;2000;;;;50;117;;;;;;;;;;751.00
4780;карниз;1.50.120;Нет;2000;;;;122;143;;;;;;;;;;1569.00
4781;карниз;1.50.121;Нет;2000;;;;50;100;;;;;;;;;;736.00
4782;карниз;1.50.122;Нет;2000;;;;40;50;;;;;;;;;;482.00
4783;карниз;1.50.100;Нет;2000;;;;55;64;;;;;;;;;;677.00
4784;карниз;1.50.102;Нет;2000;;;;75;72;;;;;;;;;;537.00
4785;карниз;1.50.103;Нет;2000;;;;50;50;;;;;;;;;;541.00
4786;карниз;1.50.104;Нет;2000;;;;77;114;;;;;;;;;;1339.00
4787;карниз;1.50.105;Нет;2000;;;;63;60;;;;;;;;;;660.00
4788;карниз;1.50.106;Нет;2000;;;;90;72;;;;;;;;;;712.00
4789;карниз;1.50.107;Нет;2000;;;;108;148;;;;;;;;;;1408.00
4790;карниз;1.50.109;Нет;2000;;;;188;84;;;;;;;;;;1528.00
4791;карниз;1.50.110;Нет;2000;;;;192;162;;;;;;;;;;1730.00
4792;карниз;1.50.111;Нет;2000;;;;113;116;;;;;;;;;;1416.00
4793;карниз;1.50.112;Нет;2000;;;;38;76;;;;;;;;;;701.00
4794;карниз;1.50.113;Нет;2000;;;;80;84;;;;;;;;;;744.00
4795;карниз;1.50.123;Нет;2000;;;;30;30;;;;;;;;;;500.00
4796;карниз;1.50.124;Нет;2000;;;;57;115;;;;;;;;;;1278.00
4797;карниз;1.50.125;Нет;2000;;;;87;91;;;;;;;;;;1049.00
4798;карниз;1.50.126;Нет;2000;;;;95;91;;;;;;;;;;735.00
4799;карниз;1.50.127;Нет;2000;;;;47;90;;;;;;;;;;712.00
4800;карниз;1.50.128;Нет;1970;;;;66;145;;;;;;;;;;1247.00
4801;карниз;1.50.129;Нет;2000;;;;75;86;;;;;;;;;;719.00
4802;карниз;1.50.130;Нет;2000;;;;30;32;;;;;;;;;;503.00
4803;карниз;1.50.131;Нет;2000;;;;135;60;;;;;;;;;;1228.00
4804;карниз;1.50.132;Нет;2000;;;;117;216;;;;;;;;;;1831.00
4805;карниз;1.50.133;Нет;2000;;;;115;120;;;;;;;;;;1247.00
4806;карниз;1.50.134;Нет;2000;;;;194;150;;;;;;;;;;1770.00
4807;карниз;1.50.135;Нет;2000;;;;161;41;;;;;;;;;;1289.00
4808;карниз;1.50.136;Нет;2000;;;;62;166;;;;;;;;;;1430.00
4809;карниз;1.50.137;Нет;2000;;;;183;190;;;;;;;;;;1872.00
4810;карниз;1.50.138;Нет;2000;;;;156;161;;;;;;;;;;1569.00
4811;карниз;1.50.139;Нет;2000;;;;98;98;;;;;;;;;;1215.00
4812;карниз;1.50.140;Нет;2000;;;;57;58;;;;;;;;;;700.00
4813;карниз;1.50.141;Нет;2000;;;;70;70;;;;;;;;;;700.00
4814;карниз;1.50.142;Нет;2000;;;;196;45;;;;;;;;;;1569.00
4815;карниз;1.50.143;Нет;2000;;;;70;73;;;;;;;;;;687.00
4816;карниз;1.50.144;Нет;2000;;;;82;80;;;;;;;;;;751.00
4817;карниз;1.50.145;Нет;2000;;;;264;90;;;;;;;;;;1991.00
4818;карниз;1.50.146;Нет;2000;;;;74;148;;;;;;;;;;1269.00
4819;карниз;1.50.147;Нет;2000;;;;127;173;;;;;;;;;;1569.00
4820;карниз;1.50.148;Нет;2000;;;;120;115;;;;;;;;;;1335.00
4821;карниз;1.50.149;Нет;2000;;;;188;185;;;;;;;;;;2021.00
4822;карниз;1.50.150;Нет;2000;;;;40;41;;;;;;;;;;514.00
4823;карниз;1.50.151;Нет;2000;;;;144;170;;;;;;;;;;2021.00
4824;карниз;1.50.152;Нет;2000;;;;155;172;;;;;;;;;;2021.00
4825;карниз;1.50.153;Нет;2000;;;;160;170;;;;;;;;;;2021.00
4826;карниз;1.50.154;Нет;2000;;;;23;23;;;;;;;;;;469.00
4827;карниз;1.50.155;Нет;2000;;;;17;26;;;;;;;;;;465.00
4828;карниз;1.50.156;Нет;2000;;;;30;30;;;;;;;;;;516.00
4829;карниз;1.50.157;Нет;2000;;;;31;33;;;;;;;;;;480.00
4830;карниз;1.50.158;Нет;2000;;;;33;33;;;;;;;;;;484.00
4831;карниз;1.50.159;Нет;2000;;;;22;45;;;;;;;;;;499.00
4832;карниз;1.50.160;Нет;2000;;;;70;51;;;;;;;;;;660.00
4833;карниз;1.50.162;Нет;2000;;;;61;84;;;;;;;;;;687.00
4834;карниз;1.50.163;Нет;2000;;;;68;148;;;;;;;;;;1317.00
4835;карниз;1.50.164;Нет;2000;;;;123;130;;;;;;;;;;1448.00
4836;карниз;1.50.165;Нет;2000;;;;81;83;;;;;;;;;;689.00
4837;карниз;1.50.166;Нет;2000;;;;86;142;;;;;;;;;;1396.00
4838;карниз;1.50.167;Нет;2000;;;;120;119;;;;;;;;;;1416.00
4839;карниз;1.50.168;Нет;2000;;;;120;119;;;;;;;;;;1416.00
4840;карниз;1.50.169;Нет;2000;;;;95;102;;;;;;;;;;1335.00
4841;карниз;1.50.170;Нет;2000;;;;113;80;;;;;;;;;;758.00
4842;карниз;1.50.171;Нет;2000;;;;30;45;;;;;;;;;;495.00
4843;карниз;1.50.172;Нет;2000;;;;47;44;;;;;;;;;;513.00
4844;карниз;1.50.173;Нет;2000;;;;40;55;;;;;;;;;;516.00
4845;карниз;1.50.174;Нет;2000;;;;36;61;;;;;;;;;;527.00
