IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;CV_PRICE_1
4774;карниз;1.50.114;Нет;676.00
4775;карниз;1.50.115;Нет;545.00
4776;карниз;1.50.116;Нет;1377.00
4777;карниз;1.50.117;Нет;1448.00
4778;карниз;1.50.118;Нет;1528.00
4779;карниз;1.50.119;Нет;751.00
4780;карниз;1.50.120;Нет;1569.00
4781;карниз;1.50.121;Нет;736.00
4782;карниз;1.50.122;Нет;482.00
4783;карниз;1.50.100;Нет;677.00
4784;карниз;1.50.102;Нет;537.00
4785;карниз;1.50.103;Нет;541.00
4786;карниз;1.50.104;Нет;1339.00
4787;карниз;1.50.105;Нет;660.00
4788;карниз;1.50.106;Нет;712.00
4789;карниз;1.50.107;Нет;1408.00
4790;карниз;1.50.109;Нет;1528.00
4791;карниз;1.50.110;Нет;1730.00
4792;карниз;1.50.111;Нет;1416.00
4793;карниз;1.50.112;Нет;701.00
4794;карниз;1.50.113;Нет;744.00
4795;карниз;1.50.123;Нет;500.00
4796;карниз;1.50.124;Нет;1278.00
4797;карниз;1.50.125;Нет;1049.00
4798;карниз;1.50.126;Нет;735.00
4799;карниз;1.50.127;Нет;712.00
4800;карниз;1.50.128;Нет;1247.00
4801;карниз;1.50.129;Нет;719.00
4802;карниз;1.50.130;Нет;503.00
4803;карниз;1.50.131;Нет;1228.00
4804;карниз;1.50.132;Нет;1831.00
4805;карниз;1.50.133;Нет;1247.00
4806;карниз;1.50.134;Нет;1770.00
4807;карниз;1.50.135;Нет;1289.00
4808;карниз;1.50.136;Нет;1430.00
4809;карниз;1.50.137;Нет;1872.00
4810;карниз;1.50.138;Нет;1569.00
4811;карниз;1.50.139;Нет;1215.00
4812;карниз;1.50.140;Нет;700.00
4813;карниз;1.50.141;Нет;700.00
4814;карниз;1.50.142;Нет;1569.00
4815;карниз;1.50.143;Нет;687.00
4816;карниз;1.50.144;Нет;751.00
4817;карниз;1.50.145;Нет;1991.00
4818;карниз;1.50.146;Нет;1269.00
4819;карниз;1.50.147;Нет;1569.00
4820;карниз;1.50.148;Нет;1335.00
4821;карниз;1.50.149;Нет;2021.00
4822;карниз;1.50.150;Нет;514.00
4823;карниз;1.50.151;Нет;2021.00
4824;карниз;1.50.152;Нет;2021.00
4825;карниз;1.50.153;Нет;2021.00
4826;карниз;1.50.154;Нет;469.00
4827;карниз;1.50.155;Нет;465.00
4828;карниз;1.50.156;Нет;516.00
4829;карниз;1.50.157;Нет;480.00
4830;карниз;1.50.158;Нет;484.00
4831;карниз;1.50.159;Нет;499.00
4832;карниз;1.50.160;Нет;660.00
4833;карниз;1.50.162;Нет;687.00
4834;карниз;1.50.163;Нет;1317.00
4835;карниз;1.50.164;Нет;1448.00
4836;карниз;1.50.165;Нет;689.00
4837;карниз;1.50.166;Нет;1396.00
4838;карниз;1.50.167;Нет;1416.00
4839;карниз;1.50.168;Нет;1416.00
4840;карниз;1.50.169;Нет;1335.00
4841;карниз;1.50.170;Нет;758.00
4842;карниз;1.50.171;Нет;495.00
4843;карниз;1.50.172;Нет;513.00
4844;карниз;1.50.173;Нет;516.00
4845;карниз;1.50.174;Нет;527.00
4846;карниз;1.50.175;Нет;1408.00
4847;карниз;1.50.176;Нет;1289.00
4848;карниз;1.50.177;Нет;767.00
4849;карниз;1.50.180;Нет;1307.00
4850;карниз;1.50.181;Нет;736.00
4851;карниз;1.50.182;Нет;723.00
4852;карниз;1.50.183;Нет;786.00
4853;карниз;1.50.184;Нет;786.00
4854;карниз;1.50.185;Нет;1377.00
4855;карниз;1.50.186;Нет;786.00
4856;карниз;1.50.187;Нет;698.00
4857;карниз;1.50.188;Нет;698.00
4858;карниз;1.50.190;Нет;523.00
4859;карниз;1.50.191;Нет;512.00
4860;карниз;1.50.192;Нет;711.00
4861;карниз;1.50.193;Нет;1256.00
4862;карниз;1.50.194;Нет;677.00
4863;карниз;1.50.195;Нет;736.00
4864;карниз;1.50.196;Нет;711.00
4865;карниз;1.50.197;Нет;786.00
4866;карниз;1.50.198;Нет;1256.00
4867;карниз;1.50.200;Нет;698.00
4868;карниз;1.50.201;Нет;1740.00
4869;карниз;1.50.202;Нет;1256.00
4870;карниз;1.50.203;Нет;1416.00
4871;карниз;1.50.204;Нет;686.00
4872;карниз;1.50.208;Нет;762.00
4873;карниз;1.50.209;Нет;1630.00
4874;карниз;1.50.210;Нет;1702.00
4875;карниз;1.50.211;Нет;1745.00
4876;карниз;1.50.212;Нет;1745.00
4877;карниз;1.50.220;Нет;1510.00
4878;карниз;1.50.221;Нет;1769.00
4879;карниз;1.50.222;Нет;1951.00
4880;карниз;1.50.250;Нет;1294.00
4881;карниз;1.50.251;Нет;493.00
4882;карниз;1.50.252;Нет;1489.00
4883;карниз;1.50.253;Нет;736.00
4884;карниз;1.50.254;Нет;1111.00
4885;карниз;1.50.255;Нет;1250.00
4886;карниз;1.50.256;Нет;1436.00
4887;карниз;1.50.257;Нет;511.00
4888;карниз;1.50.258;Нет;471.00
4889;карниз;1.50.259;Нет;675.00
4890;карниз;1.50.260;Нет;1743.00
4891;карниз;1.50.261;Нет;1292.00
4892;карниз;1.50.262;Нет;1450.00
4893;карниз;1.50.264;Нет;1778.00
4894;карниз;1.50.265;Нет;762.00
4895;карниз;1.50.266;Нет;686.00
4896;карниз;1.50.267;Нет;1456.00
4897;карниз;1.50.268;Нет;1498.00
4898;карниз;1.50.269;Нет;1579.00
4899;карниз;1.50.270;Нет;1699.00
4900;карниз;1.50.271;Нет;2176.00
4901;карниз;1.50.273;Нет;2507.00
4902;карниз FLEX;1.50.114;Да;1351.00
4903;карниз FLEX;1.50.115;Да;1089.00
4904;карниз FLEX;1.50.116;Да;2752.00
4905;карниз FLEX;1.50.117;Да;2896.00
4906;карниз FLEX;1.50.118;Да;3056.00
4907;карниз FLEX;1.50.119;Да;1500.00
4908;карниз FLEX;1.50.120;Да;3138.00
4909;карниз FLEX;1.50.121;Да;1471.00
4910;карниз FLEX;1.50.122;Да;963.00
4911;карниз FLEX;1.50.100;Да;1353.00
4912;карниз FLEX;1.50.102;Да;1071.00
4913;карниз FLEX;1.50.103;Да;1080.00
4914;карниз FLEX;1.50.104;Да;2679.00
4915;карниз FLEX;1.50.105;Да;1318.00
4916;карниз FLEX;1.50.106;Да;1422.00
4917;карниз FLEX;1.50.107;Да;2815.00
4918;карниз FLEX;1.50.109;Да;3056.00
4919;карниз FLEX;1.50.110;Да;3459.00
4920;карниз FLEX;1.50.111;Да;2830.00
4921;карниз FLEX;1.50.112;Да;1402.00
4922;карниз FLEX;1.50.113;Да;1485.00
4923;карниз FLEX;1.50.123;Да;997.00
4924;карниз FLEX;1.50.124;Да;2554.00
4925;карниз FLEX;1.50.125;Да;2096.00
4926;карниз FLEX;1.50.126;Да;1469.00
4927;карниз FLEX;1.50.127;Да;1422.00
4928;карниз FLEX;1.50.128;Да;2493.00
4929;карниз FLEX;1.50.129;Да;1436.00
4930;карниз FLEX;1.50.130;Да;1007.00
4931;карниз FLEX;1.50.131;Да;2452.00
4932;карниз FLEX;1.50.132;Да;3659.00
4933;карниз FLEX;1.50.133;Да;2493.00
4934;карниз FLEX;1.50.134;Да;3539.00
4935;карниз FLEX;1.50.135;Да;2576.00
4936;карниз FLEX;1.50.136;Да;2856.00
