IE_XML_ID;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148
4774;2000;;;;1.50.114;30;66;;;;;;;;;
4775;2000;;;;1.50.115;46;49;;;;;;;;;
4776;2000;;;;1.50.116;100;99;;;;;;;;;
4777;2000;;;;1.50.117;105;156;;;;;;;;;
4778;2000;;;;1.50.118;132;130;;;;;;;;;
4779;2000;;;;1.50.119;56;117;;;;;;;;;
4780;2000;;;;1.50.120;122;143;;;;;;;;;
4781;2000;;;;1.50.121;50;100;;;;;;;;;
4782;2000;;;;1.50.122;40;50;;;;;;;;;
4783;2000;;;;1.50.100;55;64;;;;;;;;;
4784;2000;;;;1.50.102;75;72;;;;;;;;;
4785;2000;;;;1.50.103;50;50;;;;;;;;;
4786;2000;;;;1.50.104;77;114;;;;;;;;;
4787;2000;;;;1.50.105;63;60;;;;;;;;;
4788;2000;;;;1.50.106;90;72;;;;;;;;;
4789;2000;;;;1.50.107;108;148;;;;;;;;;
4790;2000;;;;1.50.109;188;84;;;;;;;;;
4791;2000;;;;1.50.110;192;162;;;;;;;;;
4792;2000;;;;1.50.111;113;116;;;;;;;;;
4793;2000;;;;1.50.112;38;76;;;;;;;;;
4794;2000;;;;1.50.113;80;84;;;;;;;;;
4795;2000;;;;1.50.123;30;30;;;;;;;;;
4796;2000;;;;1.50.124;57;115;;;;;;;;;
4797;2000;;;;1.50.125;87;91;;;;;;;;;
4798;2000;;;;1.50.126;95;91;;;;;;;;;
4799;2000;;;;1.50.127;47;90;;;;;;;;;
4800;1970;;;;1.50.128;66;145;;;;;;;;;
4801;2000;;;;1.50.129;75;86;;;;;;;;;
4802;2000;;;;1.50.130;30;32;;;;;;;;;
4803;2000;;;;1.50.131;135;60;;;;;;;;;
4804;2000;;;;1.50.132;117;216;;;;;;;;;
4805;2000;;;;1.50.133;115;120;;;;;;;;;
4806;2000;;;;1.50.134;194;150;;;;;;;;;
4807;2000;;;;1.50.135;161;41;;;;;;;;;
4808;2000;;;;1.50.136;62;166;;;;;;;;;
4809;2000;;;;1.50.137;183;190;;;;;;;;;
4810;2000;;;;1.50.138;156;161;;;;;;;;;
4811;2000;;;;1.50.139;98;98;;;;;;;;;
4812;2000;;;;1.50.140;57;58;;;;;;;;;
4813;2000;;;;1.50.141;70;70;;;;;;;;;
4814;2000;;;;1.50.142;196;45;;;;;;;;;
4815;2000;;;;1.50.143;70;73;;;;;;;;;
4816;2000;;;;1.50.144;82;80;;;;;;;;;
4817;2000;;;;1.50.145;264;90;;;;;;;;;
4818;2000;;;;1.50.146;74;148;;;;;;;;;
4819;2000;;;;1.50.147;127;173;;;;;;;;;
4820;2000;;;;1.50.148;120;117;;;;;;;;;
4822;2000;;;;1.50.150;40;41;;;;;;;;;
4823;2000;;;;1.50.151;144;170;;;;;;;;;
4824;2000;;;;1.50.152;155;172;;;;;;;;;
4825;2000;;;;1.50.153;160;170;;;;;;;;;
4826;2000;;;;1.50.154;23;23;;;;;;;;;
4827;2000;;;;1.50.155;17;26;;;;;;;;;
4828;2000;;;;1.50.156;30;30;;;;;;;;;
4829;2000;;;;1.50.157;31;33;;;;;;;;;
4830;2000;;;;1.50.158;33;33;;;;;;;;;
4831;2000;;;;1.50.159;22;45;;;;;;;;;
4832;2000;;;;1.50.160;70;51;;;;;;;;;
4833;2000;;;;1.50.162;61;84;;;;;;;;;
4834;2000;;;;1.50.163;68;148;;;;;;;;;
4835;2000;;;;1.50.164;126;126;;;;;;;;;
4836;2000;;;;1.50.165;81;83;;;;;;;;;
4837;2000;;;;1.50.166;86;142;;;;;;;;;
4838;2000;;;;1.50.167;120;119;;;;;;;;;
4839;2000;;;;1.50.168;120;119;;;;;;;;;
4840;2000;;;;1.50.169;95;102;;;;;;;;;
4841;2000;;;;1.50.170;113;80;;;;;;;;;
4842;2000;;;;1.50.171;30;45;;;;;;;;;
4843;2000;;;;1.50.172;48;47;;;;;;;;;
4844;2000;;;;1.50.173;40;55;;;;;;;;;
4845;2000;;;;1.50.174;36;61;;;;;;;;;
4846;2000;;;;1.50.175;119;133;;;;;;;;;
4847;2000;;;;1.50.176;67;131;;;;;;;;;
4848;2000;;;;1.50.177;55;120;;;;;;;;;
4849;2000;;;;1.50.180;94;120;;;;;;;;;
4850;2000;;;;1.50.181;38;75;;;;;;;;;
4851;2000;;;;1.50.182;40;67;;;;;;;;;
4852;2000;;;;1.50.183;84;96;;;;;;;;;
4853;2000;;;;1.50.184;72;74;;;;;;;;;
4854;2000;;;;1.50.185;98;115;;;;;;;;;
4855;2000;;;;1.50.186;56;83;;;;;;;;;
4856;2000;;;;1.50.187;51;51;;;;;;;;;
4857;2000;;;;1.50.188;50;53;;;;;;;;;
4858;2000;;;;1.50.190;25;40;;;;;;;;;
4859;2000;;;;1.50.191;25;40;;;;;;;;;
4860;2000;;;;1.50.192;40;70;;;;;;;;;
4861;2000;;;;1.50.193;55;91;;;;;;;;;
4862;2000;;;;1.50.194;51;52;;;;;;;;;
4863;2000;;;;1.50.195;55;51;;;;;;;;;
4864;2000;;;;1.50.196;55;70;;;;;;;;;
4865;2000;;;;1.50.197;73;76;;;;;;;;;
4866;2000;;;;1.50.198;92;88;;;;;;;;;
4867;2000;;;;1.50.200;55;55;;;;;;;;;
4868;2000;;;;1.50.201;130;170;;;;;;;;;
4869;2000;;;;1.50.202;97;103;;;;;;;;;
4870;2000;;;;1.50.203;129;115;;;;;;;;;
4871;2000;;;;1.50.204;40;36;;;;;;;;;
4872;2000;;;;1.50.208;70;70;;;;;;;;;
4873;2000;;;;1.50.209;118;150;;;;;;;;;
