IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP175;IP_PROP113
"Барнаул, Салон &quot;Квадро-интерьер&quot;, пр-т Строителей ";Строителей проспект, 14а;;;ООО «Стройклассика»;Квадро Интерьер;"3852610606; 9132542359";design@kuadro.ru;design@kuadro.ru;www.quadro-interier.ru;10:00 - 19:00;10:00 - 18:00;Выходной;Нет;;3114
"Белгород, ООО &quot;ВК Хим&quot;, ул. Восточная ";улица Восточная, д. 71, 1 этаж;;;"ООО ""ВК Хим""";Архдекор;"4722207582; 4722240386";vkhim2008@yandex.ru;vkhim2008@yandex.ru;archdekor.ru;10:00 - 18:00;10:00 - 15:00;10:00 - 15:00;Да;;3116
"Волгоград, Декорация, ООО &quot;ДЕКОЛЕ&quot; ";улица 25 лет Октября д. 1, строение 2, этаж 1;Оптово-строительный рынок на Тулака;Вход в шоу-рум с торца здания;"ООО ""ДЕКОЛЕ""";DECOLE шоу-рум;"8442601908; 9627601908";salon-decoracia@mail.ru;salon-decoracia@mail.ru;www.decole.ru;09:00 - 17:00;10:00 - 15:00;Выходной;Нет;;3123
"Воронеж, Магазин &quot;Дон-Декор&quot; ";улица Донбасская, д. 7 (1 этаж);;Угловой магазин, ближе к пл. Застава;"ООО ""Дон-Декор""";"Магазин ""Дон-Декор""";"4732526774; 4732290469";vpn@dondecor.ru;vpn@dondecor.ru;www.2decor.ru;10:00 - 18:00;11:00 - 16:00;Выходной;Нет;;3125
"Ижевск, ООО &quot;Дженти&quot;, ТЦ &quot;Гвоздь&quot; ";ул. Удмуртская, 304, корпус 4, этаж 2, пав. 326;Строительный центр «Гвоздь»;зеленый зал, 2 этаж;ООО «Дженти»;«Дженти»;"3412656530; 9199168030";domdekora@djenti.ru;domdekora@djenti.ru;www.djenti.ru;09:00 - 20:00;10:00 - 20:00;10:00 - 19:00;Да;;3133
"Иркутск, Офис ООО &quot;Элит Декор&quot; ";Иркутской 30-й Дивизии, д. 51;Салон Элит Декор;;ООО Элит Декор;ООО Элит Декор;3952278787;info@elit-decor.com;info@elit-decor.com;www.elit-decor.com;10:00 - 18:00;11:00 - 17:00;Выходной;Нет;;3135
"Калининград, Салон &quot;Dom&Decor&quot; (ООО Скандинавская Мебель, ИП В.А. Федоров) ";Проспект Победы, д. 157А, 1 этаж;территория «Калининградбуммонтаж»;;ООО Скандинавская Мебель, ИП В.А. Федоров;Dom&Decor;"4012758575; 9632924878";salon@dom-decor.com;salon@dom-decor.com, logist@dom-decor.com;dom-decor.com;10:00 - 19:00;10:00 - 18:00;Выходной;Нет;;3138
"Кемерово, Студия &quot;DecoХолл&quot; (ООО &quot;Гермес&quot;) ";"проспект Ленина, д. 81-""А"", этаж 1";Магазин;;"ООО ""Гермес""";DecoХолл;3842359663;lepnina@granddekor.ru;lepnina@granddekor.ru;granddekor.ru;10:00 - 19:00;11:00 - 17:00;Выходной;Нет;;3145
"Комсомольск-на-Амуре, Салон &quot;Соломон&quot; ";улица Кирова, д. 46;;;"ООО """"Генезис";магазин Соломон;9838213323;;;;09:00 - 18:00;09:00 - 16:00;Выходной;Нет;;3147
Курск, салон  Ампир-декор (ИП Шаталова Т.Л.) ;улица Добролюбова, д. 15а, 1 этаж;Торговый центр;;ИП Шаталова Т.Л.;салон Ампир-декор;4712396138;salonampirkursk@yandex.ru;;;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3154
"Магнитогорск, Салон &quot;Lux Decor&quot; ";улица Калинина д.1;Салон;"Бывшее детское кафе ""Сказка""";ИП Козлова Н.Б,;салон Lux Decor;3519221899;decorsalon@gmail.com;decorsalon@gmail.com;;10:00 - 19:00;10:00 - 17:00;Выходной;Нет;;3161
"Нижний Новгород, Интерьерный салон &quot;Избранное&quot; ";улица Белинского, д. 11/66, 1 этаж;;Напротив парка Пушкина;ИП Негина О.С.;Салон Избранное;"8314213888; 8314211155";evroplast@elite-nn.ru;evroplast@elite-nn.ru;;10:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;3163
Нижний Новгород, салон “Decor360”, ИП Негина О.С. ;улица Бекетова, д. 13, 2 этаж;;"Стройцентр ""Бекетов""";ИП Негина О.С.;салон “Decor360”;"8314123130; 9082382424";salon@decor360.ru;;;10:00 - 21:00;10:00 - 19:00;10:00 - 19:00;Да;;3163
Нижний Новгород, Центр фасадного декора ;улица Белинского, д. 11/66, этаж цоколь;;Напротива парка Пушкина;ИП Негина О.С.;Центр Фасадного декора;8314211155;fasad@elite-nn.ru;evroplast@elite-nn.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;3163
