IE_XML_ID;IE_NAME;IP_PROP157;IP_PROP160;IP_PROP253;IP_PROP257;IP_PROP258;CV_PRICE_1
4774;карниз 1.50.114;Нет;ВР000001360;5617;18,1;18,1;1252.00
4775;карниз 1.50.115;Нет;ВР000001045;4532;14,56;14,56;1011.00
4776;карниз 1.50.116;Нет;ВР000001487;11451;36,6;36,6;2553.00
4777;карниз 1.50.117;Нет;ВР000001046;11414;37,09;37,09;2547.00
4778;карниз 1.50.118;Нет;ВР000001868;12716;40,54;40,54;2833.00
4779;карниз 1.50.119;Нет;ВР000001858;6248;20,07;20,07;1391.00
4780;карниз 1.50.120;Нет;ВР000001867;12696;41,71;41,71;2829.00
4781;карниз 1.50.121;Нет;ВР000001047;6123;19,41;19,41;1364.00
4782;карниз 1.50.122;Нет;ВР000001048;4027;12,95;12,95;897.00
4783;карниз 1.50.100;Нет;ВР000001042;5581;18,1;18,1;1244.00
4784;карниз 1.50.102;Нет;ВР000005632;4478;14,56;14,56;998.00
4785;карниз 1.50.103;Нет;ВР000005166;4515;14;14;1007.00
4786;карниз 1.50.104;Нет;ВР000001293;11142;35,42;35,42;2483.00
4787;карниз 1.50.105;Нет;ВР000005167;5491;17,03;17,03;1224.00
4788;карниз 1.50.106;Нет;ВР000005174;5925;18,16;18,16;1322.00
4789;карниз 1.50.107;Нет;ВР000005326;11702;37,39;37,39;2610.00
4790;карниз 1.50.109;Нет;ВР000002930;12716;40,54;40,54;2833.00
4791;карниз 1.50.110;Нет;ВР000002931;14376;46,05;46,05;3207.00
4792;карниз 1.50.111;Нет;ВР000001285;11776;37,39;37,39;2625.00
4793;карниз 1.50.112;Нет;ВР000001043;5851;18,89;18,89;1302.00
4794;карниз 1.50.113;Нет;ВР000001044;6194;18,92;18,92;1382.00
4795;карниз 1.50.123;Нет;ВР000001718;4172;13,37;13,37;929.00
4796;карниз 1.50.124;Нет;ВР000001972;10601;33,84;33,84;2365.00
4797;карниз 1.50.125;Нет;ВР000002129;8724;27,94;27,94;1945.00
4798;карниз 1.50.126;Нет;ВР001003726;6123;19,41;19,41;1363.00
4799;карниз 1.50.127;Нет;ВР000002929;5925;18,89;18,89;1322.00
4800;карниз 1.50.128;Нет;ВР000002329;10366;33,05;33,05;2313.00
4801;карниз 1.50.129;Нет;ВР000005168;5978;19,29;19,29;1334.00
4802;карниз 1.50.130;Нет;ВР000001049;4209;13,37;13,37;935.00
4803;карниз 1.50.131;Нет;ВР000001081;10222;32,66;32,66;2277.00
4804;карниз 1.50.132;Нет;ВР000001050;15224;48,41;48,41;3395.00
4805;карниз 1.50.133;Нет;ВР000001076;9427;31,78;31,78;2103.00
4806;карниз 1.50.134;Нет;ВР000001051;14700;46,83;46,83;3280.00
4807;карниз 1.50.135;Нет;ВР000001303;10601;34,24;34,24;2365.00
4808;карниз 1.50.136;Нет;ВР000002167;11883;37,78;37,78;2651.00
4809;карниз 1.50.137;Нет;ВР000001827;15569;49,59;49,59;3471.00
