IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP537;IP_PROP538;IP_PROP539;IP_PROP540;IP_PROP541;IP_PROP542;IP_PROP543;IP_PROP664;IP_PROP672;IP_PROP673;IP_PROP674;IP_PROP675;IP_PROP676;IP_PROP677;IP_PROP678;IP_PROP702;IP_PROP703;IP_PROP704;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP175;IP_PROP102;IP_PROP113;IC_GROUP0;IC_GROUP1;IC_GROUP2
3115;Барнаул, Квадро Интерьер (ООО «Стройклассика»);"<p><strong>ООО ""Стройклассика"" салон &laquo;Квадро-интерьер&raquo;</strong><br />Барнаул, пр-т Строителей, 14а, <br />салон &laquo;Квадро-интерьер&raquo; <br />тел.: +7 385 261 0606 <br /><a href=""http://www.quadro-interier.ru"">www.quadro-interier.ru </a><br /><a href=""mailto:info@quadro-interier.ru"">info@quadro-interier.ru</a></p>";;Строителей проспект, 14а;;;ООО «Стройклассика»;Квадро Интерьер;+7 (3852) 61-06-06;design@kuadro.ru;;www.quadro-interier.ru;10:00 - 19:00;;Нет;Нет;Нет;Нет;;;;retail;;;;;;;Да;;Нет;10:00 - 18:00;Выходной;Нет;;53.352525,83.764639;3114;;;
3117;"Белгород, ЕВРОПЛАСТ (ООО &quot;ВК Хим&quot;)";"<p><strong>ООО ""ВК Хим"" </strong><br />Белгород, ул. Восточная,71 офис 306 <br />тел.: +7 472 220 75 82, <span style=""font-family: 'Verdana','sans-serif'; color: black; font-size: 7.5pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-bidi-font-family: 'Times New Roman'; mso-fareast-language: RU; mso-ansi-language: RU; mso-bidi-language: AR-SA;"">+7 903 885 0022</span><br /><a href=""mailto:vkhim2008@yandex.ru"">vkhim2008@yandex.ru</a></p>";;улица Восточная, д. 71, 1 этаж;;;"ООО ""ВК Хим""";ЕВРОПЛАСТ;"+7 (903) 886-07-70; +7 (4722) 20-75-82";vkhim2008@yandex.ru;vkhim2008@yandex.ru;archdekor.ru;10:00 - 18:00;;Нет;Нет;Нет;Нет;;;vkhim2008@ya.ru;;;;;;;;Да;+7 (903) 886-07-70;Нет;10:00 - 15:00;10:00 - 15:00;Да;;50.5755,36.5444;3116;;;
3119;"Брянск, Арт-студия ""Карнавал Красок""  (ООО ""Карнавал Красок"")";"<p><strong>Магазин ""Карнавал красок""</strong><br />Брянск, ул. 2-я Почепская, д.35а<br />тел.: +7 483 241 6802<br /><a href=""mailto:dekobryansk@mail.ru"">dekobryansk@mail.ru</a></p>";;ул. 2-я Почепская, д. 35а;;;"ООО ""Карнавал Красок""";"Арт-студия ""Карнавал Красок""";"+7 483 2416802; +7 4832  599441; +7 4832 599442";dekobryansk@mail.ru;dekobryansk@mail.ru;;;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;;;Нет;;53.2458108709,34.3296635423;3118;;;
3120;"Брянск, ТЦ ""Мебель & Дом"" (ИП Кощенков Д.Е.)";<p><strong>ИП Кощенков Д.Е.</strong><br />Брянск, ул. Красноармейская, д. 128, ТЦ Таксопарк<br />тел.: +7 483 241 9957</p>;;улица Красноармейская д. 128;"Торговый Центр "" Мебель&Дом """;"Внутренняя парковка ТЦ ( напротив "" Сантехлюкса"")";ИП Кощенков Д.Е.;"салон "" Империя Декора""";"4832419957; 4832419957";imperiya_dekora@mail.ru;imperiya_dekora@mail.ru;imperiya-dekora.ru;10:00 - 20:00;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;10:00 - 20:00;10:00 - 20:00;Да;;53.243195,34.342243;3118;;;
3122;"Ковров, ТК ""ГОРОДОК""";"<p><strong>ТК ""ГОРОДОК""</strong><br />Ковров, ул.Шмидта, д.14, ТЦ ""Глобус""<br />тел.: +7 919 024 4054<br /><a href=""mailto:yurii_yudin@mail.ru"">yurii_yudin@mail.ru</a></p>";;улица Социалистическая, д. 7;"Компания ""Евростиль""";;ИП Юдин Ю.Н.;"""Евростиль""";"9190244054; 4923263332";yurii_yudin@mail.ru;;;9:00 - 18:00;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;Выходной;Выходной;Нет;;56.3639709327,41.3221420933;3121;;;
3124;"Волгоград, DECOLE шоу-рум (ООО &quot;ДЕКОЛЕ&quot;)";"<p><strong>Сеть фирменных салонов ""Декорация"" </strong><br />Волгоград, ул. Тулака<br />Оптово-строительный рынок на Тулака,<br />бывшее здание администрации, левое крыло<br />тел.: +7 844 226 8356</p>";;улица 25 лет Октября д. 1, строение 2, этаж 1;Оптово-строительный рынок на Тулака;Вход в шоу-рум с торца здания;"ООО ""ДЕКОЛЕ""";DECOLE шоу-рум;"+7 (8442) 60-19-08; +7 (962) 760-19-08";salon-decoracia@mail.ru;;www.decole.ru;09:00 - 17:00;;Нет;Нет;Нет;Нет;;;;retail;;;;;;;Да;;Нет;10:00 - 15:00;Выходной;Нет;;48.673416,44.470635;3123;;;
3126;"Воронеж, Магазин &quot;Дон-Декор&quot; (ООО &quot;Дон-Декор&quot;)";"<p><strong>Дизайн-студия &laquo;Дон-Декор&raquo;</strong><br />Воронеж, ул. Донбасская, д. 7,<br />тел.: +7 473 252 6774, +7 473&nbsp;229 0469<br /><a href=""http://www.dondecor.ru"">www.dondecor.ru</a><br /><a href=""mailto:mail@dondecor.ru"">mail@dondecor.ru</a></p>";;улица Донбасская, д. 7 (1 этаж);;Угловой магазин, ближе к пл. Застава;"ООО ""Дон-Декор""";"Магазин ""Дон-Декор""";"+7 (4732) 52-67-74; +7 (4732) 29-04-69";vpn@dondecor.ru;vpn@dondecor.ru;www.2decor.ru;10:00 - 17:00;;Нет;Нет;Нет;Нет;;;vpn@dondecor.ru;;;;;;;;Да;;Нет;11:00 - 15:00;Выходной;Нет;;51.67277,39.181324;3125;;;
3128;"Грозный, Салон ""Альфа-Декор""";"<p><strong>Магазин Альфа-Декор</strong><br />Грозный, ул. Карла Маркса 46-48 ТЦ ""Мегаполис""<br />тел.: +7 928 781 6457, +7 928 736 5090<br /><a href=""mailto:yunusovabu@mail.ru"">yunusovabu@mail.ru</a></p>";;улица К. Маркса, д. 46/48, этаж 2;"ТЦ ""Мегаполис""";;ИП Арсанукаев С.С.;"Салон ""Альфа-Декор""";"9298950041; 9288910123; 9671400660";alfadecor-1@mail.ru;alfadecor-1@mail.ru;;09:00 - 18:00;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;Выходной;Выходной;Нет;Пятница;43.3165222662,45.6842661585;3127;;;
3130;Екатеринбург, Салон лепного декора Гауди (ИП Мельников М.Ю.);"<p><strong>ООО ""Торговая компания ""Дект""</strong><br />Екатеринбург, ул. Луначарского, д. 137, офис 1<br />тел.: +7 343 350 4672, +7 343 345 8696, +7 343 355 4986,<br />+7 343 355 3524, +7 343 217 8043(44), +7 343 355 35 24<br /><a href=""http://decor.su"">http://decor.su</a><br /><a href=""mailto:opt@dekt.ru"">opt@dekt.ru</a>, <a href=""mailto:dekt@dekt.ru"">dekt@dekt.ru</a></p>";;улица Луначарского, д. 137;"Здание ""Дом Кино""";Центральный вход в Дом Кино;ИП Мельников М.Ю.;Салон лепного декора Гауди;"+7 (343) 350-46-72; +7 (343) 345-86-96";salon-gaudi@mail.ru;;gaudisalon.ru;10:00 - 19:00;;Нет;Нет;Нет;Нет;;;;subdealer;"ООО ""ДЕКОЛЕ""";;;;;;Нет;;Нет;10:00 - 18:00;10:00 - 17:00;Да;;56.837342,60.62198;3129;;;
3134;Ижевск, «Дженти» (ООО «Дженти»);"<p><strong>ЗАО ""Дженти""</strong><br />Ижевск, ул. Удмуртская, 304, <br />Строительный центр ""Гвоздь"", офис 3, офис 210а<br />тел.: +7 341 265 6530, +7 341 256 8030<br /><a href=""http://www.g-set.ru"">www.g-set.ru</a><br /><a href=""mailto:andrei-lipin@mail.ru"">andrei-lipin@mail.ru</a></p>";;ул. Удмуртская, 304, корпус 4, этаж 2, пав. 326;Строительный центр «Гвоздь»;зеленый зал, 2 этаж;ООО «Дженти»;«Дженти»;"+7 (3412) 65-65-30; +7 (919) 916-80-30";domdekora@djenti.ru;domdekora@djenti.ru;www.djenti.ru;09:00 - 20:00;;Нет;Нет;Нет;Нет;;;domdecora@list.ru;retail;;;;;;;Да;+7 (3412) 65-65-30;Нет;10:00 - 20:00;10:00 - 19:00;Да;;56.86088,53.222672;3133;;;
3136;Иркутск, ООО Элит Декор (ООО Элит Декор);"<p><strong>ООО ""Элит Декор""</strong><br />Иркутск, ул. 30-й Иркутской Дивизии, 51<br />тел.: +7 395 227 8787<br /><a href=""http://www.elit-decor.com"">www.elit-decor.com</a><br /><a href=""mailto:info@elit-decor.com"">info@elit-decor.com</a></p>";;Иркутской 30-й Дивизии, д. 51;Салон Элит Декор;;ООО Элит Декор;ООО Элит Декор;+7 (3952) 27-87-87;info@elit-decor.com;info@elit-decor.com;www.elit-decor.com;10:00 - 18:00;;Нет;Нет;Нет;Нет;;;info@elit-decor.com;;;;;;;;Да;;Нет;11:00 - 17:00;Выходной;Нет;;52.266694,104.33358;3135;;;
3137;"Иркутск, ТЦ ""Фортуна"" (ООО ""Элит Декор"")";"<p><strong>ООО Элит Декор </strong><br />Иркутск, ул. Октябрьской Революции, 1, <br />ТЦ "" Фортуна"", пав. 118<br />тел.: +7 395 253 6549<br /><a href=""http://www.elit-decor.com"">www.elit-decor.com</a><br /><a href=""mailto:info@elit-decor.com"">info@elit-decor.com</a></p>";;улица Октябрьской революции, д. 1, пав. 118;"Строительный центр ""Фортуна Стройматериалы""";;ООО Элит Декор;ООО Элит Декор;3952278787;info@elit-decor.com;info@elit-decor.com;www.elit-decor.com;09:00 - 19:00;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;11:00 - 17:00;Выходной;Нет;;52.291367,104.297126;3135;;;
