IE_XML_ID;IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP175;IP_PROP113
3115;"Барнаул, Салон ""Квадро-интерьер"", пр-т Строителей";Строителей проспект, 14а;;;ООО «Стройклассика»;Квадро Интерьер;"3852610606; 9132542359";design@kuadro.ru;design@kuadro.ru;www.quadro-interier.ru;10:00 - 19:00;10:00 - 18:00;Выходной;;3114
3117;"Белгород, ООО ""ВК Хим"", ул. Восточная";улица Восточная, д. 71;;;"ООО ""ВК Хим""";Архдекор;"4722207582; 4722240386";;vkhim2008@yandex.ru;archdekor.ru;10:00 - 18:00;10:00 - 15:00;Выходной;;3116
3120;"Брянск, ТЦ ""Мебель & Дом"" (ИП Кощенков Д.Е.)";улица Красноармейская д. 128;"Торговый Центр "" Мебель&Дом """;"Внутренняя парковка ТЦ ( напротив "" Сантехлюкса"")";ИП Кощенков Д.Е.;"салон "" Империя Декора""";"4832419957; 4832419957";imperiya_dekora@mail.ru;imperiya_dekora@mail.ru;imperiya-dekora.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;;3118
3124;"Волгоград, Декорация, ООО ""Деколе""";улица 25 лет Октября д. 1, строение 2, этаж 1;Оптово-строительный рынок на Тулака;"вход в торца, салон ""Декорация""";"ООО ""Деколе""";Декорация;8442601908;manager@decoroom.su;manager@decoroom.su;www.evroplast-nsk.ru;09:00 - 17:00;Выходной;Выходной;;3123
3126;"Воронеж, Магазин ""Дон-Декор""";улица Донбасская, д. 7 (1 этаж);;;"ООО ""Дон-Декор""";"Магазин ""Дон-Декор""";"4732526774; 4732290469";vpn@dondecor.ru;rpv@dondecor.ru;www.2decor.ru;10:00 - 18:00;11:00 - 16:00;Выходной;;3125
3134;"Ижевск, ООО ""Дженти"", ТЦ ""Гвоздь""";ул. Удмуртская, 304, корпус 4, этаж 2, пав. 326;Строительный центр «Гвоздь»;зеленый зал, 2 этаж;ООО «Дженти»;«Дженти»;"3412656530; 9199168030";domdekora@djenti.ru;domdekora@djenti.ru;www.djenti.ru;09:00 - 20:00;10:00 - 20:00;10:00 - 19:00;;3133
3136;"Иркутск, Офис ООО ""Элит Декор""";Иркутской 30-й Дивизии, д. 51;Салон Элит Декор;;ООО Элит Декор;ООО Элит Декор;3952278787;info@elit-decor.com;info@elit-decor.com;www.elit-decor.com;10:00 - 18:00;11:00 - 17:00;Выходной;;3135
3140;"Калининград, Салон ""Dom&Decor"" (ООО Скандинавская Мебель, ИП В.А. Федоров)";Проспект Победы, д. 157А, 1 этаж;территория «Калининградбуммонтаж»;;ООО Скандинавская Мебель, ИП В.А. Федоров;Dom&Decor;"4012758575; 9632924878";salon@dom-decor.com;salon@dom-decor.com, logist@dom-decor.com;dom-decor.com;10:00 - 19:00;10:00 - 18:00;Выходной;;3138
3146;"Кемерово, Студия ""DecoХолл"" (ООО ""Гермес"")";"проспект Ленина, д. 81-""А"", этаж 1";Магазин;;"ООО ""Гермес""";DecoХолл;3842359663;lepnina@granddekor.ru ;lepnina@granddekor.ru ;granddekor.ru;10:00 - 19:00;11:00 - 17:00;Выходной;;3145
3148;"Комсомольск-на-Амуре, Салон ""Соломон""";улица Кирова, д. 46;;;"ООО """"Генезис";магазин Соломон;9838213323;;;;09:00 - 18:00;09:00 - 16:00;Выходной;;3147
