IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP160;IP_PROP162;IP_PROP165;IP_PROP620;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148
4774;карниз 1.50.114;2000;;;;1.50.114;32;65;;;;;Нет;ВР000001360;;Нет;;;;;
4775;карниз 1.50.115;2000;;;;1.50.115;46;49;;;;;Нет;ВР000001045;;Нет;;;;;
4776;карниз 1.50.116;2000;;;;1.50.116;99;100;;;;;Нет;ВР000001487;;Нет;;;;;
4777;карниз 1.50.117;2000;;;;1.50.117;104;154;;;;;Нет;ВР000001046;;Нет;;;;;
4778;карниз 1.50.118;2000;;;;1.50.118;131;130;;;;;Нет;ВР000001868;;Нет;;;;;
4779;карниз 1.50.119;2000;;;;1.50.119;56;113;;;;;Нет;ВР000001858;;Нет;;;;;
4780;карниз 1.50.120;2000;;;;1.50.120;112;142;;;;;Нет;ВР000001867;;Нет;;;;;
4781;карниз 1.50.121;2000;;;;1.50.121;50;101;;;;;Нет;ВР000001047;;Нет;;;;;
4782;карниз 1.50.122;2000;;;;1.50.122;40;50;;;;;Нет;ВР000001048;;Нет;;;;;
4783;карниз 1.50.100;2000;;;;1.50.100;55;64;;;;;Нет;ВР000001042;;Нет;;;;;
4784;карниз 1.50.102;2000;;;;1.50.102;76;69;;;;;Нет;ВР000005632;;Нет;;;;;
4785;карниз 1.50.103;2000;;;;1.50.103;50;50;;;;;Нет;ВР000005166;;Нет;;;;;
4786;карниз 1.50.104;2000;;;;1.50.104;73;116;;;;;Нет;ВР000001293;;Нет;;;;;
4787;карниз 1.50.105;2000;;;;1.50.105;63;60;;;;;Нет;ВР000005167;;Нет;;;;;
4788;карниз 1.50.106;2000;;;;1.50.106;90;71;;;;;Нет;ВР000005174;;Нет;;;;;
4789;карниз 1.50.107;2000;;;;1.50.107;107;148;;;;;Нет;ВР000005326;;Нет;;;;;
4790;карниз 1.50.109;2000;;;;1.50.109;190;78;;;;;Нет;ВР000002930;;Нет;;;;;
4791;карниз 1.50.110;2000;;;;1.50.110;189;169;;;;;Нет;ВР000002931;;Нет;;;;;
4792;карниз 1.50.111;2000;;;;1.50.111;118;112;;;;;Нет;ВР000001285;;Нет;;;;;
4793;карниз 1.50.112;2000;;;;1.50.112;39;74;;;;;Нет;ВР000001043;;Нет;;;;;
4794;карниз 1.50.113;2000;;;;1.50.113;80;83;;;;;Нет;ВР000001044;;Нет;;;;;
4795;карниз 1.50.123;2000;;;;1.50.123;30;30;;;;;Нет;ВР000001718;;Нет;;;;;
4796;карниз 1.50.124;2000;;;;1.50.124;55;115;;;;;Нет;ВР000001972;;Нет;;;;;
4797;карниз 1.50.125;2000;;;;1.50.125;85;90;;;;;Нет;ВР000002129;;Нет;;;;;
4798;карниз 1.50.126;2000;;;;1.50.126;90;93;;;;;Нет;ВР001003726;;Нет;;;;;
