IE_XML_ID;IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP175;IP_PROP113
3110;Европласт - Москва (офис продаж);;;;;;;;;;;;;Нет;;3109
3112;Москва, Фирменный магазин;"Каширское ш., д.19 корп. 2, ТВЦ ""Каширский двор"", первый этаж, стенд 1-49";;;;Фирменный магазин;74 959 819 045;kdvor@decor-evroplast.ru;;;;;;Нет;;3109
3113;"Москва,  Магазин в ТВЦ ""Город"" – ЕВРОПЛАСТ архитектурный декор";"ш. Энтузиастов д.12 стр.2, ТВЦ ""Город"", 3-й этаж, пав. 351";;;;"Магазин в ТВЦ ""Город"" – ЕВРОПЛАСТ архитектурный декор";79 268 279 037;decorru@yandex.ru;;www.evroplast.ru;;;;Нет;;3109
3115;"Барнаул, Салон ""Квадро-интерьер"", пр-т Строителей";Строителей проспект, 14а;;;ООО «Стройклассика»;Квадро Интерьер;"3852610606; 9132542359";design@kuadro.ru;design@kuadro.ru;www.quadro-interier.ru;10:00 - 19:00;10:00 - 18:00;Выходной;Нет;;3114
3117;"Белгород, ООО ""ВК Хим"", ул. Восточная";улица Восточная, д. 71, 1 этаж;;;"ООО ""ВК Хим""";Архдекор;"4722207582; 4722240386";vkhim2008@yandex.ru;vkhim2008@yandex.ru;archdekor.ru;10:00 - 18:00;10:00 - 15:00;10:00 - 15:00;Да;;3116
3119;"Брянск, Арт-студия ""Карнавал Красок""  (ООО ""Карнавал Красок"")";ул. 2-я Почепская, д. 35а;;;"ООО ""Карнавал Красок""";"Арт-студия ""Карнавал Красок""";"+7 483 2416802; +7 4832  599441; +7 4832 599442";dekobryansk@mail.ru;dekobryansk@mail.ru;;;;;Нет;;3118
3120;"Брянск, ТЦ ""Мебель & Дом"" (ИП Кощенков Д.Е.)";улица Красноармейская д. 128;"Торговый Центр "" Мебель&Дом """;"Внутренняя парковка ТЦ ( напротив "" Сантехлюкса"")";ИП Кощенков Д.Е.;"салон "" Империя Декора""";"4832419957; 4832419957";imperiya_dekora@mail.ru;imperiya_dekora@mail.ru;imperiya-dekora.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3118
3122;"Ковров, ТК ""ГОРОДОК""";улица Социалистическая, д. 7;"Компания ""Евростиль""";;ИП Юдин Ю.Н.;"""Евростиль""";"9190244054; 4923263332";yurii_yudin@mail.ru;;;9:00 - 18:00;Выходной;Выходной;Нет;;3121
3124;"Волгоград, Декорация, ООО ""ДЕКОЛЕ""";улица 25 лет Октября д. 1, строение 2, этаж 1;Оптово-строительный рынок на Тулака;Вход в шоу-рум с торца здания;"ООО ""ДЕКОЛЕ""";DECOLE шоу-рум;"8442601908; 9627601908";salon-decoracia@mail.ru;salon-decoracia@mail.ru;www.decole.ru;09:00 - 17:00;10:00 - 15:00;Выходной;Нет;;3123
3126;"Воронеж, Магазин ""Дон-Декор""";улица Донбасская, д. 7 (1 этаж);;Угловой магазин, ближе к пл. Застава;"ООО ""Дон-Декор""";"Магазин ""Дон-Декор""";"4732526774; 4732290469";vpn@dondecor.ru;rpv@dondecor.ru;www.2decor.ru;10:00 - 18:00;11:00 - 16:00;Выходной;Нет;;3125
3128;"Грозный, Салон ""Альфа-Декор""";улица К. Маркса, д. 46/48, этаж 2;"ТЦ ""Мегаполис""";;ИП Арсанукаев С.С.;"Салон ""Альфа-Декор""";"9298950041; 9288910123; 9671400660";alfadecor-1@mail.ru;alfadecor-1@mail.ru;;09:00 - 18:00;Выходной;Выходной;Нет;Пятница;3127
3130;Екатеринбург, ИП Мельников М.Ю.;улица Луначарского, д. 137;"Здание ""Дом Кино""";Центральный вход в Дом Кино;ИП Мельников М.Ю.;Салон лепного декора Гауди;"3433504672; 3433458696";salon-gaudi@mail.ru;salon-gaudi@mail.ru;gaudisalon.ru;10:00 - 19:00;10:00 - 18:00;10:00 - 17:00;Да;;3129
3132;"Иваново, Декор-центр ""Арагон""";проспект Шереметевский, д.18;"Декор-центр ""Арагон""";;"ООО ""ДекорКомплектСтрой";"Декор-центр ""Арагон""";"4932580264; 9158201116";aragondeco@mail.ru;aragondeco@mail.ru;www.aragondeco.ru;10:00 - 19:00;10:00 - 17:00;Выходной;Нет;;3131
3134;"Ижевск, ООО ""Дженти"", ТЦ ""Гвоздь""";ул. Удмуртская, 304, корпус 4, этаж 2, пав. 326;Строительный центр «Гвоздь»;зеленый зал, 2 этаж;ООО «Дженти»;«Дженти»;"3412656530; 9199168030";domdekora@djenti.ru;domdekora@djenti.ru;www.djenti.ru;09:00 - 20:00;10:00 - 20:00;10:00 - 19:00;Да;;3133
3136;"Иркутск, Офис ООО ""Элит Декор""";Иркутской 30-й Дивизии, д. 51;Салон Элит Декор;;ООО Элит Декор;ООО Элит Декор;3952278787;info@elit-decor.com;info@elit-decor.com;www.elit-decor.com;10:00 - 18:00;11:00 - 17:00;Выходной;Нет;;3135
