IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP747;IP_PROP749
4774;карниз;1.50.114;N;Y;34
4775;карниз;1.50.115;N;;
4776;карниз;1.50.116;N;;
4777;карниз;1.50.117;N;;
4778;карниз;1.50.118;N;Y;133
4779;карниз;1.50.119;N;;
4780;карниз;1.50.120;N;;
4781;карниз;1.50.121;N;;
4782;карниз;1.50.122;N;;
4783;карниз;1.50.100;N;;
4784;карниз;1.50.102;N;;
4785;карниз;1.50.103;N;;
4786;карниз;1.50.104;N;;
4787;карниз;1.50.105;N;;
4788;карниз;1.50.106;N;;
4789;карниз;1.50.107;N;Y;17
4790;карниз;1.50.109;N;Y;0
4791;карниз;1.50.110;N;;
4792;карниз;1.50.111;N;;
4793;карниз;1.50.112;N;;
4794;карниз;1.50.113;N;;
4795;карниз;1.50.123;N;;
4796;карниз;1.50.124;N;;
4797;карниз;1.50.125;N;;
4798;карниз;1.50.126;N;;
4799;карниз;1.50.127;N;;
4800;карниз;1.50.128;N;;
4801;карниз;1.50.129;N;;
4802;карниз;1.50.130;N;;
4803;карниз;1.50.131;N;;
4804;карниз;1.50.132;N;;
4805;карниз;1.50.133;N;;
4806;карниз;1.50.134;N;;
4807;карниз;1.50.135;N;Y;109
4808;карниз;1.50.136;N;Y;86
4809;карниз;1.50.137;N;;
4810;карниз;1.50.138;N;;
4811;карниз;1.50.139;N;;
4812;карниз;1.50.140;N;;
4813;карниз;1.50.141;N;;
4814;карниз;1.50.142;N;;
4815;карниз;1.50.143;N;;
4816;карниз;1.50.144;N;;
4817;карниз;1.50.145;N;;
4818;карниз;1.50.146;N;;
4819;карниз;1.50.147;N;;
4820;карниз;1.50.148;N;;
4821;карниз;1.50.149;N;;
4822;карниз;1.50.150;N;;
4823;карниз;1.50.151;N;Y;0
4824;карниз;1.50.152;N;Y;15
4825;карниз;1.50.153;N;Y;7
4826;карниз;1.50.154;N;;
4827;карниз;1.50.155;N;;
4828;карниз;1.50.156;N;;
4829;карниз;1.50.157;N;;
4830;карниз;1.50.158;N;;
4831;карниз;1.50.159;N;;
4832;карниз;1.50.160;N;;
4833;карниз;1.50.162;N;;
4834;карниз;1.50.163;N;;
4835;карниз;1.50.164;N;;
4836;карниз;1.50.165;N;;
4837;карниз;1.50.166;N;Y;144
4838;карниз;1.50.167;N;;
4839;карниз;1.50.168;N;;
4840;карниз;1.50.169;N;;
4841;карниз;1.50.170;N;;
4842;карниз;1.50.171;N;;
4843;карниз;1.50.172;N;;
4844;карниз;1.50.173;N;;
4845;карниз;1.50.174;N;;
4846;карниз;1.50.175;N;;
4847;карниз;1.50.176;N;Y;46
4848;карниз;1.50.177;N;;
4849;карниз;1.50.180;N;;
4850;карниз;1.50.181;N;Y;26
4851;карниз;1.50.182;N;Y;79
4852;карниз;1.50.183;N;;
4853;карниз;1.50.184;N;Y;28
4854;карниз;1.50.185;N;Y;106
4855;карниз;1.50.186;N;Y;56
4856;карниз;1.50.187;N;Y;23
4857;карниз;1.50.188;N;Y;91
4858;карниз;1.50.190;N;Y;108
4859;карниз;1.50.191;N;Y;105
4860;карниз;1.50.192;N;;
4861;карниз;1.50.193;N;Y;264
4862;карниз;1.50.194;N;;
4863;карниз;1.50.195;N;Y;94
4864;карниз;1.50.196;N;;
4865;карниз;1.50.197;N;Y;188
4866;карниз;1.50.198;N;;
4867;карниз;1.50.200;N;Y;37
4868;карниз;1.50.201;N;;
4869;карниз;1.50.202;N;;
4870;карниз;1.50.203;N;Y;68
4871;карниз;1.50.204;N;Y;21
4872;карниз;1.50.208;N;;
4873;карниз;1.50.209;N;;
4874;карниз;1.50.210;N;Y;72
4875;карниз;1.50.211;N;;
4876;карниз;1.50.212;N;Y;128
4877;карниз;1.50.220;N;;
4878;карниз;1.50.221;N;;
4879;карниз;1.50.222;N;;
4880;карниз;1.50.250;N;Y;43
4881;карниз;1.50.251;N;;
4882;карниз;1.50.252;N;;
4883;карниз;1.50.253;N;Y;55
4884;карниз;1.50.254;N;;
4885;карниз;1.50.255;N;Y;0
4886;карниз;1.50.256;N;;
4887;карниз;1.50.257;N;;
4888;карниз;1.50.258;N;;
4889;карниз;1.50.259;N;Y;0
4890;карниз;1.50.260;N;Y;10
4891;карниз;1.50.261;N;;
4892;карниз;1.50.262;N;;
4893;карниз;1.50.264;N;Y;37
4894;карниз;1.50.265;N;Y;40
4895;карниз;1.50.266;N;;
4896;карниз;1.50.267;N;Y;35
4897;карниз;1.50.268;N;Y;31
4898;карниз;1.50.269;N;;
4899;карниз;1.50.270;N;Y;25
4900;карниз;1.50.271;N;;
4901;карниз;1.50.273;N;;
4902;карниз FLEX;1.50.114;Y;Y;22
4903;карниз FLEX;1.50.115;Y;;
4904;карниз FLEX;1.50.116;Y;;
4905;карниз FLEX;1.50.117;Y;;
4906;карниз FLEX;1.50.118;Y;Y;20
4907;карниз FLEX;1.50.119;Y;;
4908;карниз FLEX;1.50.120;Y;;
4909;карниз FLEX;1.50.121;Y;;
4910;карниз FLEX;1.50.122;Y;;
4911;карниз FLEX;1.50.100;Y;;
4912;карниз FLEX;1.50.102;Y;;
4913;карниз FLEX;1.50.103;Y;;
4914;карниз FLEX;1.50.104;Y;;
4915;карниз FLEX;1.50.105;Y;;
4916;карниз FLEX;1.50.106;Y;;
4917;карниз FLEX;1.50.107;Y;Y;20
4918;карниз FLEX;1.50.109;Y;Y;31
4919;карниз FLEX;1.50.110;Y;;
4920;карниз FLEX;1.50.111;Y;;
4921;карниз FLEX;1.50.112;Y;;
4922;карниз FLEX;1.50.113;Y;;
4923;карниз FLEX;1.50.123;Y;;
4924;карниз FLEX;1.50.124;Y;;
4925;карниз FLEX;1.50.125;Y;;
4926;карниз FLEX;1.50.126;Y;;
4927;карниз FLEX;1.50.127;Y;;
4928;карниз FLEX;1.50.128;Y;;
4929;карниз FLEX;1.50.129;Y;;
4930;карниз FLEX;1.50.130;Y;;
4931;карниз FLEX;1.50.131;Y;;
4932;карниз FLEX;1.50.132;Y;;
4933;карниз FLEX;1.50.133;Y;;
4934;карниз FLEX;1.50.134;Y;;
4935;карниз FLEX;1.50.135;Y;Y;18
4936;карниз FLEX;1.50.136;Y;Y;19
4937;карниз FLEX;1.50.137;Y;;
4938;карниз FLEX;1.50.138;Y;;
4939;карниз FLEX;1.50.139;Y;;
4940;карниз FLEX;1.50.140;Y;;
4941;карниз FLEX;1.50.141;Y;;
4942;карниз FLEX;1.50.142;Y;;
4943;карниз FLEX;1.50.143;Y;;
4944;карниз FLEX;1.50.144;Y;;
4945;карниз FLEX;1.50.145;Y;;
4946;карниз FLEX;1.50.146;Y;;
4947;карниз FLEX;1.50.147;Y;;
4948;карниз FLEX;1.50.148;Y;;
4949;карниз FLEX;1.50.149;Y;;
4950;карниз FLEX;1.50.150;Y;;
4951;карниз FLEX;1.50.151;Y;Y;9
4952;карниз FLEX;1.50.152;Y;Y;0
4953;карниз FLEX;1.50.153;Y;Y;9
4954;карниз FLEX;1.50.154;Y;;
4955;карниз FLEX;1.50.155;Y;;
4956;карниз FLEX;1.50.156;Y;;
4957;карниз FLEX;1.50.157;Y;;
4958;карниз FLEX;1.50.158;Y;;
4959;карниз FLEX;1.50.159;Y;;
4960;карниз FLEX;1.50.160;Y;;
4961;карниз FLEX;1.50.162;Y;;
4962;карниз FLEX;1.50.163;Y;;
4963;карниз FLEX;1.50.164;Y;;
4964;карниз FLEX;1.50.165;Y;;
4965;карниз FLEX;1.50.166;Y;Y;10
4966;карниз FLEX;1.50.168;Y;;
4967;карниз FLEX;1.50.169;Y;;
4968;карниз FLEX;1.50.170;Y;;
4969;карниз FLEX;1.50.171;Y;;
4970;карниз FLEX;1.50.172;Y;;
4971;карниз FLEX;1.50.173;Y;;
4972;карниз FLEX;1.50.174;Y;;
4973;карниз FLEX;1.50.175;Y;;
4974;карниз FLEX;1.50.176;Y;Y;0
4975;карниз FLEX;1.50.177;Y;;
4976;карниз FLEX;1.50.180;Y;;
4977;карниз FLEX;1.50.181;Y;Y;17
4978;карниз FLEX;1.50.182;Y;Y;20
4979;карниз FLEX;1.50.183;Y;;
4980;карниз FLEX;1.50.184;Y;Y;31
4981;карниз FLEX;1.50.185;Y;Y;17
4982;карниз FLEX;1.50.186;Y;Y;16
4983;карниз FLEX;1.50.187;Y;Y;13
4984;карниз FLEX;1.50.188;Y;Y;24
4985;карниз FLEX;1.50.190;Y;Y;12
4986;карниз FLEX;1.50.191;Y;Y;5
4987;карниз FLEX;1.50.192;Y;;
4988;карниз FLEX;1.50.193;Y;Y;22
4989;карниз FLEX;1.50.194;Y;;
4990;карниз FLEX;1.50.195;Y;Y;14
4991;карниз FLEX;1.50.197;Y;Y;15
4992;карниз FLEX;1.50.200;Y;Y;22
4993;карниз FLEX;1.50.202;Y;;
4994;карниз FLEX;1.50.203;Y;Y;13
4995;карниз FLEX;1.50.209;Y;;
4996;карниз FLEX;1.50.210;Y;;
4997;карниз FLEX;1.50.220;Y;;
4998;карниз FLEX;1.50.221;Y;;
4999;карниз FLEX;1.50.222;Y;;
5000;карниз FLEX;1.50.250;Y;Y;21
5001;карниз FLEX;1.50.251;Y;;
5002;карниз FLEX;1.50.252;Y;;
5003;карниз FLEX;1.50.253;Y;Y;35
5004;карниз FLEX;1.50.254;Y;;
5005;карниз FLEX;1.50.255;Y;Y;13
5006;карниз FLEX;1.50.256;Y;;
5007;карниз FLEX;1.50.257;Y;;
5008;карниз FLEX;1.50.258;Y;;
5009;карниз FLEX;1.50.259;Y;Y;5
5010;карниз FLEX;1.50.260;Y;Y;18
5011;карниз FLEX;1.50.261;Y;;
5012;карниз FLEX;1.50.262;Y;;
5013;карниз FLEX;1.50.264;Y;Y;6
5014;карниз FLEX;1.50.265;Y;Y;2
5015;карниз FLEX;1.50.266;Y;;
5016;карниз FLEX;1.50.267;Y;Y;10
5017;карниз FLEX;1.50.268;Y;Y;3
5018;карниз FLEX;1.50.269;Y;;
5019;карниз FLEX;1.50.270;Y;Y;14
5020;молдинг;1.51.311;N;Y;186
5021;молдинг;1.51.314;N;;
5022;молдинг;1.51.327;N;;
5023;молдинг;1.51.301;N;;
5024;молдинг;1.51.305;N;;
5025;молдинг;1.51.321;N;;
5026;молдинг;1.51.400;N;;
5027;молдинг;1.51.302;N;;
5028;молдинг;1.51.303;N;;
5029;молдинг;1.51.304;N;;
5030;молдинг;1.51.306;N;;
5031;молдинг;1.51.307;N;;
5032;молдинг;1.51.324;N;Y;158
5033;молдинг;1.51.352;N;Y;112
5034;молдинг;1.51.325;N;Y;0
5035;молдинг;1.51.312;N;;
5036;молдинг;1.51.332;N;Y;32
5037;молдинг;1.51.350;N;Y;11
5038;молдинг;1.51.326;N;Y;68
5039;молдинг;1.51.308;N;;
5040;молдинг;1.51.309;N;Y;146
5041;молдинг;1.51.310;N;;
5042;молдинг;1.51.313;N;Y;0
5043;молдинг;1.51.315;N;;
5044;молдинг;1.51.316;N;;
5045;молдинг;1.51.317;N;;
5046;молдинг;1.51.318;N;Y;0
5047;молдинг;1.51.319;N;Y;51
5048;молдинг;1.51.320;N;Y;0
5049;молдинг;1.51.322;N;;
5050;молдинг;1.51.328;N;Y;14
5051;молдинг;1.51.330;N;Y;0
5052;молдинг;1.51.333;N;;
5053;молдинг;1.51.340;N;Y;4
5054;молдинг;1.51.341;N;Y;0
5055;молдинг;1.51.342;N;;
5056;молдинг;1.51.343;N;;
5057;молдинг;1.51.344;N;;
5058;молдинг;1.51.351;N;Y;22
5059;молдинг;1.51.380;N;Y;0
5060;молдинг;1.51.401;N;;
5061;молдинг;1.51.323;N;;
5062;молдинг;1.51.339;N;Y;72
5063;молдинг;1.51.331;N;Y;162
5064;молдинг;1.51.336;N;Y;0
5065;молдинг;1.51.334;N;Y;0
5066;молдинг;1.51.335;N;Y;190
5067;молдинг;1.51.337;N;;
5068;молдинг;1.51.348;N;;
5069;молдинг;1.51.349;N;Y;61
5070;молдинг;1.51.329;N;Y;176
5071;молдинг;1.51.347;N;;
5072;молдинг;1.51.355;N;;
5073;молдинг;1.51.354;N;;
5074;молдинг FLEX;1.51.311;Y;Y;25
5075;молдинг FLEX;1.51.314;Y;;
5076;молдинг FLEX;1.51.327;Y;;
5077;молдинг FLEX;1.51.301;Y;;
5078;молдинг FLEX;1.51.305;Y;;
5079;молдинг FLEX;1.51.321;Y;;
5080;молдинг FLEX;1.51.400;Y;;
5081;молдинг FLEX;1.51.302;Y;;
5082;молдинг FLEX;1.51.303;Y;;
5083;молдинг FLEX;1.51.304;Y;;
5084;молдинг FLEX;1.51.306;Y;;
5085;молдинг FLEX;1.51.307;Y;;
5086;молдинг FLEX;1.51.324;Y;Y;28
