IE_XML_ID;IE_NAME;IP_PROP360;IP_PROP373
42602;301;[HTML]Здравствуйте! Я дизайнер. На каких именно условиях вы работаете с дизайнерами? Какая система скидок и бонусов?;Другое
42613;302;[HTML]Здравствуйте! Каким образом производится монтаж декоративного камина 1.64.004 глубиной 195 и колоннами 1.64.005 глубиной 170? Евгения;Ассортимент и уточнение по размерам
42619;302;[HTML]Здравствуйте! Каким образом производится монтаж декоративного камина 1.64.004 глубиной 195 и колоннами 1.64.005 глубиной 170? Евгения;Монтаж изделий
42651;308;[HTML]Добрый день, подскажите кто сегодня в Украине является Вашим представителем со складскими запасами? Мы торговая организация. ;Другое
42762;311;[HTML]Скажите, можно заказать капитель и базу для колонн? Сами колонны у меня есть. ;Ассортимент и уточнение по размерам
42775;311;[HTML]Скажите, можно заказать капитель и базу для колонн? Сами колонны у меня есть. ;Работа магазинов
42842;312;[HTML]Где можно купить вашу продукцию в Якутске?;Ассортимент и уточнение по размерам
42843;312;[HTML]Где можно купить вашу продукцию в Якутске?;Работа магазинов
42855;313;[HTML]Я как представитель дизайн- студии могу закупить продукцию  европласта по оптовым ценам в Москве ? Если могу, то пришлите контакты пожалуйста;Ассортимент и уточнение по размерам
42859;314;[HTML]Здравствуйте! Меня интересует из какого именно материала изготавливаются жесткие пенополиуретановые карнизы? И есть ли какие-то нормативные документы описывающие их свойства (плотность, жесткость, диапазон рабочих температур)? Пример карниза прикреплен.;Свойства изделий
42865;313;[HTML]Я как представитель дизайн- студии могу закупить продукцию  европласта по оптовым ценам в Москве ? Если могу, то пришлите контакты пожалуйста;Работа магазинов
42866;314;[HTML]Здравствуйте! Меня интересует из какого именно материала изготавливаются жесткие пенополиуретановые карнизы? И есть ли какие-то нормативные документы описывающие их свойства (плотность, жесткость, диапазон рабочих температур)? Пример карниза прикреплен.;Другое
42895;315;[HTML]Добрый день.<br/>Есть ли доставка в пос.Новоселье, ЛО?;Другое
42902;316;[HTML]Доброе утро! Могу ли я как физлицо сделать заказ на Вашем сайте. И будет ли у меня скидка? Спасибо.;Другое
42916;317;[HTML]Добрый день. Заинтересовала  Ваша продукция. Хотим с вами сотрудничать. Как происходит данная схема сотрудничества? ;Другое
42923;318;[HTML]Заказала элементы для камина, но в декоре не нашла основание (между элементами на пол) камина...чтобы было понятно прикладываю фото. Можно ли у вас заказать?;Ассортимент и уточнение по размерам
42925;319;[HTML]Чем покрыты изделия из полиуретана?<br/>Можно ли использовать интерьерную лепнину из полиуретана для фасада? <br/>Возможно ли изготовление лепных изделий по индивидуальному заказу?<br/>Какой вид клея используется при монтаже лепного декора из полиуретана и дюрополимера?;Свойства изделий
42984;320;[HTML]Здравствуйте!<br/><br/>Можно ли использовать клей как водостойкий для использования в солёной воде?<br/>https://evroplast.ru/catalogue/interernyj-dekor/klei-90/E04-U-290;Свойства изделий
42985;318;[HTML]Заказала элементы для камина, но в декоре не нашла основание (между элементами на пол) камина...чтобы было понятно прикладываю фото. Можно ли у вас заказать?;Монтаж изделий
42989;320;[HTML]Здравствуйте!<br/><br/>Можно ли использовать клей как водостойкий для использования в солёной воде?<br/>https://evroplast.ru/catalogue/interernyj-dekor/klei-90/E04-U-290;Монтаж изделий
42990;321;[HTML]Просим выставить счет на плинтус (1.53.103 плинтус 5шт.), клей и замазку.<br/><br/>ООО «ФОТИДА»   Полоцкий район, д. Заозерье<br/><br/>ул. Центральная, д. 26а     р/сч. 3012028690016<br/><br/>в флиале № 216 ОАО «АСБ Беларусбанк» <br/><br/> в г.Новополоцке    УНП 391151167  <br/><br/>IBAN BY27AKBB30120286900162100000<br/><br/>BIC:AKBBBY21216   <br/><br/>дир. Чумаченко С.Г. на основании Устава ;Другое
42992;322;[HTML]Тестовая запись, просьба не реагировать. <br/>Был ли ответ вам полезен;Ассортимент и уточнение по размерам
42993;317;[HTML]Добрый день. Заинтересовала  Ваша продукция. Хотим с вами сотрудничать. Как происходит данная схема сотрудничества? ;Гарантийные обязательства
42994;321;[HTML]Просим выставить счет на плинтус (1.53.103 плинтус 5шт.), клей и замазку.<br/><br/>ООО «ФОТИДА»   Полоцкий район, д. Заозерье<br/><br/>ул. Центральная, д. 26а     р/сч. 3012028690016<br/><br/>в флиале № 216 ОАО «АСБ Беларусбанк» <br/><br/> в г.Новополоцке    УНП 391151167  <br/><br/>IBAN BY27AKBB30120286900162100000<br/><br/>BIC:AKBBBY21216   <br/><br/>дир. Чумаченко С.Г. на основании Устава ;Гарантийные обязательства
42995;321;[HTML]Просим выставить счет на плинтус (1.53.103 плинтус 5шт.), клей и замазку.<br/><br/>ООО «ФОТИДА»   Полоцкий район, д. Заозерье<br/><br/>ул. Центральная, д. 26а     р/сч. 3012028690016<br/><br/>в флиале № 216 ОАО «АСБ Беларусбанк» <br/><br/> в г.Новополоцке    УНП 391151167  <br/><br/>IBAN BY27AKBB30120286900162100000<br/><br/>BIC:AKBBBY21216   <br/><br/>дир. Чумаченко С.Г. на основании Устава ;Работа магазинов
42996;317;[HTML]Добрый день. Заинтересовала  Ваша продукция. Хотим с вами сотрудничать. Как происходит данная схема сотрудничества? ;Работа магазинов
43003;323;"[HTML]Добрый день! <br/>Подскажите какое количества клея и крепежа мне понадобиться на данные изделия. Карниз 4.01.301-99,15 м.п.; 4.91.003-92,6 м.п.. <br/>Фриз 4.03.201-84,4 м.п. <br/>Наличник 4.84.004-217 м.п. Подоконный элемент-50,44 м.п.";Монтаж изделий
43004;318;[HTML]Заказала элементы для камина, но в декоре не нашла основание (между элементами на пол) камина...чтобы было понятно прикладываю фото. Можно ли у вас заказать?;Другое
43045;324;[HTML]дизайн и монтаж;Другое
43061;325;[HTML]Добрый день, Подскажите представительства вашей продукции во Франции. И можно ли оформить заказа в Москве с доставкой во Францию;Другое
43069;326;[HTML]Добрый день.<br/>Нас интересуют декоративные столбы, закрыть метало каркас веранды.;Ассортимент и уточнение по размерам
43070;326;[HTML]Добрый день.<br/>Нас интересуют декоративные столбы, закрыть метало каркас веранды.;Другое
43109;327;[HTML]Здравствуйте! Хотела бы уточнить вашу почту. Я архитектор. Наша компнаия закладывает ваши изделия в проект (Москва). Нам необходимо КП. Куда я могу отправить запрос на КП. Файл прикрепила;Другое
43117;329;"[HTML]Добрый день! Уточните пожалуйста габариты алюминиевого уголка на изделия 4.01.301; 4.91.003 и габариты оцинковочных саморезов ";Монтаж изделий
43152;330;[HTML]Добрый день! Я являюсь представителем   оптовой строительной компании в г. Харьков, Украина. У нас есть очень крупный заказ по Вашему продукту. Интересует вопрос сотрудничества и покупки Вашего товара. Свяжитесь со мной любым удобным для Вас способом. Заранее благодарна за оперативный ответ!;Другое
43217;331;[HTML]Существует ли система скидок при крупных заказах? ;Другое
43266;332;[HTML]Добрый день. Цена молдингов и карнизов указана за метр погонный или за палку?;Другое
43397;333;[HTML]Добрый день. Проинструктируйте, пожалуйста, как устанавливаются плинтусы Европласт при стеновой кладке из декоративного кирпича?Спасибо!;Монтаж изделий
43495;334;[HTML]Добрый день. Подскажите как происходит процесс монтажа декоративных панелей? просто на клей?<br/><br/>и какой расход клея приблизительно будет?;Монтаж изделий
43568;335;[HTML]скажите салон-магазин на ленина уже не работает?и где сейчас склад,тк по улице тибетской он уже не находится!!на сайте устаревшая информация;Другое
