IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4774;карниз;1.50.114;Нет;Интерьерный декор;карнизы;;676.00
4775;карниз;1.50.115;Нет;Интерьерный декор;карнизы;;545.00
4776;карниз;1.50.116;Нет;Интерьерный декор;карнизы;;1377.00
4777;карниз;1.50.117;Нет;Интерьерный декор;карнизы;;1448.00
4778;карниз;1.50.118;Нет;Интерьерный декор;карнизы;;1528.00
4779;карниз;1.50.119;Нет;Интерьерный декор;карнизы;;751.00
4780;карниз;1.50.120;Нет;Интерьерный декор;карнизы;;1569.00
4781;карниз;1.50.121;Нет;Интерьерный декор;карнизы;;736.00
4782;карниз;1.50.122;Нет;Интерьерный декор;карнизы;;482.00
4783;карниз;1.50.100;Нет;Интерьерный декор;карнизы;;677.00
4784;карниз;1.50.102;Нет;Интерьерный декор;карнизы;;537.00
4785;карниз;1.50.103;Нет;Интерьерный декор;карнизы;;541.00
4786;карниз;1.50.104;Нет;Интерьерный декор;карнизы;;1339.00
4787;карниз;1.50.105;Нет;Интерьерный декор;карнизы;;660.00
4788;карниз;1.50.106;Нет;Интерьерный декор;карнизы;;712.00
4789;карниз;1.50.107;Нет;Интерьерный декор;карнизы;;1408.00
4790;карниз;1.50.109;Нет;Интерьерный декор;карнизы;;1528.00
4791;карниз;1.50.110;Нет;Интерьерный декор;карнизы;;1730.00
4792;карниз;1.50.111;Нет;Интерьерный декор;карнизы;;1416.00
4793;карниз;1.50.112;Нет;Интерьерный декор;карнизы;;701.00
4794;карниз;1.50.113;Нет;Интерьерный декор;карнизы;;744.00
4795;карниз;1.50.123;Нет;Интерьерный декор;карнизы;;500.00
4796;карниз;1.50.124;Нет;Интерьерный декор;карнизы;;1278.00
4797;карниз;1.50.125;Нет;Интерьерный декор;карнизы;;1049.00
4798;карниз;1.50.126;Нет;Интерьерный декор;карнизы;;735.00
4799;карниз;1.50.127;Нет;Интерьерный декор;карнизы;;712.00
4800;карниз;1.50.128;Нет;Интерьерный декор;карнизы;;1247.00
4801;карниз;1.50.129;Нет;Интерьерный декор;карнизы;;719.00
4802;карниз;1.50.130;Нет;Интерьерный декор;карнизы;;503.00
4803;карниз;1.50.131;Нет;Интерьерный декор;карнизы;;1228.00
4804;карниз;1.50.132;Нет;Интерьерный декор;карнизы;;1831.00
4805;карниз;1.50.133;Нет;Интерьерный декор;карнизы;;1247.00
4806;карниз;1.50.134;Нет;Интерьерный декор;карнизы;;1770.00
4807;карниз;1.50.135;Нет;Интерьерный декор;карнизы;;1289.00
4808;карниз;1.50.136;Нет;Интерьерный декор;карнизы;;1430.00
4809;карниз;1.50.137;Нет;Интерьерный декор;карнизы;;1872.00
4810;карниз;1.50.138;Нет;Интерьерный декор;карнизы;;1569.00
4811;карниз;1.50.139;Нет;Интерьерный декор;карнизы;;1215.00
