IE_XML_ID;IP_PROP726;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154
4774;;2000;;;;1.50.114;32;65;;
4775;;2000;;;;1.50.115;46;49;;
4776;;2000;;;;1.50.116;99;100;;
4777;;2000;;;;1.50.117;104;154;;
4778;;2000;;;;1.50.118;131;130;;
4779;;2000;;;;1.50.119;56;113;;
4780;;2000;;;;1.50.120;112;142;;
4781;;2000;;;;1.50.121;50;101;;
4782;;2000;;;;1.50.122;40;50;;
4783;;2000;;;;1.50.100;55;64;;
4784;;2000;;;;1.50.102;76;69;;
4785;;2000;;;;1.50.103;50;50;;
4786;;2000;;;;1.50.104;73;116;;
4787;;2000;;;;1.50.105;63;60;;
4788;;2000;;;;1.50.106;90;71;;
4789;;2000;;;;1.50.107;107;148;;
4790;;2000;;;;1.50.109;190;78;;
4791;;2000;;;;1.50.110;189;169;;
4792;;2000;;;;1.50.111;118;112;;
4793;;2000;;;;1.50.112;39;74;;
4794;;2000;;;;1.50.113;80;83;;
4795;;2000;;;;1.50.123;30;30;;
4796;;2000;;;;1.50.124;55;115;;
4797;;2000;;;;1.50.125;85;90;;
4798;;2000;;;;1.50.126;90;93;;
4799;;2000;;;;1.50.127;46;89;;
4800;;2000;;;;1.50.128;66;144;;
4801;;2000;;;;1.50.129;74;85;;
4802;;2000;;;;1.50.130;30;32;;
4803;;2000;;;;1.50.131;136;63;;
4804;;2000;;;;1.50.132;117;218;;
4805;;2000;;;;1.50.133;115;120;;
4806;;2000;;;;1.50.134;193;150;;
4807;;2000;;;;1.50.135;159;40;;
4808;;2000;;;;1.50.136;61;165;;
4809;;2000;;;;1.50.137;185;190;;
4810;;2000;;;;1.50.138;151;165;;
4811;;2000;;;;1.50.139;99;100;;
4812;;2000;;;;1.50.140;56;56;;
4813;;2000;;;;1.50.141;68;72;;
4814;;2000;;;;1.50.142;195;45;;
4815;;2000;;;;1.50.143;69;73;;
4816;;2000;;;;1.50.144;82;81;;
4817;;2000;;;;1.50.145;262;92;;
4818;;2000;;;;1.50.146;76;149;;
4819;;2000;;;;1.50.147;125;173;;
4820;;2000;;;;1.50.148;120;117;;
4821;;2000;;;;1.50.149;188;185;;
4822;;2000;;;;1.50.150;40;41;;
4823;;2000;;;;1.50.151;144;171;;
4824;;2000;;;;1.50.152;155;172;;
4825;;2000;;;;1.50.153;159;170;;
4826;;2000;;;;1.50.154;23;23;;
4827;;2000;;;;1.50.155;16;25;;
4828;;2000;;;;1.50.156;30;30;;
4829;;2000;;;;1.50.157;31;33;;
4830;;2000;;;;1.50.158;34;33;;
4831;;2000;;;;1.50.159;28;44;;
4832;;2000;;;;1.50.160;70;50;;
4833;;2000;;;;1.50.162;60;85;;
4834;;2000;;;;1.50.163;65;151;;
4835;;2000;;;;1.50.164;126;126;;
4836;;2000;;;;1.50.165;80;82;;
4837;;2000;;;;1.50.166;87;142;;
4838;;2000;;;;1.50.167;120;119;;
4839;;2000;;;;1.50.168;120;119;;
4840;;2000;;;;1.50.169;96;99;;
4841;;2000;;;;1.50.170;113;79;;
4842;;2000;;;;1.50.171;30;45;;
4843;;2000;;;;1.50.172;48;47;;
4844;;2000;;;;1.50.173;40;55;;
4845;;2000;;;;1.50.174;36;62;;
4846;;2000;;;;1.50.175;117;135;;
4847;;2000;;;;1.50.176;68;131;;
4848;;2000;;;;1.50.177;56;119;;
4849;;2000;;;;1.50.180;91;121;;
4850;;2000;;;;1.50.181;39;75;;
4851;;2000;;;;1.50.182;41;69;;
4852;;2000;;;;1.50.183;84;96;;
4853;;2000;;;;1.50.184;73;73;;
4854;;2000;;;;1.50.185;98;115;;
4855;;2000;;;;1.50.186;55;82;;
4856;;2000;;;;1.50.187;50;52;;
4857;;2000;;;;1.50.188;50;53;;
4858;;2000;;;;1.50.190;25;40;;
4859;;2000;;;;1.50.191;25;40;;
4860;;2000;;;;1.50.192;40;70;;
4861;;2000;;;;1.50.193;57;90;;
4862;;2000;;;;1.50.194;50;50;;
4863;;2000;;;;1.50.195;53;53;;
4864;;2000;;;;1.50.196;53;70;;
4865;;2000;;;;1.50.197;73;77;;
4866;;2000;;;;1.50.198;92;87;;
4867;;2000;;;;1.50.200;55;55;;
4868;;2000;;;;1.50.201;130;171;;
4869;;2000;;;;1.50.202;103;97;;
4870;;2000;;;;1.50.203;128;116;;
4871;;2000;;;;1.50.204;40;36;;
4872;;2000;;;;1.50.208;71;71;;
4873;;2000;;;;1.50.209;117;152;;
4874;;2000;;;;1.50.210;121;156;;
4875;;2000;;;;1.50.211;176;72;;
