IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP159;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP167;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4774;карниз;2000;;;;1.50.114;30;67;;;;;;;;Нет;;ВР000001360;;4;72,5;;;Интерьерный декор;карнизы;;676.00
4775;карниз;2000;;;;1.50.115;47;49;;;;;;;;Нет;;ВР000001045;;4;72,5;;;Интерьерный декор;карнизы;;545.00
4776;карниз;2000;;;;1.50.116;100;100;;;;;;;;Нет;;ВР000001487;;4;72,5;;;Интерьерный декор;карнизы;;1377.00
4777;карниз;2000;;;;1.50.117;105;155;;;;;;;;Нет;;ВР000001046;;5;82,8;;;Интерьерный декор;карнизы;;1448.00
4778;карниз;2000;;;;1.50.118;132;131;;;;;;;;Нет;;ВР000001868;;4;72,5;;;Интерьерный декор;карнизы;;1528.00
4779;карниз;2000;;;;1.50.119;50;118;;;;;;;;Нет;;ВР000001858;;4;72,5;;;Интерьерный декор;карнизы;;751.00
4780;карниз;2000;;;;1.50.120;122;143;;;;;;;;Нет;;ВР000001867;;4;72,5;;;Интерьерный декор;карнизы;;1569.00
4781;карниз;2000;;;;1.50.121;51;101;;;;;;;;Нет;;ВР000001047;;4;72,5;;;Интерьерный декор;карнизы;;736.00
4782;карниз;2000;;;;1.50.122;40;50;;;;;;;;Нет;;ВР000001048;;4;72,5;;;Интерьерный декор;карнизы;;482.00
4783;карниз;2000;;;;1.50.100;55;64;;;;;;;;Нет;;ВР000001042;;4;72,5;;;Интерьерный декор;карнизы;;677.00
4784;карниз;2000;;;;1.50.102;74;72;;;;;;;;Нет;;ВР000005632;;4;72,5;;;Интерьерный декор;карнизы;;537.00
4785;карниз;2000;;;;1.50.103;50;50;;;;;;;;Нет;;ВР000005166;;4;93;;;Интерьерный декор;карнизы;;541.00
4786;карниз;2000;;;;1.50.104;76;114;;;;;;;;Нет;;ВР000001293;;4;72,5;;;Интерьерный декор;карнизы;;1339.00
4787;карниз;2000;;;;1.50.105;63;60;;;;;;;;Нет;;ВР000005167;;4;72,5;;;Интерьерный декор;карнизы;;660.00
4788;карниз;2000;;;;1.50.106;90;72;;;;;;;;Нет;;ВР000005174;;4;72,5;;;Интерьерный декор;карнизы;;712.00
4789;карниз;2000;;;;1.50.107;108;148;;;;;;;;Нет;;ВР000005326;;4;72,5;;;Интерьерный декор;карнизы;;1408.00
4790;карниз;2000;;;;1.50.109;188;84;;;;;;;;Нет;;ВР000002930;;4;72,5;;;Интерьерный декор;карнизы;;1528.00
4791;карниз;2000;;;;1.50.110;192;162;;;;;;;;Нет;;ВР000002931;;5;82,8;;;Интерьерный декор;карнизы;;1730.00
4792;карниз;2000;;;;1.50.111;113;116;;;;;;;;Нет;;ВР000001285;;5;82,8;;;Интерьерный декор;карнизы;;1416.00
4793;карниз;2000;;;;1.50.112;39;75;;;;;;;;Нет;;ВР000001043;;4;72,5;;;Интерьерный декор;карнизы;;701.00
4794;карниз;2000;;;;1.50.113;81;84;;;;;;;;Нет;;ВР000001044;;4;72,5;;;Интерьерный декор;карнизы;;744.00
4795;карниз;2000;;;;1.50.123;30;30;;;;;;;;Нет;;ВР000001718;;4;72,5;;;Интерьерный декор;карнизы;;500.00
4796;карниз;2000;;;;1.50.124;57;115;;;;;;;;Нет;;ВР000001972;;4;72,5;;;Интерьерный декор;карнизы;;1278.00
4797;карниз;2000;;;;1.50.125;87;90;;;;;;;;Нет;;ВР000002129;;4;72,5;;;Интерьерный декор;карнизы;;1049.00
4798;карниз;2000;;;;1.50.126;95;91;;;;;;;;Нет;;ВР001003726;;4;72,5;;;Интерьерный декор;карнизы;;735.00
4799;карниз;2000;;;;1.50.127;48;90;;;;;;;;Нет;;ВР000002929;;4;72,5;;;Интерьерный декор;карнизы;;712.00
4800;карниз;1970;;;;1.50.128;67;146;;;;;;;;Нет;;ВР000002329;;4;72,5;;;Интерьерный декор;карнизы;;1247.00
4801;карниз;2000;;;;1.50.129;75;86;;;;;;;;Нет;;ВР000005168;;4;72,5;;;Интерьерный декор;карнизы;;719.00
4802;карниз;2000;;;;1.50.130;30;32;;;;;;;;Нет;;ВР000001049;;4;72,5;;;Интерьерный декор;карнизы;;503.00
4803;карниз;2000;;;;1.50.131;135;60;;;;;;;;Нет;;ВР000001081;;4;72,5;;;Интерьерный декор;карнизы;;1228.00
4804;карниз;2000;;;;1.50.132;117;217;;;;;;;;Нет;;ВР000001050;;5;82,8;;;Интерьерный декор;карнизы;;1831.00
4805;карниз;2000;;;;1.50.133;116;119;;;;;;;;Нет;;ВР000001076;;5;82,8;;;Интерьерный декор;карнизы;;1247.00
4806;карниз;2000;;;;1.50.134;193;149;;;;;;;;Нет;;ВР000001051;;4;72,5;;;Интерьерный декор;карнизы;;1770.00
4807;карниз;2000;;;;1.50.135;161;41;;;;;;;;Нет;;ВР000001303;;4;72,5;;;Интерьерный декор;карнизы;;1289.00
4808;карниз;2000;;;;1.50.136;62;166;;;;;;;;Нет;;ВР000002167;;5;82,8;;;Интерьерный декор;карнизы;;1430.00
4809;карниз;2000;;;;1.50.137;183;190;;;;;;;;Нет;;ВР000001827;;5;82,8;;;Интерьерный декор;карнизы;;1872.00
4810;карниз;2000;;;;1.50.138;156;161;;;;;;;;Нет;;ВР000002343;;5;82,8;;;Интерьерный декор;карнизы;;1569.00
4811;карниз;2000;;;;1.50.139;99;99;;;;;;;;Нет;;ВР000006023;;4;72,5;;;Интерьерный декор;карнизы;;1215.00
