IE_XML_ID;IE_NAME;IP_PROP116
3109;Москва;3111
3114;Барнаул;3111
3116;Белгород;3111
3118;Брянск;3111
3121;Ковров;3111
3123;Волгоград;3111
3125;Воронеж;3111
3127;Грозный;3111
3129;Екатеринбург;3111
3131;Иваново;3111
3133;Ижевск;3111
3135;Иркутск;3111
3138;Калининград;3111
3143;Калуга;3111
3145;Кемерово;3111
3147;Комсомольск-на-Амуре;3111
3149;Краснодар;3111
3152;Красноярск;3111
3154;Курск;3111
3161;Магнитогорск;3111
3163;Нижний Новгород;3111
3168;Нижневартовск;3111
3170;Новосибирск;3111
3172;Омск;3111
3176;Орел;3111
3178;Оренбург;3111
3180;Пенза;3111
3182;Пермь;3111
3187;Ростов-на-Дону;3111
3189;Рязань;3111
3192;Самара;3111
3194;Саратов;3111
3196;Санкт-Петербург;3111
3202;Сочи;3111
3204;Ставрополь;3111
3207;Стерлитамак;3111
3209;Сургут;3111
3211;Тамбов;3111
3213;Тольятти;3111
3215;Томск;3111
3217;Тула;3111
3220;Тюмень;3111
3223;Уфа;3111
3228;Хабаровск;3111
3231;Чебоксары;3111
3233;Челябинск;3111
3235;Чита;3111
3237;Ярославль;3111
3239;Якутск;3111
3242;Минск;3241
3247;Усть-Каменогорск;3246
3251;Киев;3250
3255;Абакан;3111
3258;Нальчик;3111
3260;Казань;3111
3263;Раменское;3111
3275;Улан-Удэ;3111
3287;Баку;3286
3297;Кишинев ;3296
3299;Великий Новгород;3111
3302;Киров;3111
3304;Вологда;3111
3307;Домодедово;3111
3310;Алматы;3246
3312;Шымкент;3246
3314;Тараз;3246
3316;Кострома;3111
3318;Псков;3111
3321;Владимир;3111
3324;Орехово-Зуево;3111
3326;Ульяновск;3111
3329;Набережные Челны ;3111
3331;Липецк;3111
3333;Астрахань;3111
3336;Сухум;3335
3338;Смоленск;3111
3340;Архангельск;3111
3342;Астана;3246
3347;Караганда;3246
3350;Кокшетау;3246
3352;Кустанай;3246
3370;Бирюч;3111
3372;Губкин;3111
3374;Старый Оскол;3111
3381;Шебекино;3111
3420;Ахтубинск;3111
3422;Волжский;3111
3429;Михайловка;3111
3431;Элиста;3111
3443;Череповец;3111
3456;Ишим;3111
3462;Каменск-Уральский;3111
3464;Краснотурьинск;3111
3481;Курган;3111
3494;Мичуринск;3111
3520;Нефтеюганск;3111
3522;Нижний Тагил;3111
3524;Уренгой;3111
3540;Бузулук;3111
3543;Новоорск;3111
3545;Новотроицк;3111
3547;Орск;3111
3554;Ясный;3111
3556;Первоуральск;3111
3590;Сарапул;3111
3602;Балашов;3111
3604;Маркс;3111
3606;Энгельс;3111
3616;Тобольск;3111
3644;Ханты-Мансийск;3111
3671;Ташкент;3670
3678;Бельцы;3296
3683;Адлер;3111
3685;Армавир;3111
3687;Актау;3246
3689;Уральск;3246
3691;Актобе;3246
3696;Новокузнецк;3111
3707;Мурманск;3111
3723;Альметьевск;3111
3727;Рига;3726
3729;Тверь;3111
3733;Пятигорск;3111
3741;Московская область;3111
3756;Петрозаводск;3111
3772;Йошкар-Ола;3111
3830;Сыктывкар;3111
3841;Вильнюс;3840
6117;Сыктывкар;3111
6119;Гудермес;3111
6120;Ишим;3111
6124;Новороссийск;3111
6132;Южно-Сахалинск;3111
6133;Ишим;3111
6137;Саранск;3111
6142;Симферополь;3111
6147;Железногорск;3111
6150;Шарья;3111
6154;Подольск;3111
6157;Анапа;3111
6159;Кропоткин;3111
6191;Благовещенск ;3111
6228;Советск;3111
6239;Елец;3111
6245;Мончегорск;3111
6263;Дербент;3111
6265;Махачкала;3111
6299;Новый Уренгой;3111
6305;Нефтеюганск;3111
6325;Атырау;3246
6331;Павлодар;3246
6336;Петропавловск;3246
6349;Таллин;6347
6383;Семипалатинск;3246
6399;Щелково;3111
6401;Троицк;3111
6529;Бугульма;3111
6531;Нижнекамск;3111
6533;Октябрьский;3111
6535;Рыбинск;3111
6561;Майкоп;3111
6567;Кинешма;3111
6572;Нефтекамск;3111
6608;Прага;6607
6679;Геленджик;3111
6681;Владикавказ;3111
6692;Ереван;6690
6705;Ашхабад;6703
6714;Бишкек;6712
6715;Ош;6712
6728;Кызылорда;3246
6733;Экибастуз;3246
6759;Туапсе;3111
6776;Клин;3111
6789;Владивосток;3111
6798;Ленинск-Кузнецкий;3111
6799;Юрга;3111
6800;Полысаево;3111
6801;Анжеро-Судженск;3111
6833;Арсеньев;3111
16710;Чехов;3111
24220;Петропавловск-Камчатский;3111
36595;Солнечногорск;3111
36596;Орехово-Зуево;3111
36603;Коломна;3111
36605;Егорьевск;3111
36881;Муром;3111
37795;Янаул;3111
42161;Сызрань;3111
46432;Севастополь;3111
47495;Ейск;3111
47496;Черкесск;3111
52538;Великие Луки;3111
53164;Салехард;3111
59639;Туймазы;3111
64754;Лениногорск;3111
64992;Серов;3111
64994;Качканар;3111
64996;Новоуральск;3111
65000;Лесной;3111
65002;Ирбит;3111
65004;Ревда;3111
66545;Междуреченск;3111
70968;Тбилиси;70966
76007;Камышин;3111
