IE_XML_ID;IE_NAME;IP_PROP360;IP_PROP361;IP_PROP362;IP_PROP363;IP_PROP366;IP_PROP373
42602;301;[HTML]Здравствуйте! Я дизайнер. На каких именно условиях вы работаете с дизайнерами? Какая система скидок и бонусов?;"[HTML]Добрый день, Елизавета!<br>
<br>
C Вами свяжется менеджер фирменного магазина Европласт и ответит на все интересующие Вас вопросы.";16.04.2018 18:42:49;Андрей Чиличихин;Елизавета;Другое
42613;302;[HTML]Здравствуйте! Каким образом производится монтаж декоративного камина 1.64.004 глубиной 195 и колоннами 1.64.005 глубиной 170? Евгения;;;;Евгения;Ассортимент и уточнение по размерам
42619;302;[HTML]Здравствуйте! Каким образом производится монтаж декоративного камина 1.64.004 глубиной 195 и колоннами 1.64.005 глубиной 170? Евгения;[HTML]Добрый день Евгения. Камин собирается из трех элементов, верхняя часть и колонны по краям, необходимо склеить колонны с верхней частью 1.64.004 стыковочным клеем европласт и дополнительно с обратной стороны стянуть саморезами. После сборки конструкции камин просто приклеивается к поверхности стены. Правильную визуальную сборку камина вы можете увидеть в нашем каталоге или на сайте.;17.04.2018 10:58:58;Александр Чекунов;Евгения;Монтаж изделий
42651;308;[HTML]Добрый день, подскажите кто сегодня в Украине является Вашим представителем со складскими запасами? Мы торговая организация. ;"[HTML]Добрый день, Виктория!<br/>Благодарим  Вас за вопрос. Рады Вам сообщить, что нашим официальным представителем на территории Украины является компания ООО ""Украинский Дом Декора"". Представительство имеет склад продукции, обеспечивающий возможность отгрузить необходимые товары клиенту «здесь и сейчас». <br/>Контакты:<br/>Украина, г. Киев, БЦ ""Аполло»<br/>ул. Здолбуновская, 7 (4-й этаж)<br/>тел.: +380 (44) 499-81-07, +380 (67) 505-53-49<br/>электронный адрес: info@udd.com.ua<br/>сайт: http://www.udd.com.ua/<br/>Приятного Вам сотрудничества!<br/><br/>";17.04.2018 16:52:56;Галина Гроян;Виктория;Другое
42762;311;[HTML]Скажите, можно заказать капитель и базу для колонн? Сами колонны у меня есть. ;;;;Марина Степовая;Ассортимент и уточнение по размерам
42775;311;[HTML]Скажите, можно заказать капитель и базу для колонн? Сами колонны у меня есть. ;"[HTML]Марина, доброе утро! Благодарим  Вас за вопрос. Да, можно. Консультацию по подбору капители и базы можно получить у официального представителя Европласт  на территории Карелии  - ООО «Стилиссимо», ниже контакты. <br/>Республика Карелия<br/>Петрозаводск<br/>Салон интерьера ""Стилиссимо""<br/>улица М. Горького, д. 23<br/>Тел.: +7 (8142) 59-59-66, +7 (8142) 59-59-22<br/>stilissimo10@mail.ru<br/>Время работы:<br/>Будни	- 10:00 - 19:00<br/>Суббота	- 12:00 - 17:00<br/>Воскресенье	- Выходной<br/>Приятных Вам покупок!<br/>";19.04.2018 09:43:28;Галина Гроян;Марина Степовая;Работа магазинов
42842;312;[HTML]Где можно купить вашу продукцию в Якутске?;;;;Элина;Ассортимент и уточнение по размерам
42843;312;[HTML]Где можно купить вашу продукцию в Якутске?;[HTML]Добрый день, Элина!<br/>Благодарим  Вас за вопрос. Купить нашу продукцию в Якутске можно у официального дилера ИП Васильева Е.В., ниже контакты:<br/>Якутск, ИП Васильева Е.В.<br/>улица Жорницкого, д. 35, этаж 3, пав. 306<br/>тел.: +7 (914) 271-41-12, +7 (924) 175-96-15<br/>Время работы:<br/>Будни - 10:00 - 18:00 <br/>Суббота - 10:00 - 18:00 <br/>Воскресенье - 10:00 - 18:00 <br/>Без выходных<br/>Приятных Вам покупок!<br/>;20.04.2018 13:11:58;Галина Гроян;Элина;Работа магазинов
42855;313;[HTML]Я как представитель дизайн- студии могу закупить продукцию  европласта по оптовым ценам в Москве ? Если могу, то пришлите контакты пожалуйста;;;;Элина;Ассортимент и уточнение по размерам
42859;314;[HTML]Здравствуйте! Меня интересует из какого именно материала изготавливаются жесткие пенополиуретановые карнизы? И есть ли какие-то нормативные документы описывающие их свойства (плотность, жесткость, диапазон рабочих температур)? Пример карниза прикреплен.;;;;Буниятов Денис;Свойства изделий
