IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP726;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP158;IP_PROP159;IP_PROP160;IP_PROP161;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP165;IP_PROP166;IP_PROP167;IP_PROP409;IP_PROP410;IP_PROP411;IP_PROP412;IP_PROP413;IP_PROP414;IP_PROP446;IP_PROP544;IP_PROP545;IP_PROP546;IP_PROP547;IP_PROP580;IP_PROP596;IP_PROP612;IP_PROP616;IP_PROP617;IP_PROP619;IP_PROP620;IP_PROP659;IP_PROP660;IP_PROP661;IP_PROP662;IP_PROP670;IP_PROP705;IP_PROP732;IP_PROP733;IP_PROP746;IP_PROP747;IP_PROP748;IP_PROP749;IP_PROP408;IP_PROP618;IP_PROP149;IP_PROP180;IP_PROP183;IP_PROP181;IP_PROP182;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP252;IP_PROP253;IP_PROP254;IP_PROP255;IP_PROP256;IP_PROP257;IP_PROP258;IP_PROP565;IP_PROP600;IP_PROP706;IP_PROP707
4774;карниз;;;;2000;;;;1.50.114;32;65;;;;;N;N;;ВР000001360;КАРНИЗ 1.50.114;;1,89;63,75;N;N;;Y;N;Y;N;N;N;;N;N;N;N;;;;;;;;500;Y;;ВР099022406;1351;;;;;Y;;270;N;Y;;;N;N;N;;;;58,89;7464;519;375;8900;19,92;19,92;63,7;234919;457;8,4
4775;карниз;;;;2000;;;;1.50.115;46;49;;;;;N;N;;ВР000001045;КАРНИЗ 1.50.115;;1,43;63,75;N;;;N;Y;N;N;Y;N;;N;N;N;N;;;;;;;;450;Y;;ВР099022361;1091;;;;;;;;N;N;;;;;;;;;47,56;6025;417;303;7200;16,01;16,01;51,4;189799;457;6,4
4776;карниз;;;;2000;;;;1.50.116;99;100;;;;;N;N;;ВР000001487;КАРНИЗ 1.50.116;;4,04;69,75;N;;;Y;N;Y;N;N;N;;N;N;N;N;;;;;;;;900;Y;;ВР099022362;2750;;;;;;;;N;Y;;;;;;;;;120,09;15216;1058;763;18000;40,26;40,26;129,9;478665;500;18
4777;карниз;;;;2000;;;;1.50.117;104;154;;;;;N;N;;ВР000001046;КАРНИЗ 1.50.117;;5,98;77,25;N;;;N;Y;N;N;Y;N;;N;Y;N;N;;;;;;;;900;Y;;ВР099022320;2742;;;;;;;;N;N;;;;;;;;;119,81;13316;1112;761;18800;40,8;40,8;129,5;419814;550;26,6
4778;карниз;;;;2000;;;;1.50.118;131;130;;;;;N;N;;ВР000001868;КАРНИЗ 1.50.118;;7,53;77,25;N;;;Y;N;N;N;Y;N;;Y;N;N;N;;;;;;;;1000;Y;;ВР099022407;3051;;;;;Y;;130;N;Y;;;;;;;;;133,26;16866;1172;847;20000;44,6;44,6;144;531143;550;33,5
4779;карниз;;;;2000;;;;1.50.119;56;113;;;;;N;N;;ВР000001858;КАРНИЗ 1.50.119;;3,57;69,75;N;N;;Y;N;N;N;Y;N;;N;N;N;N;;;;;;;;500;Y;;ВР099022321;1499;;;;;;;;N;Y;;;N;N;N;;;;65,43;8289;577;416;9900;22,08;22,08;70,7;260912;500;15,9
4780;карниз;;;;2000;;;;1.50.120;112;142;;;;;N;N;;ВР000001867;КАРНИЗ 1.50.120;;7,46;77,25;N;;;Y;N;Y;Y;N;N;;N;N;N;N;;;;;;;;1000;Y;;ВР099022408;3047;;;;;;;;N;N;;;;;;;;;133,08;16847;1204;846;20400;45,88;45,88;143,8;530161;550;33,2
4781;карниз;;;;2000;;;;1.50.121;50;101;;;;;N;N;;ВР000001047;КАРНИЗ 1.50.121;;3,28;69,75;N;N;;N;Y;N;N;Y;N;N;N;N;Y;N;N;N;N;;;;;500;Y;;ВР099022322;1470;;;;;;;;N;Y;;;N;N;N;;;;64,16;8136;565;408;9600;21,34;21,34;69,4;256007;500;14,6
4782;карниз;;;;2000;;;;1.50.122;40;50;;;;;N;N;;ВР000001048;КАРНИЗ 1.50.122;;1,97;63,75;N;;;N;Y;N;N;N;N;;N;N;Y;N;;;;;;;;350;Y;;ВР099022323;967;;;;;;;;N;Y;;;;;;;;;42,19;5354;371;269;6300;14,24;14,24;45,6;168219;457;8,8
4783;карниз;;;;2000;;;;1.50.100;55;64;;;;;N;N;;ВР000001042;КАРНИЗ 1.50.100;;2,1;69,75;N;N;;N;Y;N;N;Y;N;N;Y;N;N;N;N;N;N;N;N;N;;450;Y;;ВР099022312;1341;;;;;;;;N;Y;;;N;N;N;;;;58,52;6505;519;372;8900;19,92;19,92;63,2;204512;500;9,3
