IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP142
4774;карниз;2010;1.50.114
4775;карниз;2010;1.50.115
4776;карниз;2010;1.50.116
4777;карниз;2010;1.50.117
4778;карниз;2010;1.50.118
4779;карниз;2010;1.50.119
4780;карниз;2010;1.50.120
4781;карниз;2010;1.50.121
4782;карниз;2010;1.50.122
4783;карниз;2010;1.50.100
4784;карниз;2010;1.50.102
4785;карниз;2000;1.50.103
4786;карниз;2010;1.50.104
4787;карниз;2010;1.50.105
4788;карниз;2010;1.50.106
4789;карниз;2010;1.50.107
4790;карниз;2000;1.50.109
4791;карниз;2010;1.50.110
4792;карниз;2010;1.50.111
4793;карниз;2010;1.50.112
4794;карниз;2010;1.50.113
4795;карниз;2010;1.50.123
4796;карниз;2010;1.50.124
4797;карниз;2000;1.50.125
4798;карниз;2010;1.50.126
4799;карниз;2010;1.50.127
4800;карниз;1970;1.50.128
4801;карниз;2010;1.50.129
4802;карниз;2010;1.50.130
4803;карниз;2010;1.50.131
4804;карниз;2000;1.50.132
4805;карниз;2010;1.50.133
4806;карниз;2010;1.50.134
4807;карниз;2010;1.50.135
4808;карниз;2010;1.50.136
4809;карниз;2010;1.50.137
4810;карниз;2010;1.50.138
4811;карниз;2010;1.50.139
4812;карниз;2010;1.50.140
4813;карниз;2010;1.50.141
4814;карниз;2010;1.50.142
4815;карниз;2010;1.50.143
4816;карниз;2010;1.50.144
4817;карниз;2010;1.50.145
4818;карниз;2010;1.50.146
4819;карниз;2010;1.50.147
4820;карниз;2010;1.50.148
4821;карниз;2010;1.50.149
4822;карниз;2010;1.50.150
4823;карниз;2010;1.50.151
4824;карниз;2010;1.50.152
4825;карниз;2010;1.50.153
4826;карниз;2010;1.50.154
4827;карниз;2010;1.50.155
4828;карниз;2010;1.50.156
4829;карниз;2010;1.50.157
4830;карниз;2010;1.50.158
4831;карниз;2010;1.50.159
4832;карниз;2010;1.50.160
4833;карниз;2010;1.50.162
4834;карниз;2000;1.50.163
4835;карниз;2000;1.50.164
4836;карниз;2010;1.50.165
4837;карниз;2010;1.50.166
4838;карниз;2010;1.50.167
4839;карниз;2000;1.50.168
4840;карниз;2000;1.50.169
4841;карниз;2010;1.50.170
4842;карниз;2010;1.50.171
4843;карниз;2010;1.50.172
4844;карниз;2010;1.50.173
4845;карниз;2010;1.50.174
4846;карниз;2010;1.50.175
4847;карниз;2010;1.50.176
4848;карниз;2010;1.50.177
4849;карниз;2010;1.50.180
4850;карниз;2010;1.50.181
4851;карниз;2010;1.50.182
4852;карниз;2010;1.50.183
4853;карниз;2010;1.50.184
4854;карниз;2010;1.50.185
4855;карниз;2010;1.50.186
4856;карниз;2010;1.50.187
4857;карниз;2010;1.50.188
4858;карниз;2010;1.50.190
4859;карниз;2010;1.50.191
4860;карниз;2010;1.50.192
4861;карниз;2010;1.50.193
4862;карниз;2010;1.50.194
4863;карниз;2010;1.50.195
4864;карниз;2010;1.50.196
4865;карниз;2010;1.50.197
4866;карниз;2010;1.50.198
4867;карниз;2010;1.50.200
4868;карниз;2010;1.50.201
4869;карниз;2010;1.50.202
4870;карниз;2010;1.50.203
4871;карниз;2010;1.50.204
4872;карниз;2010;1.50.208
4873;карниз;2010;1.50.209
4874;карниз;2010;1.50.210
4875;карниз;2010;1.50.211
4876;карниз;2010;1.50.212
4877;карниз;2010;1.50.220
4878;карниз;2010;1.50.221
4879;карниз;2010;1.50.222
4880;карниз;2010;1.50.250
4881;карниз;2010;1.50.251
4882;карниз;2000;1.50.252
4883;карниз;2010;1.50.253
4884;карниз;2010;1.50.254
4885;карниз;2010;1.50.255
4886;карниз;2000;1.50.256
4887;карниз;2010;1.50.257
4888;карниз;2010;1.50.258
4889;карниз;2010;1.50.259
4890;карниз;2010;1.50.260
4891;карниз;1980;1.50.261
4892;карниз;2010;1.50.262
4893;карниз;2010;1.50.264
4894;карниз;2010;1.50.265
4895;карниз;2010;1.50.266
4896;карниз;2010;1.50.267
4897;карниз;2010;1.50.268
4898;карниз;2010;1.50.269
4899;карниз;2010;1.50.270
4900;карниз;2010;1.50.271
4901;карниз;2010;1.50.273
5861;карниз;2010;1.50.205
6108;карниз;2010;1.50.101
6111;карниз;2010;1.50.199
4902;карниз FLEX;2010;1.50.114
4903;карниз FLEX;2010;1.50.115
4904;карниз FLEX;2010;1.50.116
4905;карниз FLEX;2010;1.50.117
4906;карниз FLEX;2010;1.50.118
4907;карниз FLEX;2010;1.50.119
4908;карниз FLEX;2010;1.50.120
4909;карниз FLEX;2010;1.50.121
4910;карниз FLEX;2010;1.50.122
4911;карниз FLEX;2010;1.50.100
4912;карниз FLEX;2010;1.50.102
4913;карниз FLEX;2000;1.50.103
4914;карниз FLEX;2010;1.50.104
4915;карниз FLEX;2010;1.50.105
4916;карниз FLEX;2010;1.50.106
4917;карниз FLEX;2010;1.50.107
4918;карниз FLEX;2000;1.50.109
4919;карниз FLEX;2010;1.50.110
4920;карниз FLEX;2010;1.50.111
4921;карниз FLEX;2010;1.50.112
4922;карниз FLEX;2010;1.50.113
4923;карниз FLEX;2010;1.50.123
4924;карниз FLEX;2010;1.50.124
4925;карниз FLEX;2000;1.50.125
4926;карниз FLEX;2010;1.50.126
