IE_XML_ID;IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP537;IP_PROP113
3115;"Барнаул, Салон &quot;Квадро-интерьер&quot;, пр-т Строителей ";Строителей проспект, 14а;;;ООО «Стройклассика»;Квадро Интерьер;"3852610606; 9132542359";design@kuadro.ru;design@kuadro.ru;www.quadro-interier.ru;10:00 - 19:00;;3114
3117;"Белгород, ООО &quot;ВК Хим&quot;, ул. Восточная ";улица Восточная, д. 71, 1 этаж;;;"ООО ""ВК Хим""";Архдекор;"9038850022; 4722240386";vkhim2008@yandex.ru;vkhim2008@yandex.ru;archdekor.ru;10:00 - 18:00;;3116
3124;"Волгоград, Декорация, ООО &quot;ДЕКОЛЕ&quot; ";улица 25 лет Октября д. 1, строение 2, этаж 1;Оптово-строительный рынок на Тулака;Вход в шоу-рум с торца здания;"ООО ""ДЕКОЛЕ""";DECOLE шоу-рум;"8442601908; 9627601908";salon-decoracia@mail.ru;salon-decoracia@mail.ru;www.decole.ru;09:00 - 17:00;;3123
3126;"Воронеж, Магазин &quot;Дон-Декор&quot; ";улица Донбасская, д. 7 (1 этаж);;Угловой магазин, ближе к пл. Застава;"ООО ""Дон-Декор""";"Магазин ""Дон-Декор""";"4732526774; 4732290469";vpn@dondecor.ru;vpn@dondecor.ru;www.2decor.ru;10:00 - 17:00;;3125
3134;"Ижевск, ООО &quot;Дженти&quot;, ТЦ &quot;Гвоздь&quot; ";ул. Удмуртская, 304, корпус 4, этаж 2, пав. 326;Строительный центр «Гвоздь»;зеленый зал, 2 этаж;ООО «Дженти»;«Дженти»;"3412656530; 9199168030";domdekora@djenti.ru;domdekora@djenti.ru;www.djenti.ru;09:00 - 20:00;;3133
3136;"Иркутск, Офис ООО &quot;Элит Декор&quot; ";Иркутской 30-й Дивизии, д. 51;Салон Элит Декор;;ООО Элит Декор;ООО Элит Декор;3952278787;info@elit-decor.com;info@elit-decor.com;www.elit-decor.com;10:00 - 18:00;;3135
3140;"Калининград, Салон &quot;Dom&Decor&quot; (ООО Скандинавская Мебель, ИП В.А. Федоров) ";Проспект Победы, д. 157А, 1 этаж;территория «Калининградбуммонтаж»;;ООО Скандинавская Мебель, ИП В.А. Федоров;Dom&Decor;"4012758575; 9632924878";salon@dom-decor.com;salon@dom-decor.com, logist@dom-decor.com;dom-decor.com;10:00 - 19:00;;3138
3146;"Кемерово, Студия &quot;DecoХолл&quot; (ООО &quot;Гермес&quot;) ";"проспект Ленина, д. 81-""А"", этаж 1";Магазин;;"ООО ""Гермес""";DecoХолл;3842359663;lepnina@granddekor.ru;lepnina@granddekor.ru;granddekor.ru;10:00 - 19:00;;3145
3148;"Комсомольск-на-Амуре, Салон &quot;Соломон&quot; ";улица Кирова, д. 46;;;"ООО """"Генезис";магазин Соломон;9838213323;;;;09:00 - 18:00;;3147
3160;Курск, салон  Ампир-декор (ИП Шаталова Т.Л.) ;улица Добролюбова, д. 15а, 1 этаж;Торговый центр;;ИП Шаталова Т.Л.;салон Ампир-декор;4712396138;salonampirkursk@yandex.ru;;;10:00 - 20:00;;3154
