IE_XML_ID;IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP109;IP_PROP102;IP_PROP113;IC_GROUP0;IC_GROUP1;IC_GROUP2
3110;Европласт - Москва (офис продаж);;;;;;;;;;;;;Нет;;55.613,37.621;3109;;;
3112;Москва, Фирменный магазин;"Каширское ш., д.19 корп. 2, ТВЦ ""Каширский двор"", первый этаж, стенд 1-49";;;;Фирменный магазин;+ 7 495 9819045;kdvor@decor-evroplast.ru;;;;;;Нет;Ежедневно: 9:00 - 21:00;55.664,37.634;3109;;;
3113;"Москва,  Магазин в ТВЦ ""Город"" – ЕВРОПЛАСТ архитектурный декор";"ш. Энтузиастов д.12 стр.2, ТВЦ ""Город"", 3-й этаж, пав. 351";;;;"Магазин в ТВЦ ""Город"" – ЕВРОПЛАСТ архитектурный декор";+7 926 8279037;decorru@yandex.ru;;www.evroplast.ru;;;;Нет;Ежедневно: 10:00 - 22:00;55.749,37.706;3109;;;
3115;"Барнаул, Салон ""Квадро-интерьер"", пр-т Строителей";Строителей проспект, 14а;;;ООО «Стройклассика»;Квадро Интерьер;" +7 385 2610606; +7 913 2542359";design@kuadro.ru;design@kuadro.ru;www.quadro-interier.ru;;;;Нет;"Время работы:
Будни - 10:00 - 19:00
Суббота - 10:00 - 19:00
Воскр. - выходной
";53.352525,83.764639;3114;;;
3117;"Белгород, ООО ""ВК Хим"", ул. Восточная";ул. Восточная, д. 71 офис 306;;;"ООО ""ВК Хим""";"ООО ""ВК Хим""";"+7 472 2240386; +7 903 8850022";vkhim2008@yandex.ru;;;;;;Нет;;50.5755,36.5444;3116;;;
3119;"Брянск, Арт-студия ""Карнавал Красок""  (ООО ""Карнавал Красок"")";ул. 2-я Почепская, д. 35а;;;"ООО ""Карнавал Красок""";"Арт-студия ""Карнавал Красок""";"+7 483 2416802; +7 4832  599441; +7 4832 599442";dekobryansk@mail.ru;dekobryansk@mail.ru;карнавалкрасок.рф;;;;Нет;;53.2458108709,34.3296635423;3118;;;
3120;"Брянск, ТЦ ""Мебель & Дом"" (ИП Кощенков Д.Е.)";"ул. Красноармейская, д. 128, ТЦ""Мебель & Дом""";;;ИП Кощенков Д.Е.;;+7 4832 419957;;;;;;;Нет;;53.243195,34.342243;3118;;;
3122;"Ковров, ТК ""ГОРОДОК""";"ул.Шмидта, д. 14, ТЦ ""Глобус""";;;"ТК ""ГОРОДОК""";"ТК ""ГОРОДОК""";+7 919 0244054;yurii_yudin@mail.ru;;;;;;Нет;;56.362701,41.301402;3121;;;
3124;"Волгоград, Салон ""Декорация""";ул. 25 лет Октября, д. 1, оф. 104;;;;"Салон ""Декорация""";"+7 8442 268356; +7 8442 260666; +7 8442 477299";"decoracia_2011@mail.ru; salon-decoracia@mail.ru";;;;;;Нет;;48.673293,44.470721;3123;;;
3126;"Воронеж, Дизайн-студия ""Дон-Декор""";ул. Донбасская, д. 7;;;;"Дизайн-студия ""Дон-Декор""";"+7 473 2526774; +7 473 2290469";mail@dondecor.ru;;www.dondecor.ru;;;;Нет;;51.67277,39.181324;3125;;;
3128;"Грозный, Магазин ""Альфа-Декор""";"ул. Карла Маркса 46-48 ТЦ ""Мегаполис""";;;;"Магазин ""Альфа-Декор""";"+7 928 7816457; +7 928 7365090";yunusovabu@mail.ru;;;;;;Нет;;43.3165222662,45.6842661585;3127;;;
3130;Екатеринбург, ИП Мельников М.Ю.;ул. Луначарского, д. 137, офис 1;;;ИП Мельников М.Ю.;Центральный вход в Дом Кино;"+7 343 3504672; +7 343 3458696; +7 343 3554986; +7 343 3553524; +7 343 2178043(44); +7 343 3553524";salon-gaudi@mail.ru;;;;;;Нет;;56.837342,60.62198;3129;;;
