IE_XML_ID;IE_NAME;IP_PROP103;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP175;IP_PROP113
3115;"Барнаул, Салон &quot;Квадро-интерьер&quot;, пр-т Строителей ";ООО «Стройклассика»;Строителей проспект, 14а;;;Квадро Интерьер;"3852610606; 9132542359";design@kuadro.ru;design@kuadro.ru;www.quadro-interier.ru;10:00 - 19:00;10:00 - 18:00;Выходной;Нет;;3114
3117;"Белгород, ООО &quot;ВК Хим&quot;, ул. Восточная ";"ООО ""ВК Хим""";улица Восточная, д. 71;;;Архдекор;"4722207582; 4722240386";;vkhim2008@yandex.ru;archdekor.ru;10:00 - 18:00;10:00 - 15:00;Выходной;Нет;;3116
3120;"Брянск, ТЦ &quot;Мебель & Дом&quot; (ИП Кощенков Д.Е.) ";ИП Кощенков Д.Е.;улица Красноармейская д. 128;"Торговый Центр "" Мебель&Дом """;"Внутренняя парковка ТЦ ( напротив "" Сантехлюкса"")";"салон "" Империя Декора""";"4832419957; 4832419957";imperiya_dekora@mail.ru;imperiya_dekora@mail.ru;imperiya-dekora.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3118
3124;"Волгоград, Декорация, ООО &quot;Деколе&quot; ";"ООО ""Деколе""";улица 25 лет Октября д. 1, строение 2, этаж 1;Оптово-строительный рынок на Тулака;"вход в торца, салон ""Декорация""";Декорация;8442601908;manager@decoroom.su;manager@decoroom.su;www.evroplast-nsk.ru;09:00 - 17:00;Выходной;Выходной;Нет;;3123
3126;"Воронеж, Магазин &quot;Дон-Декор&quot; ";"ООО ""Дон-Декор""";улица Донбасская, д. 7 (1 этаж);;;"Магазин ""Дон-Декор""";"4732526774; 4732290469";vpn@dondecor.ru;rpv@dondecor.ru;dondecor.ru;10:00 - 18:00;11:00 - 16:00;Выходной;Нет;;3125
3134;"Ижевск, ООО &quot;Дженти&quot;, ТЦ &quot;Гвоздь&quot; ";ООО «Дженти»;ул. Удмуртская, 304, корпус 4, этаж 2, пав. 326;Строительный центр «Гвоздь»;зеленый зал, 2 этаж;«Дженти»;"3412656530; 9199168030";domdekora@djenti.ru;domdekora@djenti.ru;www.djenti.ru;09:00 - 20:00;10:00 - 20:00;10:00 - 19:00;Да;;3133
3136;"Иркутск, Офис ООО &quot;Элит Декор&quot; ";ООО Элит Декор;Иркутской 30-й Дивизии, д. 51;Салон Элит Декор;;ООО Элит Декор;3952278787;info@elit-decor.com;info@elit-decor.com;www.elit-decor.com;10:00 - 18:00;11:00 - 17:00;Выходной;Нет;;3135
3140;"Калининград, Салон &quot;Dom&Decor&quot; (ООО «КБМ») ";ООО «КБМ»;Проспект Победы, д. 157А, 1 этаж;территория «Калининградбуммонтаж»;;Dom&Decor;"4012565375; 9814758575";salon3@dom-decor.com;salon3@dom-decor.com;dom-decor.com;10:00 - 19:00;10:00 - 18:00;Выходной;Нет;;3138
3146;"Кемерово, Студия &quot;DecoХолл&quot; (ООО &quot;Гермес&quot;) ";"ООО ""Гермес""";"проспект Ленина, д. 81-""А"", этаж 1";Магазин;;DecoХолл;3842359663;lepnina@granddekor.ru ;lepnina@granddekor.ru ;granddekor.ru;10:00 - 19:00;11:00 - 17:00;Выходной;Нет;;3145
3148;"Комсомольск-на-Амуре, Салон &quot;Соломон&quot; ";"ООО """"Генезис";улица Кирова, д. 46;;;магазин Соломон;9838213323;;;;09:00 - 18:00;09:00 - 16:00;Выходной;Нет;;3147
3160;Курск, салон  Ампир-декор (ИП Шаталова Т.Л.) ;ИП Шаталова Т.Л.;улица Добролюбова, д. 15а, 1 этаж;Торговый центр;;салон Ампир-декор;4712396138;salonampirkursk@yandex.ru;;;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3154
