IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP163;IP_PROP164
4774;карниз;1.50.114;Нет;4,00;64
4775;карниз;1.50.115;Нет;4,00;64
4776;карниз;1.50.116;Нет;4,00;70
4777;карниз;1.50.117;Нет;4,50;78
4778;карниз;1.50.118;Нет;4,00;78
4779;карниз;1.50.119;Нет;4,00;70
4780;карниз;1.50.120;Нет;4,00;78
4781;карниз;1.50.121;Нет;4,00;70
4782;карниз;1.50.122;Нет;4,00;64
4783;карниз;1.50.100;Нет;4,00;70
4784;карниз;1.50.102;Нет;4,00;70
4785;карниз;1.50.103;Нет;4,00;70
4786;карниз;1.50.104;Нет;4,00;79
4787;карниз;1.50.105;Нет;4,00;64
4788;карниз;1.50.106;Нет;4,00;64
4789;карниз;1.50.107;Нет;4,00;79
4790;карниз;1.50.109;Нет;4,00;70
4791;карниз;1.50.110;Нет;4,50;79
4792;карниз;1.50.111;Нет;4,50;79
4793;карниз;1.50.112;Нет;4,00;64
4794;карниз;1.50.113;Нет;4,00;70
4795;карниз;1.50.123;Нет;4,00;60
4796;карниз;1.50.124;Нет;4,00;70
4797;карниз;1.50.125;Нет;4,00;70
4798;карниз;1.50.126;Нет;4,00;70
4799;карниз;1.50.127;Нет;4,00;70
4800;карниз;1.50.128;Нет;4,00;70
4801;карниз;1.50.129;Нет;4,00;70
4802;карниз;1.50.130;Нет;4,00;60
4803;карниз;1.50.131;Нет;4,00;70
4804;карниз;1.50.132;Нет;4,50;78
4805;карниз;1.50.133;Нет;4,50;78
4806;карниз;1.50.134;Нет;4,00;78
4807;карниз;1.50.135;Нет;4,00;60
4808;карниз;1.50.136;Нет;4,50;78
4809;карниз;1.50.137;Нет;4,50;78
4810;карниз;1.50.138;Нет;4,50;78
4811;карниз;1.50.139;Нет;4,00;70
4812;карниз;1.50.140;Нет;4,00;64
4813;карниз;1.50.141;Нет;4,00;64
4814;карниз;1.50.142;Нет;4,00;70
4815;карниз;1.50.143;Нет;4,00;70
4816;карниз;1.50.144;Нет;4,00;70
