IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP162;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148;CV_PRICE_1
4774;карниз 1.50.114;2000;;;;1.50.114;32;65;;;;;Нет;;;;;;1252.00
4775;карниз 1.50.115;2000;;;;1.50.115;46;49;;;;;Нет;;;;;;1011.00
4776;карниз 1.50.116;2000;;;;1.50.116;99;100;;;;;Нет;;;;;;2553.00
4777;карниз 1.50.117;2000;;;;1.50.117;104;154;;;;;Нет;;;;;;2238.00
4778;карниз 1.50.118;2000;;;;1.50.118;131;130;;;;;Нет;;;;;;2833.00
4779;карниз 1.50.119;2000;;;;1.50.119;56;113;;;;;Нет;;;;;;1391.00
4780;карниз 1.50.120;2000;;;;1.50.120;112;142;;;;;Нет;;;;;;2829.00
4781;карниз 1.50.121;2000;;;;1.50.121;50;101;;;;;Нет;;;;;;1364.00
4782;карниз 1.50.122;2000;;;;1.50.122;40;50;;;;;Нет;;;;;;897.00
4783;карниз 1.50.100;2000;;;;1.50.100;55;64;;;;;Нет;;;;;;1091.00
4784;карниз 1.50.102;2000;;;;1.50.102;76;69;;;;;Нет;;;;;;998.00
4785;карниз 1.50.103;2000;;;;1.50.103;50;50;;;;;Нет;;;;;;1007.00
4786;карниз 1.50.104;2000;;;;1.50.104;73;116;;;;;Нет;;;;;;2483.00
4787;карниз 1.50.105;2000;;;;1.50.105;63;60;;;;;Нет;;;;;;1224.00
4788;карниз 1.50.106;2000;;;;1.50.106;90;71;;;;;Нет;;;;;;1322.00
4789;карниз 1.50.107;2000;;;;1.50.107;107;148;;;;;Нет;;;;;;2610.00
4790;карниз 1.50.109;2000;;;;1.50.109;190;78;;;;;Нет;;;;;;2833.00
4791;карниз 1.50.110;2000;;;;1.50.110;189;169;;;;;Нет;;;;;;3207.00
4792;карниз 1.50.111;2000;;;;1.50.111;118;112;;;;;Нет;;;;;;2625.00
4793;карниз 1.50.112;2000;;;;1.50.112;39;74;;;;;Нет;;;;;;1302.00
4794;карниз 1.50.113;2000;;;;1.50.113;80;83;;;;;Нет;;;;;;1242.00
4795;карниз 1.50.123;2000;;;;1.50.123;30;30;;;;;Нет;;;;;;929.00
4796;карниз 1.50.124;2000;;;;1.50.124;55;115;;;;;Нет;;;;;;2318.00
4797;карниз 1.50.125;2000;;;;1.50.125;85;90;;;;;Нет;;;;;;1945.00
4798;карниз 1.50.126;2000;;;;1.50.126;90;93;;;;;Нет;;;;;;1363.00
4799;карниз 1.50.127;2000;;;;1.50.127;46;89;;;;;Нет;;;;;;1322.00
4800;карниз 1.50.128;2000;;;;1.50.128;66;144;;;;;Нет;;;;;;2254.00
4801;карниз 1.50.129;2000;;;;1.50.129;74;85;;;;;Нет;;;;;;1334.00
4802;карниз 1.50.130;2000;;;;1.50.130;30;32;;;;;Нет;;;;;;935.00
4803;карниз 1.50.131;2000;;;;1.50.131;136;63;;;;;Нет;;;;;;2096.00
4804;карниз 1.50.132;2000;;;;1.50.132;117;218;;;;;Нет;;;;;;2520.00
4805;карниз 1.50.133;2000;;;;1.50.133;115;120;;;;;Нет;;;;;;1832.00
4806;карниз 1.50.134;2000;;;;1.50.134;193;150;;;;;Нет;;;;;;3280.00
4807;карниз 1.50.135;2000;;;;1.50.135;159;40;;;;;Нет;;;;;;2365.00
4808;карниз 1.50.136;2000;;;;1.50.136;61;165;;;;;Нет;;;;;;2651.00
4809;карниз 1.50.137;2000;;;;1.50.137;185;190;;;;;Нет;;;;;;3471.00
4810;карниз 1.50.138;2000;;;;1.50.138;151;165;;;;;Нет;;;;;;2908.00
4811;карниз 1.50.139;2000;;;;1.50.139;99;100;;;;;Нет;;;;;;2226.00
4812;карниз 1.50.140;2000;;;;1.50.140;56;56;;;;;Нет;;;;;;1299.00
4813;карниз 1.50.141;2000;;;;1.50.141;68;72;;;;;Нет;;;;;;1299.00
4814;карниз 1.50.142;2000;;;;1.50.142;195;45;;;;;Нет;;;;;;2908.00
4815;карниз 1.50.143;2000;;;;1.50.143;69;73;;;;;Нет;;;;;;1252.00
4816;карниз 1.50.144;2000;;;;1.50.144;82;81;;;;;Нет;;;;;;1391.00
4817;карниз 1.50.145;2000;;;;1.50.145;262;92;;;;;Нет;;;;;;3692.00
4818;карниз 1.50.146;2000;;;;1.50.146;76;149;;;;;Нет;;;;;;2352.00
4819;карниз 1.50.147;2000;;;;1.50.147;125;173;;;;;Нет;;;;;;2908.00
4820;карниз 1.50.148;2000;;;;1.50.148;120;117;;;;;Нет;;;;;;2475.00
4822;карниз 1.50.150;2000;;;;1.50.150;40;41;;;;;Нет;;;;;;955.00
4823;карниз 1.50.151;2000;;;;1.50.151;144;171;;;;;Нет;;;;;;3748.00
4824;карниз 1.50.152;2000;;;;1.50.152;155;172;;;;;Нет;;;;;;3748.00
4825;карниз 1.50.153;2000;;;;1.50.153;159;170;;;;;Нет;;;;;;3748.00
4826;карниз 1.50.154;2000;;;;1.50.154;23;23;;;;;Нет;;;;;;871.00
4827;карниз 1.50.155;2000;;;;1.50.155;16;25;;;;;Нет;;;;;;864.00
4828;карниз 1.50.156;2000;;;;1.50.156;30;30;;;;;Нет;;;;;;958.00
4829;карниз 1.50.157;2000;;;;1.50.157;31;33;;;;;Нет;;;;;;891.00
4830;карниз 1.50.158;2000;;;;1.50.158;34;33;;;;;Нет;;;;;;901.00
4831;карниз 1.50.159;2000;;;;1.50.159;28;44;;;;;Нет;;;;;;926.00
4832;карниз 1.50.160;2000;;;;1.50.160;70;50;;;;;Нет;;;;;;1224.00
4833;карниз 1.50.162;2000;;;;1.50.162;60;85;;;;;Нет;;;;;;1252.00
4834;карниз 1.50.163;2000;;;;1.50.163;65;151;;;;;Нет;;;;;;2441.00
4835;карниз 1.50.164;2000;;;;1.50.164;126;126;;;;;Нет;;;;;;2685.00
4836;карниз 1.50.165;2000;;;;1.50.165;80;82;;;;;Нет;;;;;;1277.00
4837;карниз 1.50.166;2000;;;;1.50.166;87;142;;;;;Нет;;;;;;2588.00
4838;карниз 1.50.167;2000;;;;1.50.167;120;119;;;;;Нет;;;;;;2625.00
4839;карниз 1.50.168;2000;;;;1.50.168;120;119;;;;;Нет;;;;;;2625.00
4840;карниз 1.50.169;2000;;;;1.50.169;96;99;;;;;Нет;;;;;;2475.00
4841;карниз 1.50.170;2000;;;;1.50.170;113;79;;;;;Нет;;;;;;1391.00
4842;карниз 1.50.171;2000;;;;1.50.171;30;45;;;;;Нет;;;;;;919.00
4843;карниз 1.50.172;2000;;;;1.50.172;48;47;;;;;Нет;;;;;;954.00
4844;карниз 1.50.173;2000;;;;1.50.173;40;55;;;;;Нет;;;;;;958.00
4845;карниз 1.50.174;2000;;;;1.50.174;36;62;;;;;Нет;;;;;;973.00
