IE_XML_ID;IE_NAME;IP_PROP119;IP_PROP356
3770;Москва;0;a.chilichihin@decor-evroplast.ru
3771;Тестовый регион со скидкой;25;
3774;0-скидка регион;0;
3775;Волгоградская область;0;G.Groian@decor-evroplast.ru
3776;Иркутская область;0;D.Rudykin@decor-evroplast.ru
3777;Калужская область;0;G.Groian@decor-evroplast.ru
3778;Новосибирская область;0;G.Groian@decor-evroplast.ru
3779;Краснодарский край;0;D.Rudykin@decor-evroplast.ru
3780;7-процентный регион;-7;
3781;Оренбургская область;0;G.Groian@decor-evroplast.ru
3782;Ленинградская область;-5;G.Groian@decor-evroplast.ru
3783;Ставропольский край;0;D.Rudykin@decor-evroplast.ru
3784;Хабаровский край;-10;G.Groian@decor-evroplast.ru
3785;Республика Саха;-10;G.Groian@decor-evroplast.ru
3786;Республика Бурятия;-15;D.Rudykin@decor-evroplast.ru
3787;Псковская область;0;D.Rudykin@decor-evroplast.ru
3788;Астраханская область;0;G.Groian@decor-evroplast.ru
3789;Абхазия			;-15;D.Rudykin@decor-evroplast.ru
3791;Архангельская область;0;D.Rudykin@decor-evroplast.ru
6139;Кемеровская область;0;G.Groian@decor-evroplast.ru
6140;Республика Крым;-5;G.Groian@decor-evroplast.ru
6190;Амурская область;0;G.Groian@decor-evroplast.ru
6219;Алтайский край;0;G.Groian@decor-evroplast.ru
6220;Белгородская область;0;D.Rudykin@decor-evroplast.ru
6221;Брянская область;0;D.Rudykin@decor-evroplast.ru
6222;Владимирская область;0;D.Rudykin@decor-evroplast.ru
6223;Вологодская область;0;D.Rudykin@decor-evroplast.ru
6224;Воронежская область;0;D.Rudykin@decor-evroplast.ru
6225;Забайкальский край;0;D.Rudykin@decor-evroplast.ru
6226;Ивановская область;0;D.Rudykin@decor-evroplast.ru
6227;Калининградская область;0;D.Rudykin@decor-evroplast.ru
6230;Кировская область;0;D.Rudykin@decor-evroplast.ru
6231;Костромская область;0;D.Rudykin@decor-evroplast.ru
6233;Красноярский край;0;D.Rudykin@decor-evroplast.ru
6235;Курганская область;0;G.Groian@decor-evroplast.ru
6236;Курская область;0;D.Rudykin@decor-evroplast.ru
6238;Липецкая область;0;D.Rudykin@decor-evroplast.ru
6244;Мурманская область;0;G.Groian@decor-evroplast.ru
6247;Нижегородская область;0;D.Rudykin@decor-evroplast.ru
6248;Новгородская область;0;D.Rudykin@decor-evroplast.ru
6249;Омская область;0;G.Groian@decor-evroplast.ru
6250;Орловская область;0;D.Rudykin@decor-evroplast.ru
6251;Пензенская область;0;G.Groian@decor-evroplast.ru
6253;Пермский край;0;G.Groian@decor-evroplast.ru
6258;Республика Башкортостан;0;G.Groian@decor-evroplast.ru
6262;Республика Дагестан;0;D.Rudykin@decor-evroplast.ru
6268;Республика Кабардино Балкария;0;D.Rudykin@decor-evroplast.ru
6269;Республика Карелия;0;G.Groian@decor-evroplast.ru
6270;Республика Коми;0;G.Groian@decor-evroplast.ru
6271;Республика Марий Эл;0;D.Rudykin@decor-evroplast.ru
6272;Республика Мордовия;0;G.Groian@decor-evroplast.ru
6274;Республика Татарстан;0;D.Rudykin@decor-evroplast.ru
6275;Республика Хакасия;0;D.Rudykin@decor-evroplast.ru
6277;Республика Чечня;0;D.Rudykin@decor-evroplast.ru
6278;Ростовская область;-5;G.Groian@decor-evroplast.ru
6280;Рязанская область;0;D.Rudykin@decor-evroplast.ru
6283;Самарская область;0;G.Groian@decor-evroplast.ru
6285;Сахалинская область;0;G.Groian@decor-evroplast.ru
6286;Свердловская область;0;G.Groian@decor-evroplast.ru
6287;Смоленская область;0;D.Rudykin@decor-evroplast.ru
6288;Тамбовская область;0;D.Rudykin@decor-evroplast.ru
6290;Тверская область;0;D.Rudykin@decor-evroplast.ru
6291;Томская область;0;G.Groian@decor-evroplast.ru
6292;Тульская область;0;D.Rudykin@decor-evroplast.ru
6293;Тюменская область;0;G.Groian@decor-evroplast.ru
6296;Тюменская область;0;G.Groian@decor-evroplast.ru
6297;Свердловская область;-7;G.Groian@decor-evroplast.ru
6301;Ульяновская область;0;G.Groian@decor-evroplast.ru
6302;Хабаровский край;-10;G.Groian@decor-evroplast.ru
6303;Хабаровский край;-10;G.Groian@decor-evroplast.ru
6304;Ханты-Мансийский Автономный округ;-10;G.Groian@decor-evroplast.ru
6307;Челябинская область;-7;G.Groian@decor-evroplast.ru
6308;Челябинская область;0;G.Groian@decor-evroplast.ru
6309;Чувашская Республика;0;G.Groian@decor-evroplast.ru
6310;Ярославская область;0;D.Rudykin@decor-evroplast.ru
6312;Саратовская область;0;G.Groian@decor-evroplast.ru
6319;Азербайджан;0;G.Groian@decor-evroplast.ru
6320;Беларусь			;-7;G.Groian@decor-evroplast.ru
6321;Казахстан;0;G.Groian@decor-evroplast.ru
6340;Молдова;0;G.Groian@decor-evroplast.ru
6346;Литва;0;D.Rudykin@decor-evroplast.ru
6348;Эстония;0;D.Rudykin@decor-evroplast.ru
6351;Московская область;0;a.chilichihin@decor-evroplast.ru
6560;Республика Адыгея;0;D.Rudykin@decor-evroplast.ru
6610;Чехия;0;D.Rudykin@decor-evroplast.ru
6680;Северная Осетия;0;D.Rudykin@decor-evroplast.ru
6686;Украина;0;G.Groian@decor-evroplast.ru
6691;Армения;0;G.Groian@decor-evroplast.ru
6704;Туркменистан;-10;G.Groian@decor-evroplast.ru
6713;Кыргызстан;0;G.Groian@decor-evroplast.ru
6754;Республика Калмыкия;-5;G.Groian@decor-evroplast.ru
6788;Приморский край;0;G.Groian@decor-evroplast.ru
24219;Камчатский край;0;D.Rudykin@decor-evroplast.ru
37571;Республика Удмуртия;0;G.Groian@decor-evroplast.ru
37681;Москва;0;a.chilichihin@decor-evroplast.ru
47497;Карачаево-Черкесская республика;0;D.Rudykin@decor-evroplast.ru
