IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP163;IP_PROP164
4774;карниз;1.50.114;4,00;72,50
4775;карниз;1.50.115;4,00;72,50
4776;карниз;1.50.116;4,00;93,00
4777;карниз;1.50.117;4,50;103,00
4778;карниз;1.50.118;4,00;93,00
4779;карниз;1.50.119;4,00;93,00
4780;карниз;1.50.120;4,00;93,00
4781;карниз;1.50.121;4,00;93,00
4782;карниз;1.50.122;4,00;72,50
4783;карниз;1.50.100;4,00;93,00
4784;карниз;1.50.102;4,00;72,50
4785;карниз;1.50.103;4,00;72,50
4786;карниз;1.50.104;4,00;72,50
4787;карниз;1.50.105;4,00;72,50
4788;карниз;1.50.106;4,00;93,00
4789;карниз;1.50.107;4,00;93,00
4790;карниз;1.50.109;4,00;93,00
4791;карниз;1.50.110;4,50;103,00
4792;карниз;1.50.111;4,50;82,80
4793;карниз;1.50.112;4,00;72,50
4794;карниз;1.50.113;4,00;93,00
4795;карниз;1.50.123;4,00;93,00
4796;карниз;1.50.124;4,00;93,00
4797;карниз;1.50.125;4,00;72,50
4798;карниз;1.50.126;4,00;72,50
4799;карниз;1.50.127;4,00;93,00
4800;карниз;1.50.128;4,00;93,00
4801;карниз;1.50.129;4,00;93,00
4802;карниз;1.50.130;4,00;93,00
4803;карниз;1.50.131;4,00;93,00
4804;карниз;1.50.132;4,50;103,00
4805;карниз;1.50.133;4,50;82,80
4806;карниз;1.50.134;4,00;93,00
4807;карниз;1.50.135;4,00;93,00
4808;карниз;1.50.136;4,50;103,00
4809;карниз;1.50.137;4,50;103,00
4810;карниз;1.50.138;4,50;103,00
4811;карниз;1.50.139;4,00;93,00
4812;карниз;1.50.140;4,00;93,00
4813;карниз;1.50.141;4,00;93,00
4814;карниз;1.50.142;4,00;93,00
4815;карниз;1.50.143;4,00;93,00
4816;карниз;1.50.144;4,00;93,00
4817;карниз;1.50.145;4,50;103,00
4818;карниз;1.50.146;4,00;93,00
4819;карниз;1.50.147;4,50;103,00
4820;карниз;1.50.148;4,00;93,00
4821;карниз;1.50.149;4,50;103,00
4822;карниз;1.50.150;4,00;72,50
4823;карниз;1.50.151;4,50;103,00
4824;карниз;1.50.152;4,50;103,00
4825;карниз;1.50.153;4,50;103,00
4826;карниз;1.50.154;4,00;93,00
4827;карниз;1.50.155;4,00;93,00
4828;карниз;1.50.156;4,00;93,00
4829;карниз;1.50.157;4,00;93,00
4830;карниз;1.50.158;4,00;93,00
4831;карниз;1.50.159;4,00;93,00
4832;карниз;1.50.160;4,00;93,00
4833;карниз;1.50.162;4,00;72,50
4834;карниз;1.50.163;4,00;93,00
4835;карниз;1.50.164;4,00;93,00
4836;карниз;1.50.165;4,00;93,00
4837;карниз;1.50.166;4,00;72,50
4838;карниз;1.50.167;4,00;93,00
4839;карниз;1.50.168;4,00;93,00
4840;карниз;1.50.169;4,00;93,00
4841;карниз;1.50.170;4,00;93,00
4842;карниз;1.50.171;4,00;93,00
4843;карниз;1.50.172;4,00;72,50
4844;карниз;1.50.173;4,00;93,00
4845;карниз;1.50.174;4,00;93,00
4846;карниз;1.50.175;4,00;93,00
4847;карниз;1.50.176;4,00;93,00
4848;карниз;1.50.177;4,00;93,00
4849;карниз;1.50.180;4,00;103,00
4850;карниз;1.50.181;4,00;93,00
4851;карниз;1.50.182;4,00;93,00
4852;карниз;1.50.183;4,00;93,00
4853;карниз;1.50.184;4,00;93,00
4854;карниз;1.50.185;4,00;93,00
4855;карниз;1.50.186;4,00;93,00
4856;карниз;1.50.187;4,00;72,50
4857;карниз;1.50.188;4,00;93,00
4858;карниз;1.50.190;4,00;93,00
4859;карниз;1.50.191;4,00;93,00
4860;карниз;1.50.192;4,00;93,00
4861;карниз;1.50.193;4,00;93,00
4862;карниз;1.50.194;4,00;93,00
4863;карниз;1.50.195;4,00;93,00
4864;карниз;1.50.196;4,00;93,00
4865;карниз;1.50.197;4,00;93,00
4866;карниз;1.50.198;4,00;93,00
4867;карниз;1.50.200;4,00;93,00
4868;карниз;1.50.201;4,50;103,00
4869;карниз;1.50.202;4,00;93,00
4870;карниз;1.50.203;4,50;103,00
4871;карниз;1.50.204;4,00;93,00
4872;карниз;1.50.208;4,00;103,00
4873;карниз;1.50.209;4,00;103,00
4874;карниз;1.50.210;4,00;103,00
4875;карниз;1.50.211;4,00;103,00
4876;карниз;1.50.212;4,50;93,00
4877;карниз;1.50.220;4,00;93,00
4878;карниз;1.50.221;4,00;93,00
4879;карниз;1.50.222;4,50;103,00
4880;карниз;1.50.250;4,50;103,00
4881;карниз;1.50.251;4,00;72,50
4882;карниз;1.50.252;4,00;93,00
4883;карниз;1.50.253;4,00;72,50
4884;карниз;1.50.254;4,00;93,00
4885;карниз;1.50.255;4,00;93,00
4886;карниз;1.50.256;4,50;103,00
4887;карниз;1.50.257;4,00;72,50
4888;карниз;1.50.258;4,00;93,00
4889;карниз;1.50.259;4,00;93,00
4890;карниз;1.50.260;4,50;103,00
4891;карниз;1.50.261;4,00;93,00
4892;карниз;1.50.262;4,00;93,00
4893;карниз;1.50.264;4,50;103,00
4894;карниз;1.50.265;4,00;93,00
4895;карниз;1.50.266;4,00;93,00
4896;карниз;1.50.267;4,50;103,00
4897;карниз;1.50.268;4,50;103,00
4898;карниз;1.50.269;4,50;103,00
4899;карниз;1.50.270;4,50;103,00
4900;карниз;1.50.271;4,50;103,00
4901;карниз;1.50.273;4,50;103,00
4902;карниз FLEX;1.50.114;4,00;72,50
4903;карниз FLEX;1.50.115;4,00;72,50
4904;карниз FLEX;1.50.116;4,00;93,00
4905;карниз FLEX;1.50.117;4,50;103,00
4906;карниз FLEX;1.50.118;4,00;93,00
4907;карниз FLEX;1.50.119;4,00;93,00
4908;карниз FLEX;1.50.120;4,00;93,00
4909;карниз FLEX;1.50.121;4,00;93,00
4910;карниз FLEX;1.50.122;4,00;72,50
4911;карниз FLEX;1.50.100;4,00;93,00
4912;карниз FLEX;1.50.102;4,00;72,50
4913;карниз FLEX;1.50.103;4,00;72,50
4914;карниз FLEX;1.50.104;4,00;72,50
4915;карниз FLEX;1.50.105;4,00;72,50
4916;карниз FLEX;1.50.106;4,00;93,00
4917;карниз FLEX;1.50.107;4,00;93,00
4918;карниз FLEX;1.50.109;4,00;93,00
4919;карниз FLEX;1.50.110;4,50;103,00
4920;карниз FLEX;1.50.111;4,50;82,80
4921;карниз FLEX;1.50.112;4,00;72,50
4922;карниз FLEX;1.50.113;4,00;93,00
4923;карниз FLEX;1.50.123;4,00;93,00
4924;карниз FLEX;1.50.124;4,00;93,00
4925;карниз FLEX;1.50.125;4,00;72,50
4926;карниз FLEX;1.50.126;4,00;72,50
4927;карниз FLEX;1.50.127;4,00;93,00
4928;карниз FLEX;1.50.128;4,00;93,00
4929;карниз FLEX;1.50.129;4,00;93,00
4930;карниз FLEX;1.50.130;4,00;93,00
4931;карниз FLEX;1.50.131;4,00;93,00
4932;карниз FLEX;1.50.132;4,50;103,00
4933;карниз FLEX;1.50.133;4,50;82,80
4934;карниз FLEX;1.50.134;4,00;93,00
4935;карниз FLEX;1.50.135;4,00;93,00
4936;карниз FLEX;1.50.136;4,50;103,00
4937;карниз FLEX;1.50.137;4,50;103,00
4938;карниз FLEX;1.50.138;4,50;103,00
4939;карниз FLEX;1.50.139;4,00;93,00
4940;карниз FLEX;1.50.140;4,00;93,00
4941;карниз FLEX;1.50.141;4,00;93,00
4942;карниз FLEX;1.50.142;4,00;93,00
4943;карниз FLEX;1.50.143;4,00;93,00
4944;карниз FLEX;1.50.144;4,00;93,00
4945;карниз FLEX;1.50.145;4,50;103,00
4946;карниз FLEX;1.50.146;4,00;93,00
4947;карниз FLEX;1.50.147;4,50;103,00
4948;карниз FLEX;1.50.148;4,00;93,00
4949;карниз FLEX;1.50.149;4,50;103,00
4950;карниз FLEX;1.50.150;4,00;72,50
4951;карниз FLEX;1.50.151;4,50;103,00
4952;карниз FLEX;1.50.152;4,50;103,00
4953;карниз FLEX;1.50.153;4,50;103,00
4954;карниз FLEX;1.50.154;4,00;93,00
4955;карниз FLEX;1.50.155;4,00;93,00
4956;карниз FLEX;1.50.156;4,00;93,00
4957;карниз FLEX;1.50.157;4,00;93,00
4958;карниз FLEX;1.50.158;4,00;93,00
4959;карниз FLEX;1.50.159;4,00;93,00
4960;карниз FLEX;1.50.160;4,00;93,00
4961;карниз FLEX;1.50.162;4,00;72,50
4962;карниз FLEX;1.50.163;4,00;93,00
4963;карниз FLEX;1.50.164;4,00;93,00
4964;карниз FLEX;1.50.165;4,00;93,00
4965;карниз FLEX;1.50.166;4,00;72,50
4966;карниз FLEX;1.50.168;4,00;93,00
4967;карниз FLEX;1.50.169;4,00;93,00
4968;карниз FLEX;1.50.170;4,00;93,00
4969;карниз FLEX;1.50.171;4,00;93,00
4970;карниз FLEX;1.50.172;4,00;72,50
4971;карниз FLEX;1.50.173;4,00;93,00
4972;карниз FLEX;1.50.174;4,00;93,00
4973;карниз FLEX;1.50.175;4,00;93,00
4974;карниз FLEX;1.50.176;4,00;93,00
4975;карниз FLEX;1.50.177;4,00;93,00
4976;карниз FLEX;1.50.180;4,00;103,00
4977;карниз FLEX;1.50.181;4,00;93,00
4978;карниз FLEX;1.50.182;4,00;93,00
4979;карниз FLEX;1.50.183;4,00;93,00
4980;карниз FLEX;1.50.184;4,00;93,00
4981;карниз FLEX;1.50.185;4,00;93,00
4982;карниз FLEX;1.50.186;4,00;93,00
4983;карниз FLEX;1.50.187;4,00;72,50
4984;карниз FLEX;1.50.188;4,00;93,00
4985;карниз FLEX;1.50.190;4,00;93,00
4986;карниз FLEX;1.50.191;4,00;93,00
4987;карниз FLEX;1.50.192;4,00;93,00
4988;карниз FLEX;1.50.193;4,00;93,00
4989;карниз FLEX;1.50.194;4,00;93,00
4990;карниз FLEX;1.50.195;4,00;93,00
4991;карниз FLEX;1.50.197;4,00;93,00
4992;карниз FLEX;1.50.200;4,00;93,00
4993;карниз FLEX;1.50.202;4,00;93,00
4994;карниз FLEX;1.50.203;4,50;103,00
4995;карниз FLEX;1.50.209;4,00;103,00
4996;карниз FLEX;1.50.210;4,00;103,00
4997;карниз FLEX;1.50.220;4,00;93,00
4998;карниз FLEX;1.50.221;4,00;93,00
4999;карниз FLEX;1.50.222;4,50;103,00
5000;карниз FLEX;1.50.250;4,50;103,00
5001;карниз FLEX;1.50.251;4,00;72,50
5002;карниз FLEX;1.50.252;4,00;93,00
5003;карниз FLEX;1.50.253;4,00;72,50
5004;карниз FLEX;1.50.254;4,00;93,00
5005;карниз FLEX;1.50.255;4,00;93,00
5006;карниз FLEX;1.50.256;4,50;103,00
5007;карниз FLEX;1.50.257;4,00;72,50
5008;карниз FLEX;1.50.258;4,00;93,00
5009;карниз FLEX;1.50.259;4,00;93,00
5010;карниз FLEX;1.50.260;4,50;103,00
5011;карниз FLEX;1.50.261;4,00;93,00
5012;карниз FLEX;1.50.262;4,00;93,00
5013;карниз FLEX;1.50.264;4,50;103,00
5014;карниз FLEX;1.50.265;4,00;93,00
5015;карниз FLEX;1.50.266;4,00;93,00
5016;карниз FLEX;1.50.267;4,50;103,00
5017;карниз FLEX;1.50.268;4,50;103,00
5018;карниз FLEX;1.50.269;4,50;103,00
5019;карниз FLEX;1.50.270;4,50;103,00
5020;молдинг;1.51.311;4,00;93,00
5021;молдинг;1.51.314;4,00;93,00
5022;молдинг;1.51.327;4,00;93,00
5023;молдинг;1.51.301;4,00;72,50
5024;молдинг;1.51.305;4,00;72,50
5025;молдинг;1.51.321;4,00;72,50
5026;молдинг;1.51.400;4,00;72,50
5027;молдинг;1.51.302;4,00;93,00
5028;молдинг;1.51.303;4,00;72,50
5029;молдинг;1.51.304;4,00;72,50
5030;молдинг;1.51.306;4,00;93,00
5031;молдинг;1.51.307;4,00;93,00
5032;молдинг;1.51.324;4,00;93,00
5033;молдинг;1.51.352;4,00;93,00
5034;молдинг;1.51.325;4,00;93,00
5035;молдинг;1.51.312;4,00;72,50
5036;молдинг;1.51.332;4,00;93,00
5037;молдинг;1.51.350;4,00;93,00
5038;молдинг;1.51.326;4,00;72,50
5039;молдинг;1.51.308;4,00;72,50
5040;молдинг;1.51.309;4,00;93,00
5041;молдинг;1.51.310;4,00;93,00
5042;молдинг;1.51.313;4,00;93,00
5043;молдинг;1.51.315;4,00;93,00
5044;молдинг;1.51.316;4,00;93,00
5045;молдинг;1.51.317;4,00;93,00
5046;молдинг;1.51.318;4,00;93,00
5047;молдинг;1.51.319;4,00;93,00
5048;молдинг;1.51.320;4,00;93,00
5049;молдинг;1.51.322;4,00;93,00
5050;молдинг;1.51.328;4,00;93,00
5051;молдинг;1.51.330;4,00;93,00
5052;молдинг;1.51.333;4,00;93,00
5053;молдинг;1.51.340;4,00;93,00
5054;молдинг;1.51.341;4,00;93,00
5055;молдинг;1.51.342;4,00;93,00
5056;молдинг;1.51.343;4,00;93,00
5057;молдинг;1.51.344;4,00;93,00
5058;молдинг;1.51.351;4,00;93,00
5059;молдинг;1.51.380;4,50;103,00
5060;молдинг;1.51.401;4,00;93,00
5061;молдинг;1.51.323;4,00;93,00
5062;молдинг;1.51.339;4,00;93,00
5063;молдинг;1.51.331;4,00;93,00
5064;молдинг;1.51.336;4,00;93,00
5065;молдинг;1.51.334;4,00;93,00
5066;молдинг;1.51.335;4,00;93,00
5067;молдинг;1.51.337;4,00;93,00
5068;молдинг;1.51.348;4,00;93,00
5069;молдинг;1.51.349;4,00;93,00
5070;молдинг;1.51.329;4,00;93,00
