IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP163;IP_PROP164
4774;карниз;1.50.114;Нет;4;72,5
4775;карниз;1.50.115;Нет;4;72,5
4776;карниз;1.50.116;Нет;4;72,5
4777;карниз;1.50.117;Нет;5;82,8
4778;карниз;1.50.118;Нет;4;72,5
4779;карниз;1.50.119;Нет;4;72,5
4780;карниз;1.50.120;Нет;4;72,5
4781;карниз;1.50.121;Нет;4;72,5
4782;карниз;1.50.122;Нет;4;72,5
4783;карниз;1.50.100;Нет;4;72,5
4784;карниз;1.50.102;Нет;4;72,5
4785;карниз;1.50.103;Нет;4;93
4786;карниз;1.50.104;Нет;4;72,5
4787;карниз;1.50.105;Нет;4;72,5
4788;карниз;1.50.106;Нет;4;72,5
4789;карниз;1.50.107;Нет;4;72,5
4790;карниз;1.50.109;Нет;4;72,5
4791;карниз;1.50.110;Нет;5;82,8
4792;карниз;1.50.111;Нет;5;82,8
4793;карниз;1.50.112;Нет;4;72,5
4794;карниз;1.50.113;Нет;4;72,5
4795;карниз;1.50.123;Нет;4;72,5
4796;карниз;1.50.124;Нет;4;72,5
4797;карниз;1.50.125;Нет;4;72,5
4798;карниз;1.50.126;Нет;4;72,5
4799;карниз;1.50.127;Нет;4;72,5
4800;карниз;1.50.128;Нет;4;72,5
4801;карниз;1.50.129;Нет;4;72,5
4802;карниз;1.50.130;Нет;4;72,5
4803;карниз;1.50.131;Нет;4;72,5
4804;карниз;1.50.132;Нет;5;82,8
4805;карниз;1.50.133;Нет;5;82,8
4806;карниз;1.50.134;Нет;5;82,8
4807;карниз;1.50.135;Нет;4;72,5
4808;карниз;1.50.136;Нет;5;82,8
4809;карниз;1.50.137;Нет;5;82,8
4810;карниз;1.50.138;Нет;5;82,8
4811;карниз;1.50.139;Нет;4;72,5
4812;карниз;1.50.140;Нет;4;72,5
4813;карниз;1.50.141;Нет;4;72,5
4814;карниз;1.50.142;Нет;4;72,5
4815;карниз;1.50.143;Нет;4;72,5
4816;карниз;1.50.144;Нет;4;72,5
4817;карниз;1.50.145;Нет;5;82,8
4818;карниз;1.50.146;Нет;4;72,5
4819;карниз;1.50.147;Нет;5;82,8
4820;карниз;1.50.148;Нет;4;72,5
4821;карниз;1.50.149;Нет;5;82,8
4822;карниз;1.50.150;Нет;4;72,5
4823;карниз;1.50.151;Нет;5;82,8
4824;карниз;1.50.152;Нет;5;82,8
4825;карниз;1.50.153;Нет;5;82,8
4826;карниз;1.50.154;Нет;4;72,5
4827;карниз;1.50.155;Нет;4;72,5
4828;карниз;1.50.156;Нет;4;72,5
4829;карниз;1.50.157;Нет;4;72,5
4830;карниз;1.50.158;Нет;4;72,5
4831;карниз;1.50.159;Нет;4;72,5
4832;карниз;1.50.160;Нет;4;72,5
4833;карниз;1.50.162;Нет;4;72,5
4834;карниз;1.50.163;Нет;4;72,5
4835;карниз;1.50.164;Нет;4;93
4836;карниз;1.50.165;Нет;4;72,5
4837;карниз;1.50.166;Нет;4;72,5
4838;карниз;1.50.167;Нет;4;72,5
4839;карниз;1.50.168;Нет;4;72,5
4840;карниз;1.50.169;Нет;4;72,5
4841;карниз;1.50.170;Нет;4;72,5
4842;карниз;1.50.171;Нет;4;72,5
4843;карниз;1.50.172;Нет;4;72,5
4844;карниз;1.50.173;Нет;4;72,5
4845;карниз;1.50.174;Нет;4;72,5
4846;карниз;1.50.175;Нет;4;72,5
4847;карниз;1.50.176;Нет;4;72,5
4848;карниз;1.50.177;Нет;4;72,5
4849;карниз;1.50.180;Нет;4;72,5
4850;карниз;1.50.181;Нет;4;72,5
4851;карниз;1.50.182;Нет;4;72,5
4852;карниз;1.50.183;Нет;4;72,5
4853;карниз;1.50.184;Нет;4;72,5
4854;карниз;1.50.185;Нет;4;72,5
4855;карниз;1.50.186;Нет;4;72,5
4856;карниз;1.50.187;Нет;4;72,5
4857;карниз;1.50.188;Нет;4;72,5
4858;карниз;1.50.190;Нет;4;72,5
4859;карниз;1.50.191;Нет;4;72,5
4860;карниз;1.50.192;Нет;4;72,5
4861;карниз;1.50.193;Нет;4;72,5
4862;карниз;1.50.194;Нет;4;72,5
4863;карниз;1.50.195;Нет;4;72,5
4864;карниз;1.50.196;Нет;4;72,5
4865;карниз;1.50.197;Нет;4;72,5
4866;карниз;1.50.198;Нет;4;72,5
4867;карниз;1.50.200;Нет;4;72,5
4868;карниз;1.50.201;Нет;4;72,5
4869;карниз;1.50.202;Нет;4;72,5
4870;карниз;1.50.203;Нет;4;93
4871;карниз;1.50.204;Нет;4;93
4872;карниз;1.50.208;Нет;4;93
4873;карниз;1.50.209;Нет;4;72,5
4874;карниз;1.50.210;Нет;4;72,5
4875;карниз;1.50.211;Нет;4;72,5
4876;карниз;1.50.212;Нет;5;82,8
4877;карниз;1.50.220;Нет;4;72,5
4878;карниз;1.50.221;Нет;4;72,5
4879;карниз;1.50.222;Нет;5;82,8
4880;карниз;1.50.250;Нет;5;82,8
4881;карниз;1.50.251;Нет;4;72,5
4882;карниз;1.50.252;Нет;4;72,5
4883;карниз;1.50.253;Нет;4;72,5
4884;карниз;1.50.254;Нет;4;72,5
4885;карниз;1.50.255;Нет;4;72,5
4886;карниз;1.50.256;Нет;5;82,8
4887;карниз;1.50.257;Нет;4;72,5
4888;карниз;1.50.258;Нет;4;72,5
4889;карниз;1.50.259;Нет;4;72,5
4890;карниз;1.50.260;Нет;5;82,8
4891;карниз;1.50.261;Нет;4;72,5
4892;карниз;1.50.262;Нет;4;72,5
4893;карниз;1.50.264;Нет;5;82,8
4894;карниз;1.50.265;Нет;4;72,5
4895;карниз;1.50.266;Нет;4;72,5
4896;карниз;1.50.267;Нет;5;82,8
4897;карниз;1.50.268;Нет;5;82,8
4898;карниз;1.50.269;Нет;5;82,8
4899;карниз;1.50.270;Нет;5;82,8
4900;карниз;1.50.271;Нет;4;93
