IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4774;карниз;1.50.114;2000;;;;30;66;;;;;;;;Нет;ВР000001360;;4,00;72,50;;Интерьерный декор;карнизы;;819.00
4775;карниз;1.50.115;2000;;;;46;49;;;;;;;;Нет;ВР000001045;;4,00;72,50;;Интерьерный декор;карнизы;;660.00
4776;карниз;1.50.116;2000;;;;100;99;;;;;;;;Нет;ВР000001487;;4,00;93,00;;Интерьерный декор;карнизы;;1667.00
4777;карниз;1.50.117;2000;;;;105;156;;;;;;;;Нет;ВР000001046;;4,50;103,00;;Интерьерный декор;карнизы;;1753.00
4778;карниз;1.50.118;2000;;;;132;130;;;;;;;;Нет;ВР000001868;;4,00;93,00;;Интерьерный декор;карнизы;;1850.00
4779;карниз;1.50.119;2000;;;;56;117;;;;;;;;Нет;ВР000001858;;4,00;93,00;;Интерьерный декор;карнизы;;910.00
4780;карниз;1.50.120;2000;;;;122;143;;;;;;;;Нет;ВР000001867;;4,00;93,00;;Интерьерный декор;карнизы;;1899.00
4781;карниз;1.50.121;2000;;;;50;100;;;;;;;;Нет;ВР000001047;;4,00;93,00;;Интерьерный декор;карнизы;;891.00
4782;карниз;1.50.122;2000;;;;40;50;;;;;;;;Нет;ВР000001048;;4,00;72,50;;Интерьерный декор;карнизы;;585.00
4783;карниз;1.50.100;2000;;;;55;64;;;;;;;;Нет;ВР000001042;;4,00;93,00;;Интерьерный декор;карнизы;;820.00
4784;карниз;1.50.102;2000;;;;75;72;;;;;;;;Нет;ВР000005632;;4,00;72,50;;Интерьерный декор;карнизы;;651.00
4785;карниз;1.50.103;2000;;;;50;50;;;;;;;;Нет;ВР000005166;;4,00;72,50;;Интерьерный декор;карнизы;;656.00
