IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP252;IP_PROP253;IP_PROP254;IP_PROP255;IP_PROP256;IP_PROP257;IP_PROP258;CV_PRICE_1
4774;карниз;1.50.114;Нет;27,2;3958;386,32;249;7300;16,11;16,11;744.00
4775;карниз;1.50.115;Нет;21,94;3181;312,23;201;5900;12,95;12,95;600.00
4776;карниз;1.50.116;Нет;55,38;8043;788,52;506;14800;32,58;32,58;1515.00
4777;карниз;1.50.117;Нет;58,22;8459;829,09;532;15600;34,33;34,33;1593.00
4778;карниз;1.50.118;Нет;61,44;8928;874,95;562;16400;36,09;36,09;1681.00
4779;карниз;1.50.119;Нет;30,22;4392;428,66;276;8100;17,87;17,87;827.00
4780;карниз;1.50.120;Нет;63,08;9163;897,89;576;16900;37,13;37,13;1726.00
4781;карниз;1.50.121;Нет;29,6;4301;421,6;271;7900;17,52;17,52;810.00
4782;карниз;1.50.122;Нет;19,4;2819;275,19;177;5200;11,55;11,55;531.00
4783;карниз;1.50.100;Нет;27,24;3958;388,08;250;7300;16,11;16,11;745.00
4784;карниз;1.50.102;Нет;21,6;3126;306,94;197;5800;12,95;12,95;591.00
4785;карниз;1.50.103;Нет;21,78;3163;308,7;198;5800;12,95;12,95;596.00
4786;карниз;1.50.104;Нет;53,84;7826;767,35;492;14400;31,53;31,53;1473.00
4787;карниз;1.50.105;Нет;26,54;3849;379,26;243;7100;15,76;15,76;726.00
4788;карниз;1.50.106;Нет;28,66;4157;407,49;261;7700;16,81;16,81;784.00
4789;карниз;1.50.107;Нет;56,62;8224;804,39;518;15100;33,28;33,28;1549.00
4790;карниз;1.50.109;Нет;61,44;8928;874,95;562;16400;36,09;36,09;1681.00
4791;карниз;1.50.110;Нет;69,56;10103;989,61;636;18600;40,99;40,99;1903.00
4792;карниз;1.50.111;Нет;56,94;8278;809,68;521;15200;33,28;33,28;1558.00
4793;карниз;1.50.112;Нет;28,22;4102;400,43;257;7500;16,81;16,81;772.00
4794;карниз;1.50.113;Нет;29,94;4337;423,36;273;8000;17,52;17,52;819.00
4795;карниз;1.50.123;Нет;20,1;2910;285,77;184;5400;11,9;11,9;550.00
4796;карниз;1.50.124;Нет;51,4;7464;730,3;469;13700;30,12;30,12;1406.00
4797;карниз;1.50.125;Нет;42,18;6127;598;385;11300;24,87;24,87;1154.00
4798;карниз;1.50.126;Нет;29,58;4283;421,6;270;7900;17,52;17,52;809.00
4799;карниз;1.50.127;Нет;28,66;4157;407,49;261;7700;16,81;16,81;784.00
4800;карниз;1.50.128;Нет;50,14;7284;714,43;458;13400;29,42;29,42;1372.00
4801;карниз;1.50.129;Нет;28,92;4193;412,78;265;7700;17,16;17,16;791.00
4802;карниз;1.50.130;Нет;20,24;2946;287,54;185;5400;11,9;11,9;554.00
4803;карниз;1.50.131;Нет;49,38;7175;702,08;452;13200;29,07;29,07;1351.00
4804;карниз;1.50.132;Нет;73,66;10682;1046,06;673;19700;43,1;43,1;2015.00
4805;карниз;1.50.133;Нет;50,14;7284;714,43;458;13400;29,42;29,42;1372.00
4806;карниз;1.50.134;Нет;71,16;10338;1012,55;651;19000;41,69;41,69;1947.00
4807;карниз;1.50.135;Нет;51,84;7519;737,36;474;13900;30,47;30,47;1418.00
4808;карниз;1.50.136;Нет;57,5;8350;816,74;526;15400;33,63;33,63;1573.00
4809;карниз;1.50.137;Нет;75,3;10935;1070,76;688;20100;44,15;44,15;2060.00
4810;карниз;1.50.138;Нет;63,08;9163;897,89;576;16900;37,13;37,13;1726.00
4811;карниз;1.50.139;Нет;48,86;7085;695,02;446;13100;28,72;28,72;1337.00
4812;карниз;1.50.140;Нет;28,14;4084;400,43;257;7500;16,46;16,46;770.00
4813;карниз;1.50.141;Нет;28,14;4084;400,43;257;7500;16,46;16,46;770.00
4814;карниз;1.50.142;Нет;63,08;9163;897,89;576;16900;37,13;37,13;1726.00
4815;карниз;1.50.143;Нет;27,64;4012;393,38;252;7400;16,46;16,46;756.00
4816;карниз;1.50.144;Нет;30,22;4392;428,66;276;8100;17,87;17,87;827.00
4817;карниз;1.50.145;Нет;80,08;11622;1139,56;732;21400;46,94;46,94;2191.00
4818;карниз;1.50.146;Нет;51,02;7410;725,01;466;13600;;;1396.00
4819;карниз;1.50.147;Нет;63,08;9163;897,89;576;16900;37,13;37,13;1726.00
4820;карниз;1.50.148;Нет;53,7;7790;763,82;490;14400;31,53;31,53;1469.00
4821;карниз;1.50.149;Нет;81,3;10935;1158,96;742;;;;2224.00
4822;карниз;1.50.150;Нет;20,68;3000;294,59;189;5500;12,25;12,25;566.00
4823;карниз;1.50.151;Нет;81,3;11802;1158,96;742;21700;47,64;47,64;2224.00
4824;карниз;1.50.152;Нет;81,3;11802;1158,96;742;21700;47,64;47,64;2224.00
4825;карниз;1.50.153;Нет;81,3;11802;1158,96;742;21700;47,64;47,64;2224.00
4826;карниз;1.50.154;Нет;18,86;2729;266,37;172;5000;11,2;11,2;516.00
4827;карниз;1.50.155;Нет;18,72;2711;264,6;171;5000;11,2;11,2;512.00
4828;карниз;1.50.156;Нет;20,76;3018;294,59;190;5600;12,25;12,25;568.00
4829;карниз;1.50.157;Нет;19,3;2801;275,19;176;5200;11,55;11,55;528.00
4830;карниз;1.50.158;Нет;19,48;2837;276,95;177;5200;11,55;11,55;533.00
4831;карниз;1.50.159;Нет;20,06;2910;284,01;184;5400;11,9;11,9;549.00
4832;карниз;1.50.160;Нет;26,54;3849;379,26;243;7100;15,76;15,76;726.00
4833;карниз;1.50.162;Нет;27,64;4012;393,38;252;7400;16,46;16,46;756.00
4834;карниз;1.50.163;Нет;52,96;7699;755;484;14200;31,18;31,18;1449.00
4835;карниз;1.50.164;Нет;58,22;8459;829,09;532;15600;34,33;34,33;1593.00
4836;карниз;1.50.165;Нет;27,7;4030;395,14;253;7400;16,46;16,46;758.00
4837;карниз;1.50.166;Нет;56,14;8151;800,86;513;15000;32,93;32,93;1536.00
4838;карниз;1.50.167;Нет;56,94;8278;809,68;521;15200;33,28;33,28;1558.00
4839;карниз;1.50.168;Нет;56,94;8278;809,68;521;15200;33,28;33,28;1558.00
4840;карниз;1.50.169;Нет;53,7;7790;763,82;490;14400;31,53;31,53;1469.00
4841;карниз;1.50.170;Нет;30,48;4428;433,95;278;8200;17,87;17,87;834.00
4842;карниз;1.50.171;Нет;19,92;2891;246,96;182;5300;11,9;11,9;545.00
4843;карниз;1.50.172;Нет;20,66;3000;255,78;189;5500;12,25;12,25;565.00
4844;карниз;1.50.173;Нет;20,76;3018;259,31;190;5600;12,25;12,25;568.00
4845;карниз;1.50.174;Нет;21,2;3072;261,07;193;5700;12,6;12,6;580.00
4846;карниз;1.50.175;Нет;56,62;8224;804,39;518;15100;33,28;33,28;1549.00
4847;карниз;1.50.176;Нет;51,84;7519;737,36;474;13900;30,47;30,47;1418.00
4848;карниз;1.50.177;Нет;30,84;4482;437,48;281;8300;18,22;18,22;844.00
4849;карниз;1.50.180;Нет;52,56;7627;747,94;480;14100;30,83;30,83;1438.00
4850;карниз;1.50.181;Нет;29,6;4301;421,6;271;7900;17,52;17,52;810.00
4851;карниз;1.50.182;Нет;29,1;4229;412,78;266;7800;17,16;17,16;796.00
4852;карниз;1.50.183;Нет;31,62;4591;449,82;289;8500;18,56;18,56;865.00
4853;карниз;1.50.184;Нет;31,62;4591;449,82;289;8500;18,56;18,56;865.00
4854;карниз;1.50.185;Нет;55,38;8043;786,75;506;14800;32,58;32,58;1515.00
4855;карниз;1.50.186;Нет;31,62;4591;449,82;289;8500;18,56;18,56;865.00
4856;карниз;1.50.187;Нет;28,08;4066;398,67;256;7500;16,46;16,46;768.00
4857;карниз;1.50.188;Нет;28,08;4066;398,67;256;7500;16,46;16,46;768.00
4858;карниз;1.50.190;Нет;21,06;3054;298,12;192;5600;12,6;12,6;576.00
4859;карниз;1.50.191;Нет;20,62;2982;291,06;188;5500;12,25;12,25;564.00
4860;карниз;1.50.192;Нет;28,62;4157;405,72;261;7700;16,81;16,81;783.00
4861;карниз;1.50.193;Нет;50,52;7338;717,96;462;7900;29,77;29,77;807.00
4862;карниз;1.50.194;Нет;27,24;3958;386,32;250;7300;16,11;16,11;745.00
