IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP254
4774;карниз;1.50.114;Нет;386,32
4775;карниз;1.50.115;Нет;312,23
4776;карниз;1.50.116;Нет;788,52
4777;карниз;1.50.117;Нет;829,09
4778;карниз;1.50.118;Нет;874,95
4779;карниз;1.50.119;Нет;428,66
4780;карниз;1.50.120;Нет;897,89
4781;карниз;1.50.121;Нет;421,6
4782;карниз;1.50.122;Нет;275,19
4783;карниз;1.50.100;Нет;388,08
4784;карниз;1.50.102;Нет;306,94
4785;карниз;1.50.103;Нет;308,7
4786;карниз;1.50.104;Нет;767,35
4787;карниз;1.50.105;Нет;379,26
4788;карниз;1.50.106;Нет;407,49
4789;карниз;1.50.107;Нет;804,39
4790;карниз;1.50.109;Нет;874,95
4791;карниз;1.50.110;Нет;989,61
4792;карниз;1.50.111;Нет;809,68
4793;карниз;1.50.112;Нет;400,43
4794;карниз;1.50.113;Нет;423,36
4795;карниз;1.50.123;Нет;285,77
4796;карниз;1.50.124;Нет;730,3
4797;карниз;1.50.125;Нет;598
4798;карниз;1.50.126;Нет;421,6
4799;карниз;1.50.127;Нет;407,49
4800;карниз;1.50.128;Нет;714,43
4801;карниз;1.50.129;Нет;412,78
4802;карниз;1.50.130;Нет;287,54
4803;карниз;1.50.131;Нет;702,08
4804;карниз;1.50.132;Нет;1046,06
4805;карниз;1.50.133;Нет;714,43
4806;карниз;1.50.134;Нет;1012,55
4807;карниз;1.50.135;Нет;737,36
4808;карниз;1.50.136;Нет;816,74
4809;карниз;1.50.137;Нет;1070,76
4810;карниз;1.50.138;Нет;897,89
4811;карниз;1.50.139;Нет;695,02
4812;карниз;1.50.140;Нет;400,43
4813;карниз;1.50.141;Нет;400,43
4814;карниз;1.50.142;Нет;897,89
4815;карниз;1.50.143;Нет;393,38
4816;карниз;1.50.144;Нет;428,66
4817;карниз;1.50.145;Нет;1139,56
4818;карниз;1.50.146;Нет;725,01
4819;карниз;1.50.147;Нет;897,89
4820;карниз;1.50.148;Нет;763,82
4821;карниз;1.50.149;Нет;1158,96
4822;карниз;1.50.150;Нет;294,59
4823;карниз;1.50.151;Нет;1158,96
4824;карниз;1.50.152;Нет;1158,96
4825;карниз;1.50.153;Нет;1158,96
4826;карниз;1.50.154;Нет;266,37
4827;карниз;1.50.155;Нет;264,6
4828;карниз;1.50.156;Нет;294,59
4829;карниз;1.50.157;Нет;275,19
4830;карниз;1.50.158;Нет;276,95
4831;карниз;1.50.159;Нет;284,01
4832;карниз;1.50.160;Нет;379,26
4833;карниз;1.50.162;Нет;393,38
4834;карниз;1.50.163;Нет;755
4835;карниз;1.50.164;Нет;829,09
4836;карниз;1.50.165;Нет;395,14
4837;карниз;1.50.166;Нет;800,86
4838;карниз;1.50.167;Нет;809,68
4839;карниз;1.50.168;Нет;809,68
4840;карниз;1.50.169;Нет;763,82
4841;карниз;1.50.170;Нет;433,95
4842;карниз;1.50.171;Нет;246,96
4843;карниз;1.50.172;Нет;255,78
4844;карниз;1.50.173;Нет;259,31
4845;карниз;1.50.174;Нет;261,07
4846;карниз;1.50.175;Нет;804,39
4847;карниз;1.50.176;Нет;737,36
4848;карниз;1.50.177;Нет;437,48
4849;карниз;1.50.180;Нет;747,94
4850;карниз;1.50.181;Нет;421,6
4851;карниз;1.50.182;Нет;412,78
