IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148;IC_GROUP0;IC_GROUP1;IC_GROUP2
4774;карниз;2000;;;;1.50.114;30;66;;;;;Нет;ВР000001360;;4,00;72,50;;;;;Интерьерный декор;карнизы;
4775;карниз;2000;;;;1.50.115;46;49;;;;;Нет;ВР000001045;;4,00;72,50;;;;;Интерьерный декор;карнизы;
4776;карниз;2000;;;;1.50.116;100;99;;;;;Нет;ВР000001487;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4777;карниз;2000;;;;1.50.117;105;156;;;;;Нет;ВР000001046;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4778;карниз;2000;;;;1.50.118;132;130;;;;;Нет;ВР000001868;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4779;карниз;2000;;;;1.50.119;50;117;;;;;Нет;ВР000001858;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4780;карниз;2000;;;;1.50.120;122;143;;;;;Нет;ВР000001867;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4781;карниз;2000;;;;1.50.121;50;100;;;;;Нет;ВР000001047;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4782;карниз;2000;;;;1.50.122;40;50;;;;;Нет;ВР000001048;;4,00;72,50;;;;;Интерьерный декор;карнизы;
4783;карниз;2000;;;;1.50.100;55;64;;;;;Нет;ВР000001042;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4784;карниз;2000;;;;1.50.102;75;72;;;;;Нет;ВР000005632;;4,00;72,50;;;;;Интерьерный декор;карнизы;
4785;карниз;2000;;;;1.50.103;50;50;;;;;Нет;ВР000005166;;4,00;72,50;;;;;Интерьерный декор;карнизы;
4786;карниз;2000;;;;1.50.104;77;114;;;;;Нет;ВР000001293;;4,00;72,50;;;;;Интерьерный декор;карнизы;
4787;карниз;2000;;;;1.50.105;63;60;;;;;Нет;ВР000005167;;4,00;72,50;;;;;Интерьерный декор;карнизы;
4788;карниз;2000;;;;1.50.106;90;72;;;;;Нет;ВР000005174;;4,00;93,00;;;;;Интерьерный декор;карнизы;
