IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP160;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148;CV_PRICE_1;IC_GROUP0;IC_GROUP1;IC_GROUP2
4774;карниз 1.50.114;1.50.114;Нет;ВР000001360;2000;;;;30;66;;;;;;;;;;819.00;Интерьерный декор;карнизы;
4775;карниз 1.50.115;1.50.115;Нет;ВР000001045;2000;;;;46;49;;;;;;;;;;660.00;Интерьерный декор;карнизы;
4776;карниз 1.50.116;1.50.116;Нет;ВР000001487;2000;;;;100;99;;;;;;;;;;1667.00;Интерьерный декор;карнизы;
4777;карниз 1.50.117;1.50.117;Нет;ВР000001046;2000;;;;105;156;;;;;;;;;;1753.00;Интерьерный декор;карнизы;
4778;карниз 1.50.118;1.50.118;Нет;ВР000001868;2000;;;;132;130;;;;;;;;;;1850.00;Интерьерный декор;карнизы;
4779;карниз 1.50.119;1.50.119;Нет;ВР000001858;2000;;;;56;117;;;;;;;;;;910.00;Интерьерный декор;карнизы;
4780;карниз 1.50.120;1.50.120;Нет;ВР000001867;2000;;;;122;143;;;;;;;;;;1899.00;Интерьерный декор;карнизы;
4781;карниз 1.50.121;1.50.121;Нет;ВР000001047;2000;;;;50;100;;;;;;;;;;891.00;Интерьерный декор;карнизы;
4782;карниз 1.50.122;1.50.122;Нет;ВР000001048;2000;;;;40;50;;;;;;;;;;585.00;Интерьерный декор;карнизы;
4783;карниз 1.50.100;1.50.100;Нет;ВР000001042;2000;;;;55;64;;;;;;;;;;820.00;Интерьерный декор;карнизы;
4784;карниз 1.50.102;1.50.102;Нет;ВР000005632;2000;;;;75;72;;;;;;;;;;651.00;Интерьерный декор;карнизы;
4785;карниз 1.50.103;1.50.103;Нет;ВР000005166;2000;;;;50;50;;;;;;;;;;656.00;Интерьерный декор;карнизы;
4786;карниз 1.50.104;1.50.104;Нет;ВР000001293;2000;;;;77;114;;;;;;;;;;1621.00;Интерьерный декор;карнизы;
4787;карниз 1.50.105;1.50.105;Нет;ВР000005167;2000;;;;63;60;;;;;;;;;;799.00;Интерьерный декор;карнизы;
4788;карниз 1.50.106;1.50.106;Нет;ВР000005174;2000;;;;90;72;;;;;;;;;;863.00;Интерьерный декор;карнизы;
4789;карниз 1.50.107;1.50.107;Нет;ВР000005326;2000;;;;108;148;;;;;;;;;;1704.00;Интерьерный декор;карнизы;
