;;к сокращению;остаток
1.50.104;карнизы;;
1.50.109;карнизы;+;
1.50.111;карнизы;;
1.50.117;карнизы;;
1.50.121;карнизы;;
1.50.127;карнизы;;
1.50.131;карнизы;;
1.50.132;карнизы;;
1.50.133;карнизы;;
1.50.147;карнизы;;
1.50.161;карнизы;;
1.50.167;карнизы;;
1.50.168;карнизы;;
1.50.173;карнизы;;
1.50.175;карнизы;;
1.50.176;карнизы;+;47
1.50.177;карнизы;;
1.50.180;карнизы;;
1.50.196;карнизы;;
1.50.203;карнизы;+;165
1.50.216;карнизы;;
1.50.252;карнизы;;
1.50.254;карнизы;;
1.50.264;карнизы;+;37
1.50.266;карнизы;;
1.50.269;карнизы;;
1.50.270;карнизы;+;9
1.50.271;карнизы;;
1.50.276;карнизы;;
1.50.277;карнизы;+;
1.50.283;карнизы;+;119
1.50.295;карнизы;;
1.51.305;молдинги;;
1.51.310;молдинги;;
1.51.312;молдинги;;
1.51.318;молдинги;+;
1.51.327;молдинги;;
1.51.342;молдинги;;
1.51.343;молдинги;;
1.51.344;молдинги;;
1.51.347;молдинги;;
1.51.352;молдинги;+;131
1.51.357;молдинги;;
1.51.361;молдинги;+;53
1.51.374;молдинги;;
1.51.377;молдинги;;
1.51.378;молдинги;;
1.51.379;молдинги;;
1.51.401;молдинги;;
1.51.803;молдинги;;
1.51.804;молдинги;;
1.51.805;молдинги;;
1.51.806;молдинги;;
1.51.807;молдинги;;
1.51.811;молдинги;;
1.51.817;молдинги;;
1.52.285;угловые элементы;;
1.52.289;угловые элементы;;
1.52.290;угловые элементы;;
1.52.293;угловые элементы;;
1.52.300;угловые элементы;+;
1.52.301;угловые элементы;;
1.52.302;угловые элементы;;
1.52.312;угловые элементы;;
1.52.318;угловые элементы;+;31
1.52.322;угловые элементы;;
1.52.361;угловые элементы;+;12
1.52.400;угловые элементы;;
1.52.810;угловые элементы;;
1.52.812;угловые элементы;;
1.52.815;угловые элементы;;
1.52.816;угловые элементы;;
1.52.817;угловые элементы;;
1.53.111;плинтусы;;
1.54.003;обрамление проёма;;
1.54.004;обрамление проёма;;
1.54.010;обрамление проёма;;
1.54.014;обрамление проёма;;
1.54.020;обрамление проёма;+;171
1.54.030;обрамление проёма;;
1.54.040;обрамление проёма;;
