1.11.001=капитель=14913.00=8948.00=637,72=48433=5614=4048=81300=210,54=210,54=689,5=1523981=8757
1.11.006=капитель=11118.00=6671.00=475,43=36104=4185=3018=60700=156,95=156,95=514=1136144=6529
1.12.030=ствол=27755.00=16653.00=1186,87=90131=10450=7534=151300=391,93=391,93=1283,4=2836389=16297
1.12.070=ствол=11718.00=7031.00=501,07=38049=4412=3182=63900=165,52=165,52=541,8=1197645=6881
1.12.071=ствол=15826.00=9496.00=676,76=51392=5959=4297=86300=223,41=223,41=731,8=1617263=9294
1.13.300=база=20069.00=12042.00=858,2=65172=7555=5448=109400=283,43=283,43=927,9=2051004=11784
1.13.400=база=8892.00=5336.00=380,22=28874=3348=2414=48500=125,63=125,63=411,1=908680=5222
1.13.800=база=5327.00=3197.00=227,77=17304=2005=1446=29100=75,47=75,47=246,2=544385=3129
1.14.002=пьедестал=10955.00=6573.00=468,47=35574=4124=2974=59800=154,8=154,8=506,5=1119666=6434
1.15.001=капитель=6312.00=3788.00=269,92=20504=2376=1714=34500=89,19=89,19=291,7=645022=3707
1.15.006=капитель=4966.00=2980.00=212,34=16130=1869=1349=27100=70,31=70,31=229,6=507602=2917
1.16.030=ствол=12732.00=7640.00=544,44=41353=4794=3457=69400=180,1=180,1=588,8=1301226=7478
1.16.070=ствол=5861.00=3517.00=250,63=19031=2207=1592=32000=82,75=82,75=270,9=599117=3441
1.16.071=ствол=7915.00=4749.00=338,45=25708=2979=2149=43200=111,91=111,91=366=808926=4649
1.17.300=база=9181.00=5509.00=392,6=29817=3457=2493=50100=129,92=129,92=424,5=938401=5392
1.17.400=база=4020.00=2412.00=171,88=13056=1514=1092=22000=57,02=57,02=185,8=410789=2361
1.17.800=база=2665.00=1599.00=113,93=8658=1002=724=14600=37,73=37,73=123,1=272487=1565
1.18.002=пьедестал=5194.00=3117.00=222,08=16866=1954=1411=28400=73,31=73,31=240=530849=3051
1.19.001=кронштейн=2588.00=1553.00=110,64=8405=973=703=14200=36,87=36,87=119,6=264542=1521
1.19.007=кронштейн=1891.00=1135.00=80,86=6148=711=514=10400=27,01=27,01=87,4=193331=1111
1.19.009=кронштейн=1891.00=1135.00=80,86=6148=711=514=10400=27,01=27,01=87,4=193331=1111
1.19.011=кронштейн=1935.00=1161.00=82,74=6287=728=526=10600=27,43=27,43=89,4=197744=1137
1.19.012=кронштейн=1891.00=1135.00=80,86=6148=711=514=10400=27,01=27,01=87,4=193331=1111
1.19.014=кронштейн=1979.00=1188.00=84,62=6425=744=538=10900=28,29=28,29=91,4=202452=1163
1.19.015=кронштейн=1850.00=1110.00=79,07=6010=695=502=10100=27,01=27,01=85,4=189211=1086
1.19.016=кронштейн=1979.00=1188.00=84,62=6425=744=538=10900=28,29=28,29=91,4=202452=1163
1.19.018=кронштейн=2581.00=1549.00=110,36=8382=970=701=14100=36,46=36,46=119,2=263954=1516
1.26.001=архитрав=3220.00=1932.00=137,69=10466=1212=875=17600=45,44=45,44=148,9=329279=1893
