No;Articul;max;gsm;dwg;3ds;obj
1;0-1.61.101-1.61.110; - ; - ; - ; - ; - ;
2;0-1.61.102-1.61.120; - ; - ; - ; - ; - ;
3;1.11.004; Yes ; - ; Yes ; - ; Yes ;
4;1.50.229; - ; - ; - ; - ; - ;
5;1.50.501; Yes ; - ; - ; - ; - ;
6;1.50.502; Yes ; - ; - ; - ; - ;
7;1.50.503; Yes ; - ; - ; - ; - ;
8;1.50.504; Yes ; - ; - ; - ; - ;
9;1.50.524; Yes ; - ; - ; - ; - ;
10;1.50.710; - ; - ; - ; - ; - ;
11;1.51.386; - ; - ; - ; - ; - ;
12;1.51.387; - ; - ; - ; - ; - ;
13;1.51.388; - ; - ; - ; - ; - ;
14;1.51.501; - ; - ; - ; - ; - ;
15;1.51.502; Yes ; - ; - ; - ; - ;
16;1.51.503; Yes ; - ; - ; - ; - ;
17;1.51.504; Yes ; - ; - ; - ; - ;
18;1.51.510; - ; - ; - ; - ; - ;
19;1.51.513; Yes ; - ; - ; - ; - ;
20;1.51.518; Yes ; - ; - ; - ; - ;
21;1.51.701; - ; - ; - ; - ; - ;
22;1.51.711; - ; - ; - ; - ; - ;
23;1.51.711; - ; - ; - ; - ; - ;
24;1.53.112; - ; - ; - ; - ; - ;
25;1.53.112; - ; - ; - ; - ; - ;
26;1.53.501; Yes ; - ; - ; - ; - ;
27;1.54.018; - ; - ; - ; - ; - ;
28;1.54.040; - ; - ; - ; - ; - ;
29;1.54.040; - ; - ; - ; - ; - ;
30;1.54.050; - ; - ; - ; - ; - ;
31;1.54.050; - ; - ; - ; - ; - ;
32;1.56.501; Yes ; - ; - ; - ; - ;
33;1.56.502; Yes ; - ; - ; - ; - ;
34;1.56.503; Yes ; - ; - ; - ; - ;
35;1.56.511; Yes ; - ; - ; - ; - ;
36;1.56.701; - ; - ; - ; - ; - ;
37;1.56.702; - ; - ; - ; - ; - ;
38;1.56.703; - ; - ; - ; - ; - ;
39;1.56.705; - ; - ; - ; - ; - ;
40;1.56.707; - ; - ; - ; - ; - ;
41;1.56.708; - ; - ; - ; - ; - ;
42;1.56.709; - ; - ; - ; - ; - ;
43;1.56.710; - ; - ; - ; - ; - ;
44;1.59.001; - ; - ; - ; - ; - ;
45;1.59.004; - ; - ; - ; - ; - ;
46;1.59.501; Yes ; - ; - ; - ; - ;
47;1.59.503; Yes ; - ; - ; - ; - ;
48;1.60.503; Yes ; - ; - ; - ; - ;
49;1.61.511; Yes ; - ; - ; - ; - ;
50;4.82.032; - ; - ; - ; - ; - ;
51;4.82.033; - ; - ; - ; - ; - ;
52;4.82.131; - ; - ; - ; - ; - ;
53;4.82.231; - ; - ; - ; - ; - ;
54;4.82.232; - ; - ; - ; - ; - ;
55;4.82.331; - ; - ; - ; - ; - ;
56;4.82.332; - ; - ; - ; - ; - ;
57;6.50.101; - ; - ; - ; - ; - ;
58;6.50.103; - ; - ; - ; - ; - ;
59;6.50.105; - ; - ; - ; - ; - ;
60;6.50.113; - ; - ; - ; - ; - ;
61;6.50.115; - ; - ; - ; - ; - ;
62;6.50.130; - ; - ; - ; - ; - ;
63;6.50.154; - ; - ; - ; - ; - ;
64;6.50.155; - ; - ; - ; - ; - ;
65;6.50.157; - ; - ; - ; - ; - ;
66;6.50.160; - ; - ; - ; - ; - ;
67;6.50.165; - ; - ; - ; - ; - ;
68;6.50.171; - ; - ; - ; - ; - ;
69;6.50.172; - ; - ; - ; - ; - ;
70;6.50.174; - ; - ; - ; - ; - ;
71;6.50.229; - ; - ; - ; - ; - ;
72;6.50.230; - ; - ; - ; - ; - ;
73;6.50.248; - ; - ; - ; - ; - ;
74;6.50.297; - ; - ; - ; - ; - ;
75;6.50.298; - ; - ; - ; - ; - ;
76;6.50.701; Yes ; - ; Yes ; Yes ; Yes ;
77;6.50.702; - ; - ; Yes ; Yes ; Yes ;
78;6.50.703; Yes ; - ; Yes ; Yes ; Yes ;
79;6.50.704; Yes ; - ; Yes ; Yes ; Yes ;
80;6.50.705; Yes ; - ; Yes ; Yes ; Yes ;
81;6.50.706; Yes ; - ; Yes ; Yes ; Yes ;
82;6.50.708; Yes ; - ; Yes ; Yes ; Yes ;
83;6.50.709; Yes ; - ; Yes ; Yes ; Yes ;
84;6.50.711; - ; - ; - ; - ; - ;
85;6.50.712; - ; - ; - ; - ; - ;
86;6.50.713; - ; - ; - ; - ; - ;
87;6.50.714; - ; - ; - ; - ; - ;
88;6.50.715; - ; - ; - ; - ; - ;
89;6.50.716; - ; - ; - ; - ; - ;
90;6.51.301; - ; - ; - ; - ; - ;
91;6.51.302; - ; - ; - ; - ; - ;
92;6.51.307; - ; - ; - ; - ; - ;
93;6.51.308; - ; - ; - ; - ; - ;
94;6.51.321; - ; - ; - ; - ; - ;
95;6.51.322; - ; - ; - ; - ; - ;
96;6.51.323; - ; - ; - ; - ; - ;
97;6.51.345; - ; - ; - ; - ; - ;
98;6.51.362; - ; - ; - ; - ; - ;
99;6.51.363; - ; - ; - ; - ; - ;
100;6.51.384; - ; - ; - ; - ; - ;
101;6.51.385; - ; - ; - ; - ; - ;
102;6.51.386; - ; - ; - ; - ; - ;
103;6.51.400; - ; - ; - ; - ; - ;
104;6.51.702; Yes ; - ; Yes ; Yes ; Yes ;
105;6.51.703; Yes ; - ; Yes ; Yes ; Yes ;
106;6.51.704; Yes ; - ; Yes ; Yes ; Yes ;
107;6.51.705; Yes ; - ; Yes ; Yes ; Yes ;
108;6.51.706; Yes ; - ; Yes ; Yes ; Yes ;
109;6.51.707; Yes ; - ; Yes ; Yes ; Yes ;
110;6.51.708; - ; - ; - ; - ; - ;
111;6.51.710; Yes ; - ; Yes ; Yes ; Yes ;
112;6.51.710; Yes ; - ; Yes ; Yes ; Yes ;
113;6.53.101; - ; - ; - ; - ; - ;
114;6.53.102; - ; - ; - ; - ; - ;
115;6.53.103; - ; - ; - ; - ; - ;
116;6.53.104; - ; - ; - ; - ; - ;
117;6.53.105; - ; - ; - ; - ; - ;
118;6.53.106; - ; - ; - ; - ; - ;
119;6.53.107; - ; - ; - ; - ; - ;
120;6.53.108; - ; - ; - ; - ; - ;
121;6.53.109; - ; - ; - ; - ; - ;
122;6.53.112; - ; - ; - ; - ; - ;
123;6.53.701; Yes ; - ; Yes ; Yes ; Yes ;
124;6.53.701; Yes ; - ; Yes ; Yes ; Yes ;
125;6.53.702; Yes ; - ; Yes ; Yes ; Yes ;
126;6.53.702; Yes ; - ; Yes ; Yes ; Yes ;
127;6.53.703; Yes ; - ; Yes ; Yes ; Yes ;
128;6.53.703; Yes ; - ; Yes ; Yes ; Yes ;
129;6.53.704; Yes ; - ; Yes ; Yes ; Yes ;
130;6.53.704; Yes ; - ; Yes ; Yes ; Yes ;
131;6.53.705; Yes ; - ; Yes ; Yes ; Yes ;
132;6.53.705; Yes ; - ; Yes ; Yes ; Yes ;
133;E01.M.290; - ; - ; - ; - ; - ;
134;E02.S.290; - ; - ; - ; - ; - ;
135;E03.S.60; - ; - ; - ; - ; - ;
136;E04.U.290; - ; - ; - ; - ; - ;
137;m_comp_b201; - ; - ; - ; - ; - ;
