IE_XML_ID;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149
5371;;318;2703;159;1.10.101;;;;;;;;
5372;;225;2703;108;1.10.102;;;;;;;;
5373;;278;2890;140;1.10.103;;;;;;;;
5374;;272;2220;136;1.10.104;;;;;;;;
5375;;390;3280;195;1.10.105;;;;;;;;
5376;;380;2750;190;1.10.106;;;;;;;;
5357;;312;2701;156;1.10.201;;;;;;;;
5358;;234;2701;109;1.10.202;;;;;;;;
5359;;278;2877;140;1.10.203;;;;;;;;
5360;;280;2207;137;1.10.204;;;;;;;;
5361;;392;3190;196;1.10.205;;;;;;;;
5362;;392;2660;196;1.10.206;;;;;;;;
5363;;392;3210;196;1.10.207;;;;;;;;
5364;;392;2685;194;1.10.208;;;;;;;;
5365;;440;3219;195;1.10.209;;;;;;;;
5366;;440;2689;190;1.10.210;;;;;;;;
5367;;438;3217;193;1.10.211;;;;;;;;
5368;;440;2689;190;1.10.212;;;;;;;;
5369;;392;3190;196;1.10.213;;;;;;;;
5370;;392;2660;196;1.10.214;;;;;;;;
5353;;298;2702;149;1.10.301;;;;;;;;
5354;;225;2702;112;1.10.302;;;;;;;;
5355;;455;3370;230;1.10.303;;;;;;;;
5356;;425;2840;214;1.10.304;;;;;;;;
5239;;428;370;420;1.11.001;;;;;;;;
5242;;356;270;356;1.11.002;;;;;;;;
5241;;392;170;392;1.11.003;;;;;;;;
5243;;440;174;360;1.11.004;;;;;;;;
5244;;269;150;269;1.11.005;;;;;;;;
5245;;274;112;280;1.11.006;;;;;;186;;
5246;;216;106;216;1.11.008;;;;;;;;
5247;;234;91;187;1.11.009;;;;;;;;
5240;;225;176;232;1.11.010;;;;;;;;
5290;;;;;1.11.100;;;;;;280;;25
5291;;;;;1.11.200;;;;;;280;;25
5292;;;;;1.11.300;;;;;;295;;45
5265;;;2300;;1.12.010;;;;;;250;;
5343;;;2345;;1.12.011;;;;;;250;;
5264;;;2300;;1.12.020;;;;;;250;;
5266;;;2300;;1.12.030;;;;;;300;;
5267;;;1960;;1.12.050;;;;;;204;;
5268;;;1830;;1.12.060;;;;;;162;;
5269;;;2480;;1.12.061;;;;;;163;;
5272;;;1875;;1.12.070;;;;;;156;;
5273;;;2525;;1.12.071;;;;;;156;;
5270;;;1750;;1.12.080;;;;;;156;;
5271;;;2400;;1.12.081;;;;;;158;;
5301;;390;695;390;1.13.100;;;;;;249;;
5302;;380;170;380;1.13.200;;;;;;250;;
5297;;455;700;455;1.13.300;;;;;;303;;
5298;;425;170;425;1.13.400;;;;;;306;;
5300;;260;110;260;1.13.500;;;;;;;;
5303;;225;117;225;1.13.700;;;;;;;;
5299;;218;118;218;1.13.800;;;;;;;;
5296;;215;120;215;1.13.900;;;;;;;;
5318;;318;650;318;1.14.001;;;;;;;;
5319;;312;650;312;1.14.002;;;;;;;;
5320;;298;651;298;1.14.003;;;;;;;;
5254;;420;370;214;1.15.001;;;;;;;;
5248;;354;270;180;1.15.002;;;;;;106;;
5249;;392;170;196;1.15.003;;;;;;;;
5250;;440;174;180;1.15.004;;;;;;;;
5251;;272;150;136;1.15.005;;;;;;;;
5252;;280;112;137;1.15.006;;;;;;93;;
5253;;216;106;108;1.15.008;;;;;;;;
5255;;234;91;95;1.15.009;;;;;;;;
5256;;225;182;112;1.15.010;;;;;;;;
5293;;;;140;1.15.100;;;;;;280;;25
5294;;;;140;1.15.200;;;;;;280;;25
5295;;;;147;1.15.300;;;;;;295;;45
5281;;250;2300;125;1.16.010;;;;;;;;
5282;;250;2345;125;1.16.011;;;;;;;;
5283;;250;2300;125;1.16.020;;;;;;;;
5276;;300;2300;150;1.16.030;;;;;;;;
5278;;204;1960;100;1.16.050;;;;;;;;
5279;;162;1830;81;1.16.060;;;;;;;;
5284;;163;2480;82;1.16.061;;;;;;;;
5277;;156;1875;78;1.16.070;;;;;;;;
5280;;157;2525;78.5;1.16.071;;;;;;;;
5274;;156;1750;78;1.16.080;;;;;;;;
5275;;158;2400;76.5;1.16.081;;;;;;;;
5307;;390;700;195;1.17.100;;;;;;;;
5312;;380;170;190;1.17.200;;;;;;;;
5305;;455;700;230;1.17.300;;;;;;;;
5306;;;170;;1.17.400;;;;;;425;;
5309;;260;110;130;1.17.500;;;;;;;;
5310;;278;695;140;1.17.600;;;;;;;;
5311;;225;117;103;1.17.700;;;;;;;;
5308;;218;118;109;1.17.800;;;;;;;;
5304;;215;120;103;1.17.900;;;;;;;;
5321;;318;650;159;1.18.001;;;;;;;;
5322;;312;650;156;1.18.002;;;;;;;;
5323;;298;651;149;1.18.003;;;;;;;;
5351;;345;2970;95;1.20.001;;;;;;;;
5352;;355;2970;95;1.20.002;;;;;;;;
5349;;400;3085;75;1.20.101;;;;;;;;
5350;;602;наборная ;80;1.20.102;;;;;;;;
6187;;117;2353;46;1.20.103;;;;;;;;
5347;;470;2665;85;1.20.201;;;;;;;;
5348;;470;2965;85;1.20.202;;;;;;;;
5344;;230;2690;69;1.20.301;;;;;;;;
5345;;420;2886;110;1.20.302;;;;;;;;
5346;;420;3186;110;1.20.303;;;;;;;;
5258;;230;150;69;1.21.001;;;;;;;;
5259;;420;346;110;1.21.002;;;;;;;;
5257;;355;220;95;1.21.003;;;;;;;;
5260;;400;180;75;1.21.004;;;;;;;;
5261;;602;180;80;1.21.005;;;;;;;;
5262;;470;180;80;1.21.006;;;;;;;;
5263;;345;220;95;1.21.007;;;;;;;;
6184;;151;98;46;1.21.008;;;;;;;;
5285;;132;2000;20;1.22.010;;;;;;;;
5286;;270;2000;40;1.22.020;;;;;;;;
5287;;195;2000;20;1.22.030;;;;;;;;
5289;;290;2000;30;1.22.040;;;;;;;;
6185;;96;2000;17;1.22.050;;;;;;;;
5288;;266;2300;30;1.22.200;;;;;;;;
5313;;214;540;55;1.23.100;;;;;;;;
5314;;380;540;85;1.23.200;;;;;;;;
5315;;300;750;75;1.23.300;;;;;;;;
5316;;390;905;70;1.23.400;;;;;;;;
5317;;580;300;60;1.23.500;;;;;;;;
6186;;117;255;25;1.23.600;;;;;;;;
5394;;318;2703;318;1.30.101;;;;;;;;
5395;;225;2703;225;1.30.102;;;;;;;;
6379;;269;2220;269;1.30.103;;;;;;;;
5397;;390;3280;390;1.30.105;;;;;;;;
5398;;380;2750;380;1.30.106;;;;;;;;
5381;;312;2701;312;1.30.201;;;;;;;;
5382;;234;2701;218;1.30.202;;;;;;;;
6378;;280;2182;280;1.30.203;;;;;;;;
5384;;392;3190;392;1.30.205;;;;;;;;
5385;;392;2660;392;1.30.206;;;;;;;;
5388;;440;3219;390;1.30.209;;;;;;;;
5389;;440;2689;390;1.30.210;;;;;;;;
5391;;440;2689;390;1.30.212;;;;;;;;
5392;;440;3190;390;1.30.213;;;;;;;;
5393;;392;2660;392;1.30.214;;;;;;;;
5377;;298;2702;298;1.30.301;;;;;;;;
5378;;225;2702;232;1.30.302;;;;;;;;
5379;;455;3370;455;1.30.303;;;;;;;;
5380;;425;2840;428;1.30.304;;;;;;;;
6084;;435;2660;218;4.10.101;;;;;;;;
6085;;435;2660;218;4.10.102;;;;;;;;
6087;;544;наборная;272;4.10.103;;;;;;;;
6086;;394;2042;197;4.10.104;;;;;;;;
6082;;430;2674;206;4.10.201;;;;;;;;
6083;;430;2674;206;4.10.202;;;;;;;;
6088;;393;2087;195;4.10.204;;;;;;;;
6592;;635;2908;270;4.10.205;;;;;;;;
6593;;635;наборная;270;4.10.206;;;;;;;;
6081;;397;2687;206;4.10.301;;;;;;;;
6089;;366;2051;180;4.10.305;;;;;;;;
6597;;648;3177;326;4.10.306;;;;;;;;
6596;;655;наборная;328;4.10.307;;;;;;;;
6027;;408;180;408;4.11.101;;;;;;;;
6390;;544;240;544;4.11.102;;;;;;;;
6028;;430;162;362;4.11.201;;;;;;;;
6391;;635;241;540;4.11.202;;;;;;;;
6029;;395;311;409;4.11.301;;;;;;;;
6392;;655;512;655;4.11.302;;;;;;;;
6394;;434/362;350;434/362;4.12.001;;;;;;;;
6395;;362;700;362;4.12.002;;;;;;;;
6599;;362;700;362;4.12.002;;;;;;;;
6600;;362;700;362;4.12.002;;;;;;;;
6396;;435;350;435;4.12.003;;;;;;;;
6397;;364;700;364;4.12.004;;;;;;;;
6601;;364;700;364;4.12.004;;;;;;;;
6602;;364;700;364;4.12.004;;;;;;;;
6398;;364;350;364;4.12.005;;;;;;;;
6069;;330;2300;330;4.12.101;;;;;;;;
6070;;330;2300;330;4.12.102;;;;;;;;
6072;;295;2390;295;4.12.201;;;;;;;;
6071;;295;2390;295;4.12.202;;;;;;;;
6068;;272;2210;272;4.12.301;;;;;;;;
6393;;482;199;482;4.13.001;;;;;;;;
6598;;507;217;507;4.13.002;;;;;;;;
6005;;435;179;435;4.13.101;;;;;;;;
6006;;;170;414;4.13.201;;;;;;;;
6007;;412;170;412;4.13.202;;;;;;;;
6008;;370;164;370;4.13.301;;;;;;;;
6009;;370;164;370;4.13.302;;;;;;;;
6013;;408;180;204;4.15.101;;;;;;;;
6030;;544;240;272;4.15.102;;;;;;;;
6014;;430;162;181;4.15.201;;;;;;;;
6388;;635;241;270;4.15.202;;;;;;;;
6015;;395;311;206;4.15.301;;;;;;;;
6389;;655;512;328;4.15.302;;;;;;;;
6066;;434/362;350;217/180;4.16.001;;;;;;;;
6067;;362;700;180;4.16.002;;;;;;;;
6217;;362;700;180;4.16.002;;;;;;;;
6218;;362;700;180;4.16.002;;;;;;;;
6385;;435;350;217;4.16.003;;;;;;;;
6386;;364;705;182;4.16.004;;;;;;;;
6594;;364;705;182;4.16.004;;;;;;;;
6595;;364;705;182;4.16.004;;;;;;;;
6387;;364;350;182;4.16.005;;;;;;;;
6045;;330;2300;155/165;4.16.101;;;;;;;;
6046;;330;2300;155/166;4.16.102;;;;;;;;
6047;;295;2395;147/148;4.16.201;;;;;;;;
6048;;295;2400;147/148;4.16.202;;;;;;;;
6049;;272;2210;135/136;4.16.301;;;;;;;;
6011;;482;199;242;4.17.001;;;;;;;;
6010;;507;217;253;4.17.002;;;;;;;;
5986;;435;180;218;4.17.101;;;;;;;;
5987;;410;170;207;4.17.201;;;;;;;;
5988;;410;170;206;4.17.202;;;;;;;;
5989;;370;164;184;4.17.301;;;;;;;;
5983;;370;164;184;4.17.302;;;;;;;;
6094;;406;2669;125;4.20.101;;;;;;;;
6095;;406;2669;125;4.20.102;;;;;;;;
6096;;357;2005;128;4.20.103;;;;;;;;
6097;;357;2005;128;4.20.104;;;;;;;;
6092;;446;2658;119;4.20.201;;;;;;;;
6093;;446;2658;119;4.20.202;;;;;;;;
6098;;356;2499;134;4.20.203;;;;;;;;
6099;;356;2519;134;4.20.204;;;;;;;;
6090;;418;2679;151;4.20.301;;;;;;;;
6091;;418;2679;151;4.20.302;;;;;;;;
6100;;335;2036;129;4.20.303;;;;;;;;
6101;;335;2035;129;4.20.304;;;;;;;;
6016;;406;178;124;4.21.101;;;;;;;;
6017;;446;163;97;4.21.201;;;;;;;;
6018;;418;318;151;4.21.301;;;;;;;;
6050;;332/298;2310;88/70;4.22.101;;;;;;;;
6051;;332/298;2310;88/70;4.22.102;;;;;;;;
6052;;260;2350;62;4.22.201;;;;;;;;
6053;;260;2350;62;4.22.202;;;;;;;;
6054;;292/248;2200;86/62;4.22.301;;;;;;;;
6055;;292/248;2200;86/62;4.22.302;;;;;;;;
5990;;350;161;113;4.23.101;;;;;;;;
5991;;376;172;119;4.23.201;;;;;;;;
5992;;350;161;113;4.23.301;;;;;;;;
6076;;435;2660;435;4.30.101;;;;;;;;
6077;;435;2660;435;4.30.102;;;;;;;;
26151;;544;наборная;544;4.30.103;;;;;;;;
6078;;296;1767;291;4.30.104;;;;;;;;
6074;;430;2674;362;4.30.201;;;;;;;;
6075;;430;2674;362;4.30.202;;;;;;;;
6079;;270;1811;292;4.30.204;;;;;;;;
6603;;635;наборная;540;4.30.205;;;;;;;;
6605;;635;наборная;540;4.30.206;;;;;;;;
6073;;395;2685;409;4.30.301;;;;;;;;
6080;;266;1775;264;4.30.304;;;;;;;;
6604;;655;наборная;655;4.30.306;;;;;;;;
6606;;655;наборная;655;4.30.307;;;;;;;;
6019;;270;127;270;4.41.101;;;;;;;;
6020;;294;116;242;4.41.201;;;;;;;;
6021;;265;208;265;4.41.301;;;;;;;;
6056;;220;1520;220;4.42.101;;;;;;;;
6057;;196;1580;196;4.42.201;;;;;;;;
6058;;178;1455;178;4.42.301;;;;;;;;
5993;;296;120;296;4.43.101;;;;;;;;
5994;;272;115;272;4.43.201;;;;;;;;
5995;;272;115;272;4.43.202;;;;;;;;
5996;;244;108;244;4.43.301;;;;;;;;
5997;;244;108;244;4.43.302;;;;;;;;
6022;;270;127;135;4.45.101;;;;;;;;
6023;;294;116;120;4.45.201;;;;;;;;
6024;;265;208;132;4.45.301;;;;;;;;
6059;;220;1520;10;4.46.101;;;;;;;;
