ID;Организация; Точка  продажи ; Город  (для  скидки) ;Адрес; ТЦ  Рынок  и  пр ; Ориентир  для  поиска ;Телефоны;email; email  для  заказа ; ссылка  на  сайт  дилера ;Будни;Суббота;Воскресенье; Доп.  выходные ; Без  выходных ;Карта;Доставка;Монтаж;Обмен/возврат;Склад; Способы  оплаты ;Дополнительно
﻿3115; ООО  «Стройклассика» ; Квадро  Интерьер ;Барнаул; Строителей  проспект,  14а ;;; 3852610606,  9132542359 ;design@kuadro.ru;design@kuadro.ru;www.quadro-interier.ru; 10:00  -  19:00 ; 10:00  -  18:00 ;Выходной;;N;53.352525,83.764639;N;N;N;N;;
﻿3117; ООО  "ВК  Хим" ;Архдекор;Белгород; улица  Восточная,  д.  71 ;;; 4722207582,  4722240386 ;;vkhim2008@yandex.ru;archdekor.ru; 10:00  -  18:00 ; 10:00  -  15:00 ;Выходной;;N;50.5755,36.5444;N;N;N;N;;
﻿3120; ИП  Кощенков  Д.Е. ; салон  "  Империя  Декора" ;Брянск; улица  Красноармейская  д.  128 ; Торговый  Центр  "  Мебель&Дом  " ; Внутренняя  парковка  ТЦ  (  напротив  "  Сантехлюкса") ; 4832419957,  4832419957 ;imperiya_dekora@mail.ru;imperiya_dekora@mail.ru;imperiya-dekora.ru; 10:00  -  20:00 ; 10:00  -  20:00 ; 10:00  -  20:00 ;;Y;53.243195,34.342243;N;N;N;N;;
﻿3124; ООО  "Деколе" ;Декорация;Волгоград; улица  25  лет  Октября  д.  1,  строение  2,  этаж  1 ; Оптово-строительный  рынок  на  Тулака ; вход  в  торца,  салон  "Декорация" ;8442601908;manager@decoroom.su;manager@decoroom.su;www.evroplast-nsk.ru; 09:00  -  17:00 ;Выходной;Выходной;;N;48.673415571937,44.470635169312;N;N;N;N;;
﻿3126; ООО  "Дон-Декор" ; Магазин  "Дон-Декор" ;Воронеж; улица  Донбасская,  д.  7  (1  этаж) ;;; 4732526774,  4732290469 ;vpn@dondecor.ru;rpv@dondecor.ru;www.2decor.ru; 10:00  -  18:00 ; 11:00  -  16:00 ;Выходной;;N;51.67277,39.181324;N;N;N;N;;
﻿3134; ООО  «Дженти» ;«Дженти»;Ижевск; ул.  Удмуртская,  304,  корпус  4,  этаж  2,  пав.  326 ; Строительный  центр  «Гвоздь» ; зеленый  зал,  2  этаж ; 3412656530,  9199168030 ;domdekora@djenti.ru;domdekora@djenti.ru;www.djenti.ru; 09:00  -  20:00 ; 10:00  -  20:00 ; 10:00  -  19:00 ;;Y;56.8608803749,53.2226721634;N;N;N;N;;
﻿3136; ООО  Элит  Декор ; ООО  Элит  Декор ;Иркутск; Иркутской  30-й  Дивизии,  д.  51 ; Салон  Элит  Декор ;;3952278787;info@elit-decor.com;info@elit-decor.com;www.elit-decor.com; 10:00  -  18:00 ; 11:00  -  17:00 ;Выходной;;N;52.266694,104.33358;N;N;N;N;;
﻿3140; ООО  Скандинавская  Мебель,  ИП  В.А.  Федоров ;Dom&Decor;Калининград; Проспект  Победы,  д.  157А,  1  этаж ; территория  «Калининградбуммонтаж» ;; 4012758575,  9632924878 ;salon@dom-decor.com; salon@dom-decor.com,  logist@dom-decor.com ;dom-decor.com; 10:00  -  19:00 ; 10:00  -  18:00 ;Выходной;;N;54.7106017734,20.4378136918;N;N;N;N;;
﻿3146; ООО  "Гермес" ;DecoХолл;Кемерово; проспект  Ленина,  д.  81-"А",  этаж  1 ;Магазин;;3842359663;lepnina@granddekor.ru;lepnina@granddekor.ru;granddekor.ru; 10:00  -  19:00 ; 11:00  -  17:00 ;Выходной;;N;55.3429765075,86.1204766865;N;N;N;N;;
﻿3148; ООО  ""Генезис ; магазин  Соломон ;Комсомольск-на-Амуре; улица  Кирова,  д.  46 ;;;9838213323;;;; 09:00  -  18:00 ; 09:00  -  16:00 ;Выходной;;N;50.551303,137.027998;N;N;N;N;;
﻿3160; ИП  Шаталова  Т.Л. ; салон  Ампир-декор ;Курск; улица  Добролюбова,  д.  15а,  1  этаж ; Торговый  центр ;;4712396138;salonampirkursk@yandex.ru;;; 10:00  -  20:00 ; 10:00  -  20:00 ; 10:00  -  20:00 ;;Y;51.724024,36.186808;N;N;N;N;;
﻿3162; ИП  Козлова  Н.Б, ; салон  Lux  Decor ;Магнитогорск; улица  Калинина  д.1 ;Салон; Бывшее  детское  кафе  "Сказка" ;3519221899;decorsalon@gmail.com;decorsalon@gmail.com;; 10:00  -  19:00 ; 10:00  -  17:00 ;Выходной;;N;53.419776,58.996497;N;N;N;N;;
﻿3164; ООО  "ИнтерСтрой" ; Интерьерный  салон  "ИнтерСтрой" ; Нижний  Новгород ; улица  Короленко,  д.  27,  офис  103 ;; пл.  Лядова,  Телецентр ; 88312780314,  78312780550 ;interstroy@sandy.ru;interstroy@sandy.ru;; 09:00  -  18:00 ;Выходной;Выходной;;N;56.310378,43.99341;N;N;N;N;;
﻿3165; ИП  Негина  О.С. ; Салон  Избранное ; Нижний  Новгород ; улица  Белинского,  д.  11/66 ;; Напротива  парка  Пушкина,  Название  крупными  буквами  "Избранное" ; 8312128883,  8314213888 ;evroplast@elite-nn.ru;evroplast@elite-nn.ru;; 10:00  -  19:00 ; 10:00  -  18:00 ; 10:00  -  18:00 ;;Y;56.310577,44.000902;N;N;N;N;;
﻿3166; ИП  Негина  О.С. ; салон  “Decor360” ; Нижний  Новгород ; улица  Бекетова,  д.  13 ;; Стройцентр  "Бекетов ; 8314123130,  9082382424 ;salon@decor360.ru;;; 10:00  -  20:00 ; 10:00  -  18:00 ; 10:00  -  18:00 ;;Y;56.290474,43.998126;N;N;N;N;;
﻿3167; ИП  Негина  О.С. ; Центр  Фасадного  декора ; Нижний  Новгород ; улица  Белинского,  д.  11/66,  этаж  цоколь ;; Напротива  парка  Пушкина ; 8312128883,  8314211155 ;fasad@elite-nn.ru;evroplast@elite-nn.ru;; 10:00  -  19:00 ; 10:00  -  19:00 ; 10:00  -  19:00 ;;Y;56.310577,44.000902;N;N;N;N;;
﻿3169; ИП  Чащилов  А.П. ; салон  "Архитектурный  декор" ;Нижневартовск; улица  Мира,  д.  98 ;;; 9222556917,  9824123213 ;leka_bulikeeva@mail.ru;leka_bulikeeva@mail.ru;www.decor-ad.ru; 09:00  -  19:00 ; 10:00  -  18:00 ; 10:00  -  18:00 ;;Y;60.9319608835,76.6203784749;N;N;N;N;;
﻿3173; ИП  Акулинская  Ю.В. ; Салон  Арт-Декор ;Омск; улица  Герцена,  д.  36  (4  этаж) ; Торговый  Дом  "На  Герцена" ;; 3812243021,  3812502600 ;decorart@mail.ru;artdecor-kit@mail.ru;artdecor-int.ru; 10:00  -  20:00 ; 10:00  -  19:00 ; 10:00  -  19:00 ;;Y;54.996438,73.373701;N;N;N;N;;
﻿3174; ИП  Шелудько  А.А. ; Салон  Арт-Декор ;Омск; улица  Пушкина,  д.  37  (1  этаж) ;; Пересечение  ул.  Пушкина  и  ул.  Почтовая ;3812501600;ya.art-décor@yandex.ru;artdecor-kit@mail.ru;artdecor-int.ru; 10:00  -  19:00 ; 10:00  -  19:00 ; 10:00  -  19:00 ;;Y;54.980802,73.385873;N;N;N;N;;
﻿3175; ИП  Шелудько  А.А. ; Салон  "Европласт" ;Омск; улица  10  лет  Октября,  д.  182,  корп.3  (1  этаж) ; ТК  "Кит-интерьер" ;;3812507600;artdecor-kit@mail.ru;artdecor-kit@mail.ru;artdecor-int.ru; 10:00  -  20:00 ; 10:00  -  20:00 ; 10:00  -  20:00 ;;Y;54.989218,73.461439;N;N;N;N;;
﻿3177; ИП  Панухник  В.Н. ; Магазин  "ОБОИ" ;Орел; Городская,  д.  98,  этаж  3 ; ОАО  "База  строительных  товаров" ; В  здании  "Эстетика  интерьера" ; 4862714801,  4862750711 ;info@57.leso-torg.ru;ibelova@57.leso-torg.ru;www.leso-torg.ru; 08:00  -  20:00 ; 08:00  -  20:00 ; 08:00  -  17:00 ;;Y;52.942883,36.069452;N;N;N;N;;
﻿3183; ООО  "ВИЗАРД-  ИНТЕРЬЕРНЫЕ  РЕШЕНИЯ" ;ВИЗАРД;Пермь; ул.  Н.  Островского,  44а,  2-этаж ; отдельно  стоящее  здание ; а/заправка  на  ул.  Тихой ;3422141400;plotnikov_wizard@mail.ru;plotnikov_wizard@mail.ru;; 10:00  -  19:00 ; 11:00  -  18:00 ;Выходной;;N;58.010140920799,56.261924571531;N;N;N;N;;
﻿3184; ЗАО  "Стройинтер" ; Салон  "Декор  центр" ;Пермь; улица  Ленина,  д.  15 ;;; 3422190570,  3422190571 ;stroyinter-dir@yandex.ru;stroyinter-dir@yandex.ru;; 09:00  -  20:00 ; 10:00  -  18:00 ;Выходной;;N;58.016,56.254;N;N;N;N;;
﻿3185; ЗАО  "Стройинтер" ;"Декоративка";Пермь; улица  Уральская,  д.  63,  пав.  1 ; ТЦ  "Гудвин" ;;3422640364;;;; 10:00  -  20:00 ; 10:00  -  20:00 ; 11:00  -  19:00 ;;Y;58.029874,56.302872;N;N;N;N;;
﻿3186; ЗАО  "Стройинтер" ;"Декоративка";Пермь; улица  Героев  Хасана,  д.  56 ; ТЦ  "Евразия" ; слева  от  эскалатора ; 3422113330,  3422113311 ;;;; 10:00  -  21:00 ; 10:00  -  21:00 ; 10:00  -  20:00 ;;Y;57.965469,56.25951;N;N;N;N;;
﻿3188; ИП  Левичев  С.В. ; "Салон  Декор" ;Ростов-на-Дону; улица  Красноармейская,  д.  87/50,  1  этаж,  стенд  1 ;; Между  проспектом  Соколова  и  проспектом  Ворошиловским  по  ул.  Красноармейской ; 8632208980,  8632323921 ;decor-rostov@mail.ru;decor-rostov@mail.ru;evroplast-rostov.ru; 09:00  -  18:00 ; 10:00  -  15:30 ;Выходной;;N;47.229225274413,39.717670821107;N;N;N;N;;
﻿3191; ООО  "Зеленый  коридор"    ИП  Фетисова  Л.Г. ; ТД  "СИНТИ" ;Рязань; Солотчинское  шоссе,  д.  2,  этаж  2 ; Торговый  центр  "АВРОРА" ;;4912460046;opt@cinti.ru;opt@cinti.ru;; 10:00  -  19:00 ; 10:00  -  19:00 ; 10:00  -  18:00 ;;Y;54.631504,39.774445;N;N;N;N;;
﻿3193; ООО  Форрум ; магазин  FORROOM ;Самара; улица  Красноармейская,  д.  1,  пав.  238-240 ; СТК  Кубатура ;;8462751696;forroom@forroom.ru;forroom@forroom.ru;; 08:30  -  20:00 ; 8:30  -  20:00 ; 8:30  -  20:00 ;;Y;53.194575852658,50.090430322753;N;N;N;N;;
﻿3195; ООО  «Дизайн-Паркет» ; Центр  Лепного  Декора ;Саратов; улица  Московская,  д.  11,  этаж  1 ;; Салон  находится  на  ул.Московская,  между  ул.Чернышевского  и  ул.Лермонтова ; 8452250430,  9372250430 ;dezain-parket@bk.ru;dezain-parket@bk.ru;www.design-parket.com; 09:00  -  19:00 ; 09:00  -  17:00 ; 09:00  -  17:00 ;;Y;51.528334712,46.0537017202;N;N;N;N;;
﻿3198; ООО  "Питерра" ;PITERRA;Санкт-Петербург; Московский  проспект,  д.  111,  1  этаж ; 2  салона ;; 8124383940,  доб.  702,732,752 ;salonM111@piterra.ru;shop@piterra.ru;www.piterra.ru; 10:00  -  20:00 ; 10:00  -  18:00 ; 10:00  -  18:00 ;;Y;59.889038,30.318761;N;N;N;N;;
﻿3199; ООО  "Питерра" ;PITERRA;Санкт-Петербург; ул.  Полевая  Сабировская,  д.  54А,  2  этаж,  секция  245 ; Торговый  комплекс  «Интерио» ;; 8124383940,  доб.  703 ;saloninterio@piterra.ru;shop@piterra.ru;www.piterra.ru; 11:00  -  21:00 ; 11:00  -  21:00 ; 11:00  -  21:00 ;;Y;59.9972975426,30.2686180172;N;N;N;N;;
﻿3200; ООО  "Питерра" ;PITERRA;Санкт-Петербург; ул.  Студенческая,  д.  10,  1  этаж,  Секция  А-1 ; Торговый  комплекс  «Ланской» ;; 8124383940,  доб.  701,  724 ;salonLanskoy@piterra.ru;shop@piterra.ru;www.piterra.ru; 10:00  -  20:00 ; 10:00  -  20:00 ; 10:00  -  20:00 ;;Y;59.9892580109,30.3277746944;N;N;N;N;;
﻿3205; ИП  Кулинцева  Е.С. ; Три  Д:  Дом,  Дизайн,  Декор ;Ставрополь; улица  Тухачевского,  д.  12А ; Рядом  рынок  «Тухачевский» ; Напротив  ТЦ  «Москва» ; 8652721829,  8652724123 ;info@salon3d.ru;info@salon3d.ru;www.salon3d.ru; 10:00  -  19:00 ; 10:00  -  16:00 ; 10:00  -  16:00 ;;Y;45.011797,41.917781;N;N;N;N;;
﻿3206; ИП  Кулинцева  Е.С. ; Три  Д:  Дом,  Дизайн,  Декор ;Ставрополь; улица  Доваторцев,  д.  61 ; Торговый  комплекс  «ОРТЦ» ;; 8652515050,  8652555310 ;tridnew@yandex.ru;;; 10:00  -  20:00 ; 10:00  -  20:00 ; 10:00  -  20:00 ;;Y;45.004952,41.925919;N;N;N;N;;
﻿3214; ИП  Рыбалка  В.Н. ; Салон  Премьер ;Тольятти; улица  Жукова,  д.  2,  оф.  3 ;;; 8482539030,  9278911281 ;premier_tolgatti@rambler.ru;premier_tolgatti@rambler.ru;decor163.ru; 09:00  -  18:00 ;Выходной;Выходной;;N;53.516398,49.307798;N;N;N;N;;
﻿3218; И.П.  Новиков  Р.В. ; Магазин  ЛЕПНИНА ;Тула; ул.  Мосина,  д.  29А,  1  этаж,  пав.  102 ; Торговый  комплекс  Мастер,  1  этаж ;; 9255094511,  9308961122,  9255060319 ;lepnina89@mail.ru;lepnina89@mail.ru;www.europlast-lepnina.ru; 09:00  -  18:00 ; 09:00  -  18:00 ; 09:00  -  18:00 ;;Y;54.2026416293,37.5948222321;N;N;N;N;;
﻿3225; ИП  Розет  Р.Р. ; Салон  Розет ;Уфа; улица  Кирова,  д.  34  (1  этаж) ; Салон  Розет ;; 3472768513,  9173755100 ;rozetufa@gmail.com;rozetufa@gmail.com;www.ufa-rozet.ru; 10:00  -  20:00 ; 11:00  -  18:00 ; 12:00  -  17:00 ;;Y;54.72998,55.952942;N;N;N;N;;
﻿3226; ИП  Розет  Р.Р. ; Салон  Розет ;Уфа; Индустриальное  шоссе,  д.  44/1,  2  этаж,  пав.  Экспо,  секция  2Б ; ТВК  Радуга-Экспо ; рядом  с  эскалатором ; 3472922638,  9177651957,  9173444232 ;rozet-ekspo@mail.ru;rozetufa@gmail.com;www.ufa-rozet.ru; 10:00  -  20:00 ; 10:00  -  20:00 ; 10:00  -  20:00 ;;Y;54.8014257191,56.0950214577;N;N;N;N;;
﻿3229; ИП  Лебедева  М.Е.  ООО  "Текстура  и  Дизайн" ; Салон  "Текстура" ;Хабаровск; улица  Дзержинского,  д.  65 ; салон  "Текстура" ; Вход  смотрит  на  Амурский  бульвар,  с  правого  торца  здания ;84212464040;postmaster@terralux.ru;postmaster@terralux.ru;www.terralux.ru; 10:00  -  19:00 ; 10:00  -  16:00 ;Выходной;;N;48.478,135.065;N;N;N;N;;
﻿3232; ИП  Альхимович  Г.А. ; Салон  -  мастерская  «Montmartre» ;Чебоксары; проспект  Максима  Горького,  д.  26 ; Торговый  дом  «Респект» ;; 8352434565,  9276666028 ;montmartre@sdel.ru;montmartre@sdel.ru;; 08:00  -  20:00 ; 09:00  -  16:00 ; 09:00  -  16:00 ;;Y;56.1492324937,47.1808518135;N;N;N;N;;
﻿3234; ООО  "Дизайн-Стиль" ;Дизайн-Стиль;Челябинск; проспект  Победы,    д.  177,  оф.  111е ; Торгово-офисное  здание ;; 3517914912,  9058342218 ;dzs2006@mail.ru;dzs2006@mail.ru;designstyle74.ru; 10:00  -  18:00 ;Выходной;Выходной;;N;55.183554,61.389088;N;N;N;N;;
