ID;Страна;Город;Название; E-mail  для  Справочной ; E-mail  для  заказа 
111800;Россия;Абакан; "QuickStep"  (ИП  Брух  Н.П.) ;zodchiabakan@mail.ru;admzodchie@mail.ru
49775;Россия;Адлер; Dom&Decor  (Дом  Декора  (ООО  «Дом  Декора»)) ; logist@decorinfo.ru,  m.egorov@decorinfo.ru,  office-krd@decorinfo.ru ;salon-sochi@decorinfo.ru
3724;Россия;Альметьевск; Стройклуб  (Статус  Кво) ;zakaz@statuskvo116.ru;zakaz@evroplast116.ru
39364;Россия;Анапа; Лепнина  Европласт    (Дом  Декора  (ООО  «Дом  Декора»)) ; logist@decorinfo.ru,  m.egorov@decorinfo.ru,  office-krd@decorinfo.ru ;salon1-krd@decorinfo.ru
6805;Россия;Анжеро-Судженск; "Эконом-строй"  (ИП  Головин  С.В.) ;lepnina@granddekor.ru;lepnina@granddekor.ru
39364;Россия;Армавир; Лепнина  Европласт    (Дом  Декора  (ООО  «Дом  Декора»)) ; logist@decorinfo.ru,  m.egorov@decorinfo.ru,  office-krd@decorinfo.ru ;salon1-krd@decorinfo.ru
6834;Россия;Арсеньев; салон  "Арс-Деко"  (ИП  ИВАКИН  И.В.) ;fadavl@mail.ru;ars-deco@bk.ru
3341;Россия;Архангельск; Дизайн-студия  "Лигрант"  (ООО  "Дизайн-студия  "Лигрант"") ;arh.evroplast@inbox.ru;arh.evroplast@inbox.ru
6780;Россия;Астрахань; центр  дизайна  "DECOLE"  (ООО  "Голдстрим") ;astra@decole.ru;astra@decole.ru
130687;Россия;Балаково; магазин  «Арсенал»    (ИП  Оконечников  Сергей  Анатольевич) ; arsenal.plitka@mail.ru   ; arsenal.plitka@mail.ru   
3115;Россия;Барнаул; Квадро  Интерьер  (ООО  «Стройклассика») ;design@kuadro.ru;design@kuadro.ru
3117;Россия;Белгород; Архдекор  (ООО  "ВК  Хим") ;vkhim2008@ya.ru;vkhim2008@yandex.ru
134643;Россия;Белебей; магазин    "СтройДом"    (ИП  Козлова  О.В.) ;rozetufa@gmail.com;rozetufa@gmail.com
6192;Россия; Благовещенск   ; Cалон-магазин  интерьерных  решений  "Deкор"  (ООО  "Декор") ;dekordeluxe@bk.ru;dekordeluxe@bk.ru
6688;Россия;Брянск; салон  "Империя  Декора"  (ИП  Кощенков  Д.Е.) ;imperiya_dekora32@mail.ru;imperiya_dekora32@mail.ru
6530;Россия;Бугульма; DAVINCI  (ИП  Ерохин  Владислав  Викторович) ; evroplastkazan@yandex.ru,  5220454@mail.ru ;erlider@mail.ru
52539;Россия; Великие  Луки ; Магазин-студия    (ООО  "Эклектика  Плюс"  ) ;eklektika-vl@yandex.ru;
