 Дата  заказа ; Номер  заказа ; Сумма,  руб. ;Город
﻿01.01.2020;11735; 2  434.00 ;Курск
﻿02.01.2020;11737;891.00;Краснодар
﻿03.01.2020;11739; 2  219.00 ;Архангельск
﻿04.01.2020;11740; 1  674.00 ;Серов
﻿04.01.2020;11742; 1  674.00 ;Пермь
﻿04.01.2020;11745; 1  975.00 ;Санкт-Петербург
﻿05.01.2020;11749; 1  742.00 ;Санкт-Петербург
﻿05.01.2020;11750; 1  157.00 ;Санкт-Петербург
﻿06.01.2020;11751; 1  775.00 ;Тверь
﻿06.01.2020;11752; 1  702.00 ;Санкт-Петербург
﻿07.01.2020;11753; 2  148.00 ; Набережные  Челны   
﻿07.01.2020;11755; 2  907.00 ;Пермь
﻿08.01.2020;11757;513.00;Кемерово
﻿08.01.2020;11761; 2  174.00 ;Санкт-Петербург
﻿09.01.2020;11767;592.00;Томск
﻿09.01.2020;11768; 1  872.00 ;Новосибирск
﻿09.01.2020;11769;292.00; Нижний  Новгород 
﻿09.01.2020;11770;292.00; Нижний  Новгород 
﻿09.01.2020;11771; 2  679.00 ;Санкт-Петербург
﻿09.01.2020;11772; 3  898.00 ; Нижний  Новгород 
﻿09.01.2020;11776; 2  445.00 ;Ашхабад
﻿09.01.2020;11777; 1  634.00 ;Санкт-Петербург
﻿09.01.2020;11778; 3  403.00 ;Санкт-Петербург
﻿10.01.2020;11779; 1  673.00 ;Симферополь
﻿10.01.2020;11783; 2  194.00 ;Санкт-Петербург
﻿11.01.2020;11786; 3  881.00 ;Тамбов
﻿11.01.2020;11788; 1  327.00 ;Санкт-Петербург
﻿11.01.2020;11791; 2  698.00 ;Тверь
﻿11.01.2020;11793; 2  833.00 ;Санкт-Петербург
﻿11.01.2020;11794; 2  833.00 ;Санкт-Петербург
﻿11.01.2020;11796; 1  674.00 ;Серов
﻿12.01.2020;11801; 2  333.00 ;Санкт-Петербург
﻿12.01.2020;11803; 1  758.00 ;Санкт-Петербург
﻿13.01.2020;11805; 2  567.00 ;Санкт-Петербург
﻿13.01.2020;11806; 1  389.00 ;Санкт-Петербург
﻿13.01.2020;11807; 4  308.00 ;Кемерово
﻿14.01.2020;11812; 2  985.00 ;Тверь
﻿14.01.2020;11815;600.00;Белгород
﻿14.01.2020;11816; 1  800.00 ;Архангельск
﻿14.01.2020;11819;420.00;Санкт-Петербург
﻿15.01.2020;11825; 15  672.00 ;Омск
﻿16.01.2020;11829; 2  924.00 ;Краснодар
﻿16.01.2020;11830;594.00; Нижний  Тагил 
﻿16.01.2020;11831; 2  924.00 ;Краснодар
﻿16.01.2020;11833; 3  432.00 ;Мурманск
﻿16.01.2020;11834; 4  457.00 ;Санкт-Петербург
﻿16.01.2020;11837; 2  220.00 ;Санкт-Петербург
