Наименование;Артикул;Количество; Сумма,  руб. 
﻿ элемент  1.65.001 ;1.65.001;18;36828
﻿ розетка  1.56.512 ;1.56.512;4;3584
﻿ карниз  1.50.298 ;1.50.298;89;88245
﻿ молдинг  1.51.372 ;1.51.372;5;4560
﻿ карниз  1.50.229  гибкий ;1.50.229;3;11214
﻿ карниз  1.50.296 ;1.50.296;320;458140
﻿ арочный  элемент  1.61.511 ;1.61.511;11;57079
﻿ угловой  элемент  1.52.299 ;1.52.299;33;32220
﻿ угловой  элемент  1.52.279 ;1.52.279;25;24572
﻿ молдинг  1.51.365 ;1.51.365;2;2892
﻿ плинтус  1.53.108 ;1.53.108;733;1396215
﻿ Клей  монтажный  Европласт  290&nbsp,мл. ;EB05.M.290;76;98724
﻿ E13.S.60  /  Клей  Европласт  стыковочный  PU  60  мл. ;E13.S.60;932;485004
﻿ E12.S.290  /  Клей  Европласт  стыковочный  PU  290  мл. ;E12.S.290;52;72748
﻿ декоративная  панель  6.59.802 ;6.59.802;44;125550
﻿ декоративная  панель  6.59.803 ;6.59.803;89;244270
﻿ карниз  6.50.801 ;6.50.801;104;220480
﻿ карниз  6.50.803 ;6.50.803;23;65159
﻿ молдинг  1.51.807 ;1.51.807;9;18477
﻿ молдинг  1.51.811 ;1.51.811;1;1328
﻿ молдинг  6.51.801 ;6.51.801;6;3258
﻿ молдинг  6.51.802 ;6.51.802;68;74800
﻿ молдинг  6.51.808 ;6.51.808;16;6920
﻿ молдинг  6.51.809 ;6.51.809;170;43525
﻿ молдинг  6.51.810 ;6.51.810;138;70100
﻿ молдинг  6.51.815 ;6.51.815;228;95000
﻿ плинтус  6.53.801 ;6.53.801;215;121910
﻿ плинтус  6.53.802 ;6.53.802;6;14068
﻿ плинтус  6.53.803 ;6.53.803;340;320860
﻿ плинтус  6.53.804 ;6.53.804;431;481423
﻿ плинтус  6.53.805 ;6.53.805;11;23969
﻿ розетка  1.56.801 ;1.56.801;1;1550
﻿ розетка  1.56.802 ;1.56.802;2;9660
﻿ угловой  элемент  1.52.810 ;1.52.810;12;11544
﻿ угловой  элемент  1.52.812 ;1.52.812;4;3848
﻿ угловой  элемент  1.52.815 ;1.52.815;2;1948
﻿ декоративная  панель  6.59.801-280 ;6.59.801-280;9;35910
