 Дата  вопроса ;Вопрос;Ответ;Город
﻿01.10.2021; Здравствуйте,  какое  расстояние  должно  быть    от  стены    при  таком  расположении  карниза  с  подсветкой? ; Добрый  день,  Юлиана.  Расстояние    5  -10  см. ;Санкт-Петербург
﻿02.10.2021; Добрый  день!  Подскажите  что    бы  прикрепить  карниз  из  ППУ  достаточно  монтажного  и  стыковочного  клея?  Либо  ещё  что-то  необходимо  для  крепления ; Добрый  день,  Виктория.  Для  подробной  консультации,  мы  свяжемся  с  Вами  в  понедельник  в  течении  дня.  Спасибо. ;Курск
﻿03.10.2021; Подскажите,  есть  ли  у  вас  подобные  молдинги,  как  я  положила  в  корзину,  но  дешевле,  спасибо ; Добрый  день,  Татьяна.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:    Европласт-Санкт-Петербург  PITERRA  Отдел  продаж  8  (800)  707-01-67  с  10:00  до  20:00  Shop@piterra.ru  www.piterra.ru     ;Санкт-Петербург
﻿04.10.2021; Добрый  день!  Интересует,  можно  ли  карниз  1.50.106  перевернуть,  чтобы  90  мм  было  не  по  потолку,  а  по  стене?  Скажите,  пожалуста ; Добрый  день,  Рената.  Да,  вы  можете  его  перевернуть.   ;Калининград
﻿05.10.2021; Добрый  день!  Подскажите,  на  каких  условиях    Вы  работаете  с  дизайнерами?  Если  можно,  то  буду  жать  ответ  на  почту  или  WA.  Спасибо!   ; Добрый  день,  Валентина.  с  Вами  свяжется  наш  менеджер.   ;Москва
﻿05.10.2021; Добрый  день.  Мне  надо  рассчитать  на  две  комнаты  плинтус  потолочный  артикул  1.50.105.по  967  руб  .  Одна  комната  12кв.м,другая  8кв.м.Плинтус  идёт  по  переметру  всей  комнаты.  И  какой  клей  брать?  У  вас  несколько  видов.  Количество  клея,  я  понимаю,  рассчитывается  автоматически?  Спасибо   ; Добрый  день,  Наталия.    Вам  необходимо  в  общей  сложности  14  шт.  Да,  клей  рассчитается  автоматически,  после  того  как  вы  добавите  в  корзину  карниз  1.50.105  -  14  шт,  и  нажмете  кнопку  "рассчитать  клей".  Система  добавит  к  вашему  заказу  клей  для  монтажа  на  стену  и  потолок(в  картриджах)  и  клей  для  стыков(обязательно  проследите,  чтобы  рабочие  его  использовали.  Инструкция  по  монтажу  находиться  тут:  https://evroplast.ru/download/manual_karnizy.pdf  После  оформления  заказа  на  сайте,  с  Вами  свяжется  наш  менеджер.  Если  остались  вопросы,  то  можете  позвонить  по  тел.  +  7  495  315  31  10  вас  проконсультируют.   ;Москва
﻿05.10.2021; Не  могу  сделать  заказ ; Добрый  день,  Екатерина.  Наш  представитель  в  вашем  регионе  свяжется  с  Вами  и  поможет  оформить  заказ.  Контакты  представителя  Магазин  "Дон-Декор"  ООО  "Дон-Декор"  Адрес:  улица  Донбасская,  д.  7  (1  этаж)    Угловой  магазин,  ближе  к  пл.  Застава    Телефон/факс:  +7  (4732)  52-67-74,  +7  (4732)  29-04-69    E-mail:  vpn@dondecor.ru    2decor.ru  Время  работы:  Будни    10:00  -  17:00    Суббота    11:00  -  15:00    Воскресенье    Выходной ;Москва
﻿06.10.2021; При  монтаже  плинтуса  как  происходит  его  примыкание  к  наличнику  двери,  если  ширина  плинтуса  по  полу  больше,  чем  толщина  наличника  ?  Например,  плинтус    30  мм  (6.50.171),  а  наличник  10  мм. ; Добрый  день,  Алексей.  При  монтаже  плинтуса  к  наличнику  двери,  плинтус  торцуется  в  пол  или  под  45*  (примеры  торцевания  в  прикрепленном  файле),  в  остальном  монтаж  производится  согласно  инструкции  по  монтажу,  размещенной  на  нашем  сайте  в  разделе  Монтаж/Инструкции/Монтаж  напольного  плинтуса  :  https://evroplast.ru/download/manual_plintusy.pdf  Возникнут  вопросы  звоните  по  телефону:  +7968-819-03-97  Александра. ;Москва
﻿06.10.2021; Добрый  день.    У  нас  закуплен  плинтус  1.53.108  Для  зоны  лестницы  нужны  широки  плинтуса  (примерно  250мм)    Хотим  состыковать  две  или  три  детали,  чтобы  добиться  нужной  ширины.    Ближайший  по  размеру  нашел  молдинг  1.51.385    Вопрос  1.  Одинаковая  ли  у  них  толщина  по  плоской  части?    Вопрос  2.  Есть  ли  подобные  молдинги  шире?  И  чтобы  по  толщине  были  одинаковыми  с  плинтусом    1.53.108? ; Добрый  день,  Владимир!  Молдинг  1.51.385  -  шире  по  глубине,  чем  плинтус  1.53.108.  Для  подробной  консультации  по  подбору  необходимой  продукции  Европласт,  менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Европласт-Башкортостан  Салон  Розет  (ИП  Розет  Р.Р.)  Уфа,  улица  Кирова,  д.  34  (1  этаж)  Тел.:  +7  (347)  276-85-13,  +7  (917)  375-51-00  rozetufa@gmail.com   ;Уфа
﻿06.10.2021; Нужно  обсудить  подробности  заказа.   ; Добрый  день,  Алексей  Владимирович.  с  Вами  свяжется  наш  менеджер.   ;Москва
﻿08.10.2021; С  каким  молдингом  стыкуется  этот  угловой  элемент  1.52.295?  На  сайте  нет  нужной  информации  по  этому  элементу ; Добрый  день,  Юлия.  Элемент  https://evroplast.ru/catalogue/interernyj-dekor/uglovye-jelementy/1-52-295/  стыкуется  с  молдингом  1.51.301.  Если  вы  пролистает  карточку  товара  чуть  ниже  то  увидите  надпись  "используется  с"  и  фото  деталей  скрин  экрана  по  ссылке  http://joxi.ru/eAOx3xxi6QnvJr.  Так  же  прошу  обратить  внимание  что  к  данному  элементу  есть    второй  угловой  элемент  для  симметрии  артикул  1.52.291    https://evroplast.ru/catalogue/interernyj-dekor/uglovye-jelementy/1-52-291/  .  Это  видно  на  приложенном  скрине. ;Пермь
﻿09.10.2021; Артикул  1.50.252  карниз  есть  из  дюрополимера?   ; Добрый  день,  Александр.  данный  карниз  изготавливается  только  из  пенополиуретана.   ;Москва
﻿09.10.2021; Здравствуйте,  разрабатываю  дизайн  проект,  у  меня  есть  вопрос  по  свойствам  молдинга,  как  он  гнется.  Ситуация  такая,  Нужно  обрамить  проем,  прилагаю  скрин,  на  котором  попыталась  объяснить  сложность,  с  которой  столкнулась.  Буду  ждать  ответа! ; Добрый  день,  Екатерина.  Насколько  я  вижу  по  скрину  чертежа,  радиус  там  небольшой,  поэтому  да,  это  можно  сделать  гибкими  молдингами,  для  более  подробной  консультации  с    вами  свяжется  наш  представить  в  регионе  в  ближайшее  время.  ПРЕДСТАВИТЕЛЬ  В  РЕГИОНЕ:  Салон  "Архитектурный  декор"  1.  ИП  Чащилов  А.П.,  2.  ООО  ТК  "Архитектурный  декор"  Адрес:  улица  50  лет  ВЛКСМ,  д.  13    Телефон/факс:  +7  (3452)  59-57-46,  +7  (3452)  59-57-45    E-mail:  info@decor-ad.ru    www.decor-ad.ru ;Тюмень
﻿09.10.2021; Здравствуйте.  Есть  ли  плинтус  для  вОгнутых  закругленных  углов?  Если  да,  то  имеются  ли  аналоги  прямых  плинтусов?   ; Добрый  день,  Ольга  ко  всем  моделям  плинтусов  кроме  коллекции  Lines  есть  гибкие  аналоги.  Модели  прямых  плинтусов  вы  можете  посмотреть  по  ссылке  https://evroplast.ru/catalogue/interernyj-dekor/plintusy/  Если  вы  откроете  любую  модель  например    https://evroplast.ru/catalogue/interernyj-dekor/plintusy/1-53-106/  под  название  артикула  есть  указание  на  наличие  гибкого  аналога,  если  вы  нажмёте  на  этот  прямоугольник  то  попадёте  в  карточку  гибкого  аналога  https://evroplast.ru/catalogue/interernyj-dekor/gibkie-plintusy/1-53-106-f/,  где  вы  увидите  его  цену,  размеры,  а  так  же  минимальные  радиусы  изгиба,  которые  необходимо  учитывать  при  выборе  гибкой  модели.  Наши  представители  в  вашем  регионе  могут  подобрать  вам  необходимую  модель,  они  свяжутся  с  Вами  по  электронной  почте  (так  как  вы  не  оставили  телефон)  в  ближайшее  время.  ПРЕДСТАВИТЕЛЬ  В  РЕГИОНЕ:  DECOLE  шоу-рум  ООО  "ДЕКОЛЕ"  Адрес:  улица  25  лет  Октября  д.  1,  строение  2,  этаж  1  Вход  в  шоу-рум  с  торца  здания    Телефон/факс:  +7  (8442)  60-19-08,  +7  (962)  760-19-08    E-mail:  salon-decoracia@mail.ru    www.decole.ru ;Волгоград
﻿11.10.2021; Тестовый  вопрос ;;Москва
﻿11.10.2021; Почему  на  вашем  сайте  нельзя  поменять  город?  Идиотизм,  мне  надо  найти  срочно  в  наличии,  и  вижу  только  телефон  местного  дилера   ; Добрый  день,  Алексей.  В  продолжении  нашего  разговора  ваш  вопрос  о  возможности  замены  города  будет  рассмотрен.     ;Ковров
﻿11.10.2021; Добрый  день.  Скажите  Ваши  изделия  можно  красить  масляными  красками? ; Добрый  день,  Игорь  Борисович.  Изделия  ТМ  Европласт  нельзя  красить  масляными  красками,  красками  содержащими  растворители/окислители.    Покраску  можно  производить  водно  -  дисперсными  красками.  Будут  вопросы  звоните  по  телефону:  +7968-819-03-97  Александра. ;Москва
﻿11.10.2021; Здравствуйте.  Ищу  молдинг  для  декорации  проема  в  стене,  чтобы  искусственно  нарастить  стену  в  проёме,  с  целью  скрыть  заднюю  стенку  шкафа.  Подскажите  пожалуйста,  вы  изготавливаете  под  определенные  размеры? ; Юлия,  добрый  день,  к  сожалению  мы  не  делаем  единично  изделия  под  заказ.  Не  вижу  толщину  выступающей  части  шкафа  на  фото,  но  может  вам  подойдёт  вот  этот  элемент  https://evroplast.ru/catalogue/fasadnyj-dekor/okonnye-obramlenija-fasad/otkosy/4-88-001/,  по  ширине  вы  можете  отпилить  его  в  размер.  Так  же  можно  использовать  гладкий  ствол  пилястры  из  этого  раздела  каталога  https://evroplast.ru/catalogue/interernyj-dekor/piljastry/ ;Москва
﻿11.10.2021; Возможно  сделать  изделие?   ; Добрый  день,  Максим.  Наш  менеджер  свяжется  с  Вами. ;Москва
﻿13.10.2021; Подобрать  возможно?   ; Максим,  добрый  день.  Как  и  договаривались  ранее,  я  направлю  ваш  запрос  в  магазин,  там  попробуем  подобрать.  Но  прошу  еще  сделать  фото,  где  рулеткой  можно  понять  высоту  карниза  и  направить  его  сразу  на  адрес    kdvor@decor-evroplast.ru   ;Москва
﻿13.10.2021; Не  могу  произвести  оплату  по  выставленному  счету,  пишет  ошибка ; Добрый  день,  Наталья.  с  Вами  свяжется  наш  менеджер.   ;Москва
﻿13.10.2021; Здравствуйте!  Подскажите,  пожалуйста,  есть  ли  у  вас  в  ассортименте  напольный  плинтус  из  стекловолокна  (8  см  в  высоту)?   ; Добрый  день,  Екатерина.  У  нас  нет  плинтусов  из  стекловолокна,  есть  ударопрочные  плинтусы  из  композита  (полистирола  высокой  плотности  изготовленного  методом  экструзии)  Вот  модели  6.53.112  http://joxi.ru/vAWq7qqFBGxo5m  размер  80*13    6.53.107  http://joxi.ru/krDWVWWIgwyy6A  размер  80*22    для  заказа  с  вами  свяжется  наш  представитель  в  ближайшее  время.   ;Абакан
