Период;Тема;Количество
01.2021; Ассортимент  и  уточнение  по  размерам ;20
01.2021; Монтаж  изделий ;8
01.2021; Свойства  изделий ;6
01.2021; Претензии  и  вопросы  по  заказам  и  сервису ;2
01.2021; Гарантийные  обязательства ;0
01.2021; Работа  магазинов ;1
01.2021;Другое;23
02.2021; Ассортимент  и  уточнение  по  размерам ;20
02.2021; Монтаж  изделий ;8
02.2021; Свойства  изделий ;5
02.2021; Претензии  и  вопросы  по  заказам  и  сервису ;1
02.2021; Гарантийные  обязательства ;0
02.2021; Работа  магазинов ;0
02.2021;Другое;19
03.2021; Ассортимент  и  уточнение  по  размерам ;25
03.2021; Монтаж  изделий ;10
03.2021; Свойства  изделий ;7
03.2021; Претензии  и  вопросы  по  заказам  и  сервису ;2
03.2021; Гарантийные  обязательства ;1
03.2021; Работа  магазинов ;3
03.2021;Другое;22
04.2021; Ассортимент  и  уточнение  по  размерам ;22
04.2021; Монтаж  изделий ;12
04.2021; Свойства  изделий ;4
04.2021; Претензии  и  вопросы  по  заказам  и  сервису ;1
04.2021; Гарантийные  обязательства ;0
04.2021; Работа  магазинов ;3
04.2021;Другое;22
05.2021; Ассортимент  и  уточнение  по  размерам ;16
05.2021; Монтаж  изделий ;7
05.2021; Свойства  изделий ;7
05.2021; Претензии  и  вопросы  по  заказам  и  сервису ;3
05.2021; Гарантийные  обязательства ;0
05.2021; Работа  магазинов ;2
05.2021;Другое;13
06.2021; Ассортимент  и  уточнение  по  размерам ;22
06.2021; Монтаж  изделий ;6
06.2021; Свойства  изделий ;5
06.2021; Претензии  и  вопросы  по  заказам  и  сервису ;3
06.2021; Гарантийные  обязательства ;0
06.2021; Работа  магазинов ;2
06.2021;Другое;17
07.2021; Ассортимент  и  уточнение  по  размерам ;17
07.2021; Монтаж  изделий ;9
07.2021; Свойства  изделий ;6
07.2021; Претензии  и  вопросы  по  заказам  и  сервису ;2
07.2021; Гарантийные  обязательства ;0
07.2021; Работа  магазинов ;1
07.2021;Другое;15
08.2021; Ассортимент  и  уточнение  по  размерам ;20
08.2021; Монтаж  изделий ;5
08.2021; Свойства  изделий ;12
08.2021; Претензии  и  вопросы  по  заказам  и  сервису ;2
08.2021; Гарантийные  обязательства ;0
08.2021; Работа  магазинов ;3
08.2021;Другое;26
09.2021; Ассортимент  и  уточнение  по  размерам ;15
09.2021; Монтаж  изделий ;9
09.2021; Свойства  изделий ;8
09.2021; Претензии  и  вопросы  по  заказам  и  сервису ;1
09.2021; Гарантийные  обязательства ;0
09.2021; Работа  магазинов ;2
09.2021;Другое;10
10.2021; Ассортимент  и  уточнение  по  размерам ;20
10.2021; Монтаж  изделий ;8
10.2021; Свойства  изделий ;9
10.2021; Претензии  и  вопросы  по  заказам  и  сервису ;4
10.2021; Гарантийные  обязательства ;0
10.2021; Работа  магазинов ;1
10.2021;Другое;11
11.2021; Ассортимент  и  уточнение  по  размерам ;33
11.2021; Монтаж  изделий ;8
11.2021; Свойства  изделий ;9
11.2021; Претензии  и  вопросы  по  заказам  и  сервису ;1
11.2021; Гарантийные  обязательства ;0
11.2021; Работа  магазинов ;1
11.2021;Другое;27
12.2021; Ассортимент  и  уточнение  по  размерам ;22
12.2021; Монтаж  изделий ;3
12.2021; Свойства  изделий ;6
12.2021; Претензии  и  вопросы  по  заказам  и  сервису ;2
12.2021; Гарантийные  обязательства ;0
12.2021; Работа  магазинов ;2
12.2021;Другое;10
01.2022; Ассортимент  и  уточнение  по  размерам ;23
01.2022; Монтаж  изделий ;5
01.2022; Свойства  изделий ;6
01.2022; Претензии  и  вопросы  по  заказам  и  сервису ;1
01.2022; Гарантийные  обязательства ;0
01.2022; Работа  магазинов ;1
01.2022;Другое;13
02.2022; Ассортимент  и  уточнение  по  размерам ;18
02.2022; Монтаж  изделий ;11
02.2022; Свойства  изделий ;10
02.2022; Претензии  и  вопросы  по  заказам  и  сервису ;4
02.2022; Гарантийные  обязательства ;0
02.2022; Работа  магазинов ;1
02.2022;Другое;8
03.2022; Ассортимент  и  уточнение  по  размерам ;17
03.2022; Монтаж  изделий ;14
03.2022; Свойства  изделий ;3
03.2022; Претензии  и  вопросы  по  заказам  и  сервису ;1
03.2022; Гарантийные  обязательства ;0
03.2022; Работа  магазинов ;1
03.2022;Другое;11
04.2022; Ассортимент  и  уточнение  по  размерам ;19
04.2022; Монтаж  изделий ;3
04.2022; Свойства  изделий ;3
04.2022; Претензии  и  вопросы  по  заказам  и  сервису ;0
04.2022; Гарантийные  обязательства ;0
04.2022; Работа  магазинов ;2
04.2022;Другое;20
05.2022; Ассортимент  и  уточнение  по  размерам ;9
05.2022; Монтаж  изделий ;6
05.2022; Свойства  изделий ;2
05.2022; Претензии  и  вопросы  по  заказам  и  сервису ;2
05.2022; Гарантийные  обязательства ;0
05.2022; Работа  магазинов ;4
05.2022;Другое;12
06.2022; Ассортимент  и  уточнение  по  размерам ;12
06.2022; Монтаж  изделий ;4
06.2022; Свойства  изделий ;3
06.2022; Претензии  и  вопросы  по  заказам  и  сервису ;0
06.2022; Гарантийные  обязательства ;0
06.2022; Работа  магазинов ;1
06.2022;Другое;13
07.2022; Ассортимент  и  уточнение  по  размерам ;20
07.2022; Монтаж  изделий ;9
07.2022; Свойства  изделий ;5
07.2022; Претензии  и  вопросы  по  заказам  и  сервису ;0
07.2022; Гарантийные  обязательства ;0
07.2022; Работа  магазинов ;1
07.2022;Другое;11
