IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP160;IP_PROP163;IP_PROP164;IP_PROP706;IP_PROP707
4774;карниз 1.50.114;1.50.114;Нет;ВР000001360;1,89;63,75;;
4775;карниз 1.50.115;1.50.115;Нет;ВР000001045;1,43;63,75;;
4776;карниз 1.50.116;1.50.116;Нет;ВР000001487;4,04;69,75;;
4777;карниз 1.50.117;1.50.117;Нет;ВР000001046;5,98;77,25;;
4778;карниз 1.50.118;1.50.118;Нет;ВР000001868;7,53;77,25;;
4779;карниз 1.50.119;1.50.119;Нет;ВР000001858;3,57;69,75;;
4780;карниз 1.50.120;1.50.120;Нет;ВР000001867;7,46;77,25;;
4781;карниз 1.50.121;1.50.121;Нет;ВР000001047;3,28;69,75;;
4782;карниз 1.50.122;1.50.122;Нет;ВР000001048;1,97;63,75;;
4783;карниз 1.50.100;1.50.100;Нет;ВР000001042;2,1;69,75;;
4784;карниз 1.50.102;1.50.102;Нет;ВР000005632;1,93;69,75;;
4785;карниз 1.50.103;1.50.103;Нет;ВР000005166;1,74;69,75;;
4786;карниз 1.50.104;1.50.104;Нет;ВР000001293;5,28;78,75;;
4787;карниз 1.50.105;1.50.105;Нет;ВР000005167;2,43;63,75;;
4788;карниз 1.50.106;1.50.106;Нет;ВР000005174;2,96;63,75;;
4789;карниз 1.50.107;1.50.107;Нет;ВР000005326;6,4;78,75;;
4790;карниз 1.50.109;1.50.109;Нет;ВР000002930;9,45;69,75;;
4791;карниз 1.50.110;1.50.110;Нет;ВР000002931;10,57;78,75;;
4792;карниз 1.50.111;1.50.111;Нет;ВР000001285;6,78;78,75;;
4793;карниз 1.50.112;1.50.112;Нет;ВР000001043;3,47;63,75;;
4794;карниз 1.50.113;1.50.113;Нет;ВР000001044;3,05;69,75;;
4795;карниз 1.50.123;1.50.123;Нет;ВР000001718;0,78;60;;
4796;карниз 1.50.124;1.50.124;Нет;ВР000001972;4,36;69,75;;
4797;карниз 1.50.125;1.50.125;Нет;ВР000002129;2,86;69,75;;
4798;карниз 1.50.126;1.50.126;Нет;ВР001003726;3,19;69,75;;
4799;карниз 1.50.127;1.50.127;Нет;ВР000002929;2,32;69,75;;
4800;карниз 1.50.128;1.50.128;Нет;ВР000002329;5,41;69,75;;
4801;карниз 1.50.129;1.50.129;Нет;ВР000005168;3,6;69,75;;
4802;карниз 1.50.130;1.50.130;Нет;ВР000001049;0,94;60;;
4803;карниз 1.50.131;1.50.131;Нет;ВР000001081;6,83;69,75;;
4804;карниз 1.50.132;1.50.132;Нет;ВР000001050;12,58;77,25;;
4805;карниз 1.50.133;1.50.133;Нет;ВР000001076;6,7;77,25;;
4806;карниз 1.50.134;1.50.134;Нет;ВР000001051;15,37;77,25;;
4807;карниз 1.50.135;1.50.135;Нет;ВР000001303;3,97;60;;
4808;карниз 1.50.136;1.50.136;Нет;ВР000002167;8,17;77,25;;
4809;карниз 1.50.137;1.50.137;Нет;ВР000001827;12,63;77,25;;
4810;карниз 1.50.138;1.50.138;Нет;ВР000002343;7,15;77,25;;
4811;карниз 1.50.139;1.50.139;Нет;ВР000006023;3,59;69,75;;
4812;карниз 1.50.140;1.50.140;Нет;ВР000001052;2,44;63,75;;
4813;карниз 1.50.141;1.50.141;Нет;ВР000005170;3,24;63,75;;
4814;карниз 1.50.142;1.50.142;Нет;ВР000001544;7,39;69,75;;
4815;карниз 1.50.143;1.50.143;Нет;ВР000005171;3,21;69,75;;
4816;карниз 1.50.144;1.50.144;Нет;ВР000005173;3,15;69,75;;
4817;карниз 1.50.145;1.50.145;Нет;ВР000001586;13,61;77,25;;
4818;карниз 1.50.146;1.50.146;Нет;ВР000005175;7,05;69,75;;
4819;карниз 1.50.147;1.50.147;Нет;ВР000001182;7,18;77,25;;
4820;карниз 1.50.148;1.50.148;Нет;ВР000006025;3,88;69,75;;
4822;карниз 1.50.150;1.50.150;Нет;ВР000001054;1,05;60;;
4823;карниз 1.50.151;1.50.151;Нет;ВР001021964;35,93;77,25;;
4824;карниз 1.50.152;1.50.152;Нет;ВР001021965;35,63;77,25;;
4825;карниз 1.50.153;1.50.153;Нет;ВР001021966;35,94;77,25;;
4826;карниз 1.50.154;1.50.154;Нет;ВР001022849;0,44;60;;
4827;карниз 1.50.155;1.50.155;Нет;ВР001022850;0,51;60;;
4828;карниз 1.50.156;1.50.156;Нет;ВР001022851;0,74;60;;
4829;карниз 1.50.157;1.50.157;Нет;ВР001022852;0,67;60;;
4830;карниз 1.50.158;1.50.158;Нет;ВР001022853;0,78;60;;
4831;карниз 1.50.159;1.50.159;Нет;ВР001022854;0,73;60;;
4832;карниз 1.50.160;1.50.160;Нет;ВР000001055;2,34;60;;
4833;карниз 1.50.162;1.50.162;Нет;ВР000002855;2,93;69,75;;
4834;карниз 1.50.163;1.50.163;Нет;ВР000002934;6,74;78,75;;
4835;карниз 1.50.164;1.50.164;Нет;ВР000002936;6,03;78,75;;
4836;карниз 1.50.165;1.50.165;Нет;ВР000001056;2,97;69,75;;
4837;карниз 1.50.166;1.50.166;Нет;ВР000004078;5,01;77,25;;
4838;карниз 1.50.167;1.50.167;Нет;ВР000004319;4,54;77,25;;
4839;карниз 1.50.168;1.50.168;Нет;ВР000004036;4,58;77,25;;
4840;карниз 1.50.169;1.50.169;Нет;ВР000005325;4,69;69,75;;
4841;карниз 1.50.170;1.50.170;Нет;ВР000001057;4,4;69,75;;
4842;карниз 1.50.171;1.50.171;Нет;ВР001022855;0,92;60;;
4843;карниз 1.50.172;1.50.172;Нет;ВР001022856;1,03;60;;
4844;карниз 1.50.173;1.50.173;Нет;ВР001022857;1,45;60;;
4845;карниз 1.50.174;1.50.174;Нет;ВР001022858;1,14;60;;
4846;карниз 1.50.175;1.50.175;Нет;ВР000001355;6,59;77,25;;
4847;карниз 1.50.176;1.50.176;Нет;ВР000005000;5,01;78,75;;
4848;карниз 1.50.177;1.50.177;Нет;ВР000006024;3,1;78,75;;
4849;карниз 1.50.180;1.50.180;Нет;ВР000001451;4,07;78,75;;
4850;карниз 1.50.181;1.50.181;Нет;ВР001023412;2,13;69,75;;
4851;карниз 1.50.182;1.50.182;Нет;ВР001023413;1,45;69,75;;
4852;карниз 1.50.183;1.50.183;Нет;ВР001023414;3,68;69,75;;
4853;карниз 1.50.184;1.50.184;Нет;ВР001023415;2,49;69,75;;
4854;карниз 1.50.185;1.50.185;Нет;ВР001023416;4,6;69,75;;
4855;карниз 1.50.186;1.50.186;Нет;ВР001023417;2,5;69,75;;
4856;карниз 1.50.187;1.50.187;Нет;ВР001023418;2,23;69,75;;
4857;карниз 1.50.188;1.50.188;Нет;ВР001023693;1,27;69,75;;
4858;карниз 1.50.190;1.50.190;Нет;ВР001024050;0,92;60;;
4859;карниз 1.50.191;1.50.191;Нет;ВР001024053;0,84;60;;
4860;карниз 1.50.192;1.50.192;Нет;ВР002025145;2,62;63,75;;
4861;карниз 1.50.193;1.50.193;Нет;ВР002025144;2,96;69,75;;
4862;карниз 1.50.194;1.50.194;Нет;ВР002025137;1,88;69,75;;
4863;карниз 1.50.195;1.50.195;Нет;ВР002025296;2,12;69,75;;
4864;карниз 1.50.196;1.50.196;Нет;ВР002025293;4,33;69,75;;
4865;карниз 1.50.197;1.50.197;Нет;ВР002025291;2,32;69,75;;
4866;карниз 1.50.198;1.50.198;Нет;ВР002025290;3,56;69,75;;
4867;карниз 1.50.200;1.50.200;Нет;ВР002025307;1,88;60;;
4868;карниз 1.50.201;1.50.201;Нет;ВР002025337;5,59;77,25;;
4870;карниз 1.50.203;1.50.203;Нет;ВР002025341;4,46;77,25;;
4871;карниз 1.50.204;1.50.204;Нет;ВР002025428;1,21;60;;
4872;карниз 1.50.208;1.50.208;Нет;ВР002025426;2,18;69,75;;
4873;карниз 1.50.209;1.50.209;Нет;ВР000001058;6,83;77,25;;
4874;карниз 1.50.210;1.50.210;Нет;ВР000001077;7,63;78,75;;
4875;карниз 1.50.211;1.50.211;Нет;ВР000004385;9,44;63,75;;
4876;карниз 1.50.212;1.50.212;Нет;ВР000004386;7,76;63,75;;
4877;карниз 1.50.220;1.50.220;Нет;ВР000001281;6,31;78,75;;
4878;карниз 1.50.221;1.50.221;Нет;ВР000001338;10,36;78,75;;
4879;карниз 1.50.222;1.50.222;Нет;ВР000001612;9,88;78,75;;
4880;карниз 1.50.250;1.50.250;Нет;ВР000005486;5,41;63,75;;
4881;карниз 1.50.251;1.50.251;Нет;ВР000005602;2,46;60;;
4882;карниз 1.50.252;1.50.252;Нет;ВР000004035;5,58;77,25;;
4883;карниз 1.50.253;1.50.253;Нет;ВР000005501;3;78,75;;
4884;карниз 1.50.254;1.50.254;Нет;ВР000005595;3,68;77,25;;
4885;карниз 1.50.255;1.50.255;Нет;ВР000005644;4,1;69,75;;
4886;карниз 1.50.256;1.50.256;Нет;ВР000005750;6,16;77,25;;
4887;карниз 1.50.257;1.50.257;Нет;ВР000005752;0,91;60;;
4888;карниз 1.50.258;1.50.258;Нет;ВР000005754;0,69;60;;
4889;карниз 1.50.259;1.50.259;Нет;ВР000005756;1,8;60;;
4890;карниз 1.50.260;1.50.260;Нет;ВР000006884;6,8;78,75;;
4891;карниз 1.50.261;1.50.261;Нет;ВР001000006;3,14;78,75;;
4892;карниз 1.50.262;1.50.262;Нет;ВР001000028;6,62;60;;
4893;карниз 1.50.264;1.50.264;Нет;ВР001002926;7,5;78,75;;
4894;карниз 1.50.265;1.50.265;Нет;ВР001007508;2,37;78,75;;
4895;карниз 1.50.266;1.50.266;Нет;ВР001007509;2,06;60;;
